district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note
Buenos Aires,https://datos.gob.ar/dataset/interior-resultados-provisionales-elecciones-2019,https://datos.gob.ar/dataset/ign-unidades-territoriales,Alberto Fernández,Alberto Fernández,23991910,9653058,229237,9882295,41.19,1563600,0,first,,,Alberto Fernández,Alberto Fernández,5032267,Province,AR-PROV-06,official,Provisional DINE presidential result aggregated from polling-table rows. Province boundaries come from IGN; Antarctic geometry is omitted from this interactive map for legibility.
Buenos Aires,https://datos.gob.ar/dataset/interior-resultados-provisionales-elecciones-2019,https://datos.gob.ar/dataset/ign-unidades-territoriales,Alberto Fernández,Alberto Fernández,23991910,9653058,229237,9882295,41.19,1563600,0,first,,,Mauricio Macri,Mauricio Macri,3468667,Province,AR-PROV-06,official,Provisional DINE presidential result aggregated from polling-table rows. Province boundaries come from IGN; Antarctic geometry is omitted from this interactive map for legibility.
Buenos Aires,https://datos.gob.ar/dataset/interior-resultados-provisionales-elecciones-2019,https://datos.gob.ar/dataset/ign-unidades-territoriales,Alberto Fernández,Alberto Fernández,23991910,9653058,229237,9882295,41.19,1563600,0,first,,,Roberto Lavagna,Roberto Lavagna,610009,Province,AR-PROV-06,official,Provisional DINE presidential result aggregated from polling-table rows. Province boundaries come from IGN; Antarctic geometry is omitted from this interactive map for legibility.
Buenos Aires,https://datos.gob.ar/dataset/interior-resultados-provisionales-elecciones-2019,https://datos.gob.ar/dataset/ign-unidades-territoriales,Alberto Fernández,Alberto Fernández,23991910,9653058,229237,9882295,41.19,1563600,0,first,,,Nicolás del Caño,Nicolás del Caño,260597,Province,AR-PROV-06,official,Provisional DINE presidential result aggregated from polling-table rows. Province boundaries come from IGN; Antarctic geometry is omitted from this interactive map for legibility.
Buenos Aires,https://datos.gob.ar/dataset/interior-resultados-provisionales-elecciones-2019,https://datos.gob.ar/dataset/ign-unidades-territoriales,Alberto Fernández,Alberto Fernández,23991910,9653058,229237,9882295,41.19,1563600,0,first,,,Juan José Gómez Centurión,Juan José Gómez Centurión,142287,Province,AR-PROV-06,official,Provisional DINE presidential result aggregated from polling-table rows. Province boundaries come from IGN; Antarctic geometry is omitted from this interactive map for legibility.
Buenos Aires,https://datos.gob.ar/dataset/interior-resultados-provisionales-elecciones-2019,https://datos.gob.ar/dataset/ign-unidades-territoriales,Alberto Fernández,Alberto Fernández,23991910,9653058,229237,9882295,41.19,1563600,0,first,,,José Luis Espert,José Luis Espert,139231,Province,AR-PROV-06,official,Provisional DINE presidential result aggregated from polling-table rows. Province boundaries come from IGN; Antarctic geometry is omitted from this interactive map for legibility.
Catamarca,https://datos.gob.ar/dataset/interior-resultados-provisionales-elecciones-2019,https://datos.gob.ar/dataset/ign-unidades-territoriales,Alberto Fernández,Alberto Fernández,603802,219678,13864,233542,38.68,49782,0,first,,,Alberto Fernández,Alberto Fernández,124436,Province,AR-PROV-10,official,Provisional DINE presidential result aggregated from polling-table rows. Province boundaries come from IGN; Antarctic geometry is omitted from this interactive map for legibility.
Catamarca,https://datos.gob.ar/dataset/interior-resultados-provisionales-elecciones-2019,https://datos.gob.ar/dataset/ign-unidades-territoriales,Alberto Fernández,Alberto Fernández,603802,219678,13864,233542,38.68,49782,0,first,,,Mauricio Macri,Mauricio Macri,74654,Province,AR-PROV-10,official,Provisional DINE presidential result aggregated from polling-table rows. Province boundaries come from IGN; Antarctic geometry is omitted from this interactive map for legibility.
Catamarca,https://datos.gob.ar/dataset/interior-resultados-provisionales-elecciones-2019,https://datos.gob.ar/dataset/ign-unidades-territoriales,Alberto Fernández,Alberto Fernández,603802,219678,13864,233542,38.68,49782,0,first,,,Roberto Lavagna,Roberto Lavagna,12392,Province,AR-PROV-10,official,Provisional DINE presidential result aggregated from polling-table rows. Province boundaries come from IGN; Antarctic geometry is omitted from this interactive map for legibility.
Catamarca,https://datos.gob.ar/dataset/interior-resultados-provisionales-elecciones-2019,https://datos.gob.ar/dataset/ign-unidades-territoriales,Alberto Fernández,Alberto Fernández,603802,219678,13864,233542,38.68,49782,0,first,,,Nicolás del Caño,Nicolás del Caño,3369,Province,AR-PROV-10,official,Provisional DINE presidential result aggregated from polling-table rows. Province boundaries come from IGN; Antarctic geometry is omitted from this interactive map for legibility.
