district,district_url,distribution_url,elected_member,elected_party,elected_members,elected_parties,members_to_elect,quota,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note
New South Wales,https://results.aec.gov.au/24310/Website/SenateStateFirstPrefsByGroup-24310-NSW.htm,https://results.aec.gov.au/24310/Website/External/SenateStateDop-24310-NSW.pdf,"HUGHES, Hollie; SHELDON, Tony; BRAGG, Andrew; AYRES, Tim; DAVEY, Perin; FARUQI, Mehreen",Liberal; Labor; Liberal; Labor; The Nationals; The Greens,"HUGHES, Hollie; SHELDON, Tony; BRAGG, Andrew; AYRES, Tim; DAVEY, Perin; FARUQI, Mehreen",Liberal; Labor; Liberal; Labor; The Nationals; The Greens,6,670761,5294468,4695326,210146,4905472,92.65,409826,0,first,,,Liberal & Nationals,Liberal & Nationals,1810121,State / territory Senate contest,AU-SEN-NSW,official,Official AEC first-preference totals by Senate group and final list of elected senators. Full transfer counts are intentionally outside this compact view.
New South Wales,https://results.aec.gov.au/24310/Website/SenateStateFirstPrefsByGroup-24310-NSW.htm,https://results.aec.gov.au/24310/Website/External/SenateStateDop-24310-NSW.pdf,"HUGHES, Hollie; SHELDON, Tony; BRAGG, Andrew; AYRES, Tim; DAVEY, Perin; FARUQI, Mehreen",Liberal; Labor; Liberal; Labor; The Nationals; The Greens,"HUGHES, Hollie; SHELDON, Tony; BRAGG, Andrew; AYRES, Tim; DAVEY, Perin; FARUQI, Mehreen",Liberal; Labor; Liberal; Labor; The Nationals; The Greens,6,670761,5294468,4695326,210146,4905472,92.65,409826,0,first,,,Labor/Country Labor,Labor/Country Labor,1400295,State / territory Senate contest,AU-SEN-NSW,official,Official AEC first-preference totals by Senate group and final list of elected senators. Full transfer counts are intentionally outside this compact view.
New South Wales,https://results.aec.gov.au/24310/Website/SenateStateFirstPrefsByGroup-24310-NSW.htm,https://results.aec.gov.au/24310/Website/External/SenateStateDop-24310-NSW.pdf,"HUGHES, Hollie; SHELDON, Tony; BRAGG, Andrew; AYRES, Tim; DAVEY, Perin; FARUQI, Mehreen",Liberal; Labor; Liberal; Labor; The Nationals; The Greens,"HUGHES, Hollie; SHELDON, Tony; BRAGG, Andrew; AYRES, Tim; DAVEY, Perin; FARUQI, Mehreen",Liberal; Labor; Liberal; Labor; The Nationals; The Greens,6,670761,5294468,4695326,210146,4905472,92.65,409826,0,first,,,The Greens,The Greens,409790,State / territory Senate contest,AU-SEN-NSW,official,Official AEC first-preference totals by Senate group and final list of elected senators. Full transfer counts are intentionally outside this compact view.
New South Wales,https://results.aec.gov.au/24310/Website/SenateStateFirstPrefsByGroup-24310-NSW.htm,https://results.aec.gov.au/24310/Website/External/SenateStateDop-24310-NSW.pdf,"HUGHES, Hollie; SHELDON, Tony; BRAGG, Andrew; AYRES, Tim; DAVEY, Perin; FARUQI, Mehreen",Liberal; Labor; Liberal; Labor; The Nationals; The Greens,"HUGHES, Hollie; SHELDON, Tony; BRAGG, Andrew; AYRES, Tim; DAVEY, Perin; FARUQI, Mehreen",Liberal; Labor; Liberal; Labor; The Nationals; The Greens,6,670761,5294468,4695326,210146,4905472,92.65,409826,0,first,,,Pauline Hanson's One Nation,Pauline Hanson's One Nation,232865,State / territory Senate contest,AU-SEN-NSW,official,Official AEC first-preference totals by Senate group and final list of elected senators. Full transfer counts are intentionally outside this compact view.
New South Wales,https://results.aec.gov.au/24310/Website/SenateStateFirstPrefsByGroup-24310-NSW.htm,https://results.aec.gov.au/24310/Website/External/SenateStateDop-24310-NSW.pdf,"HUGHES, Hollie; SHELDON, Tony; BRAGG, Andrew; AYRES, Tim; DAVEY, Perin; FARUQI, Mehreen",Liberal; Labor; Liberal; Labor; The Nationals; The Greens,"HUGHES, Hollie; SHELDON, Tony; BRAGG, Andrew; AYRES, Tim; DAVEY, Perin; FARUQI, Mehreen",Liberal; Labor; Liberal; Labor; The Nationals; The Greens,6,670761,5294468,4695326,210146,4905472,92.65,409826,0,first,,,"Shooters, Fishers and Farmers","Shooters, Fishers and Farmers",119408,State / territory Senate contest,AU-SEN-NSW,official,Official AEC first-preference totals by Senate group and final list of elected senators. Full transfer counts are intentionally outside this compact view.
New South Wales,https://results.aec.gov.au/24310/Website/SenateStateFirstPrefsByGroup-24310-NSW.htm,https://results.aec.gov.au/24310/Website/External/SenateStateDop-24310-NSW.pdf,"HUGHES, Hollie; SHELDON, Tony; BRAGG, Andrew; AYRES, Tim; DAVEY, Perin; FARUQI, Mehreen",Liberal; Labor; Liberal; Labor; The Nationals; The Greens,"HUGHES, Hollie; SHELDON, Tony; BRAGG, Andrew; AYRES, Tim; DAVEY, Perin; FARUQI, Mehreen",Liberal; Labor; Liberal; Labor; The Nationals; The Greens,6,670761,5294468,4695326,210146,4905472,92.65,409826,0,first,,,Help End Marijuana Prohibition (HEMP) Party,Help End Marijuana Prohibition (HEMP) Party,99644,State / territory Senate contest,AU-SEN-NSW,official,Official AEC first-preference totals by Senate group and final list of elected senators. Full transfer counts are intentionally outside this compact view.
New South Wales,https://results.aec.gov.au/24310/Website/SenateStateFirstPrefsByGroup-24310-NSW.htm,https://results.aec.gov.au/24310/Website/External/SenateStateDop-24310-NSW.pdf,"HUGHES, Hollie; SHELDON, Tony; BRAGG, Andrew; AYRES, Tim; DAVEY, Perin; FARUQI, Mehreen",Liberal; Labor; Liberal; Labor; The Nationals; The Greens,"HUGHES, Hollie; SHELDON, Tony; BRAGG, Andrew; AYRES, Tim; DAVEY, Perin; FARUQI, Mehreen",Liberal; Labor; Liberal; Labor; The Nationals; The Greens,6,670761,5294468,4695326,210146,4905472,92.65,409826,0,first,,,Liberal Democrats,Liberal Democrats,89833,State / territory Senate contest,AU-SEN-NSW,official,Official AEC first-preference totals by Senate group and final list of elected senators. Full transfer counts are intentionally outside this compact view.
New South Wales,https://results.aec.gov.au/24310/Website/SenateStateFirstPrefsByGroup-24310-NSW.htm,https://results.aec.gov.au/24310/Website/External/SenateStateDop-24310-NSW.pdf,"HUGHES, Hollie; SHELDON, Tony; BRAGG, Andrew; AYRES, Tim; DAVEY, Perin; FARUQI, Mehreen",Liberal; Labor; Liberal; Labor; The Nationals; The Greens,"HUGHES, Hollie; SHELDON, Tony; BRAGG, Andrew; AYRES, Tim; DAVEY, Perin; FARUQI, Mehreen",Liberal; Labor; Liberal; Labor; The Nationals; The Greens,6,670761,5294468,4695326,210146,4905472,92.65,409826,0,first,,,Christian Democratic Party (Fred Nile Group),Christian Democratic Party (Fred Nile Group),75510,State / territory Senate contest,AU-SEN-NSW,official,Official AEC first-preference totals by Senate group and final list of elected senators. Full transfer counts are intentionally outside this compact view.
New South Wales,https://results.aec.gov.au/24310/Website/SenateStateFirstPrefsByGroup-24310-NSW.htm,https://results.aec.gov.au/24310/Website/External/SenateStateDop-24310-NSW.pdf,"HUGHES, Hollie; SHELDON, Tony; BRAGG, Andrew; AYRES, Tim; DAVEY, Perin; FARUQI, Mehreen",Liberal; Labor; Liberal; Labor; The Nationals; The Greens,"HUGHES, Hollie; SHELDON, Tony; BRAGG, Andrew; AYRES, Tim; DAVEY, Perin; FARUQI, Mehreen",Liberal; Labor; Liberal; Labor; The Nationals; The Greens,6,670761,5294468,4695326,210146,4905472,92.65,409826,0,first,,,United Australia Party,United Australia Party,69911,State / territory Senate contest,AU-SEN-NSW,official,Official AEC first-preference totals by Senate group and final list of elected senators. Full transfer counts are intentionally outside this compact view.
New South Wales,https://results.aec.gov.au/24310/Website/SenateStateFirstPrefsByGroup-24310-NSW.htm,https://results.aec.gov.au/24310/Website/External/SenateStateDop-24310-NSW.pdf,"HUGHES, Hollie; SHELDON, Tony; BRAGG, Andrew; AYRES, Tim; DAVEY, Perin; FARUQI, Mehreen",Liberal; Labor; Liberal; Labor; The Nationals; The Greens,"HUGHES, Hollie; SHELDON, Tony; BRAGG, Andrew; AYRES, Tim; DAVEY, Perin; FARUQI, Mehreen",Liberal; Labor; Liberal; Labor; The Nationals; The Greens,6,670761,5294468,4695326,210146,4905472,92.65,409826,0,first,,,Animal Justice Party,Animal Justice Party,48989,State / territory Senate contest,AU-SEN-NSW,official,Official AEC first-preference totals by Senate group and final list of elected senators. Full transfer counts are intentionally outside this compact view.
