district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note,district_seats
Eisenstadt,https://www.bmi.gv.at/412/Nationalratswahlen/Nationalratswahl_2019/,,ÖVP,ÖVP,0,7114,78,7192,0,3558,0,first,,,ÖVP,ÖVP,2966,Austria,AT_10101,official,Official municipality totals excluding separately reported postal ballots. National vote and seat totals include those postal ballots; they are not assigned to false municipality polygons.,0
Eisenstadt,https://www.bmi.gv.at/412/Nationalratswahlen/Nationalratswahl_2019/,,ÖVP,ÖVP,0,7114,78,7192,0,3558,0,first,,,SPÖ,SPÖ,1450,Austria,AT_10101,official,Official municipality totals excluding separately reported postal ballots. National vote and seat totals include those postal ballots; they are not assigned to false municipality polygons.,0
Eisenstadt,https://www.bmi.gv.at/412/Nationalratswahlen/Nationalratswahl_2019/,,ÖVP,ÖVP,0,7114,78,7192,0,3558,0,first,,,FPÖ,FPÖ,1023,Austria,AT_10101,official,Official municipality totals excluding separately reported postal ballots. National vote and seat totals include those postal ballots; they are not assigned to false municipality polygons.,0
Eisenstadt,https://www.bmi.gv.at/412/Nationalratswahlen/Nationalratswahl_2019/,,ÖVP,ÖVP,0,7114,78,7192,0,3558,0,first,,,GRÜNE,GRÜNE,944,Austria,AT_10101,official,Official municipality totals excluding separately reported postal ballots. National vote and seat totals include those postal ballots; they are not assigned to false municipality polygons.,0
Eisenstadt,https://www.bmi.gv.at/412/Nationalratswahlen/Nationalratswahl_2019/,,ÖVP,ÖVP,0,7114,78,7192,0,3558,0,first,,,NEOS,NEOS,535,Austria,AT_10101,official,Official municipality totals excluding separately reported postal ballots. National vote and seat totals include those postal ballots; they are not assigned to false municipality polygons.,0
Eisenstadt,https://www.bmi.gv.at/412/Nationalratswahlen/Nationalratswahl_2019/,,ÖVP,ÖVP,0,7114,78,7192,0,3558,0,first,,,JETZT,JETZT,120,Austria,AT_10101,official,Official municipality totals excluding separately reported postal ballots. National vote and seat totals include those postal ballots; they are not assigned to false municipality polygons.,0
Eisenstadt,https://www.bmi.gv.at/412/Nationalratswahlen/Nationalratswahl_2019/,,ÖVP,ÖVP,0,7114,78,7192,0,3558,0,first,,,KPÖ,KPÖ,28,Austria,AT_10101,official,Official municipality totals excluding separately reported postal ballots. National vote and seat totals include those postal ballots; they are not assigned to false municipality polygons.,0
Eisenstadt,https://www.bmi.gv.at/412/Nationalratswahlen/Nationalratswahl_2019/,,ÖVP,ÖVP,0,7114,78,7192,0,3558,0,first,,,WANDL,WANDL,27,Austria,AT_10101,official,Official municipality totals excluding separately reported postal ballots. National vote and seat totals include those postal ballots; they are not assigned to false municipality polygons.,0
Eisenstadt,https://www.bmi.gv.at/412/Nationalratswahlen/Nationalratswahl_2019/,,ÖVP,ÖVP,0,7114,78,7192,0,3558,0,first,,,CPÖ,CPÖ,21,Austria,AT_10101,official,Official municipality totals excluding separately reported postal ballots. National vote and seat totals include those postal ballots; they are not assigned to false municipality polygons.,0
Rust,https://www.bmi.gv.at/412/Nationalratswahlen/Nationalratswahl_2019/,,ÖVP,ÖVP,0,1037,18,1055,0,519,0,first,,,ÖVP,ÖVP,355,Austria,AT_10201,official,Official municipality totals excluding separately reported postal ballots. National vote and seat totals include those postal ballots; they are not assigned to false municipality polygons.,0
Rust,https://www.bmi.gv.at/412/Nationalratswahlen/Nationalratswahl_2019/,,ÖVP,ÖVP,0,1037,18,1055,0,519,0,first,,,SPÖ,SPÖ,315,Austria,AT_10201,official,Official municipality totals excluding separately reported postal ballots. National vote and seat totals include those postal ballots; they are not assigned to false municipality polygons.,0
Rust,https://www.bmi.gv.at/412/Nationalratswahlen/Nationalratswahl_2019/,,ÖVP,ÖVP,0,1037,18,1055,0,519,0,first,,,FPÖ,FPÖ,209,Austria,AT_10201,official,Official municipality totals excluding separately reported postal ballots. National vote and seat totals include those postal ballots; they are not assigned to false municipality polygons.,0
Rust,https://www.bmi.gv.at/412/Nationalratswahlen/Nationalratswahl_2019/,,ÖVP,ÖVP,0,1037,18,1055,0,519,0,first,,,GRÜNE,GRÜNE,82,Austria,AT_10201,official,Official municipality totals excluding separately reported postal ballots. National vote and seat totals include those postal ballots; they are not assigned to false municipality polygons.,0
Rust,https://www.bmi.gv.at/412/Nationalratswahlen/Nationalratswahl_2019/,,ÖVP,ÖVP,0,1037,18,1055,0,519,0,first,,,NEOS,NEOS,52,Austria,AT_10201,official,Official municipality totals excluding separately reported postal ballots. National vote and seat totals include those postal ballots; they are not assigned to false municipality polygons.,0
Rust,https://www.bmi.gv.at/412/Nationalratswahlen/Nationalratswahl_2019/,,ÖVP,ÖVP,0,1037,18,1055,0,519,0,first,,,JETZT,JETZT,12,Austria,AT_10201,official,Official municipality totals excluding separately reported postal ballots. National vote and seat totals include those postal ballots; they are not assigned to false municipality polygons.,0
Rust,https://www.bmi.gv.at/412/Nationalratswahlen/Nationalratswahl_2019/,,ÖVP,ÖVP,0,1037,18,1055,0,519,0,first,,,KPÖ,KPÖ,5,Austria,AT_10201,official,Official municipality totals excluding separately reported postal ballots. National vote and seat totals include those postal ballots; they are not assigned to false municipality polygons.,0
Rust,https://www.bmi.gv.at/412/Nationalratswahlen/Nationalratswahl_2019/,,ÖVP,ÖVP,0,1037,18,1055,0,519,0,first,,,WANDL,WANDL,4,Austria,AT_10201,official,Official municipality totals excluding separately reported postal ballots. National vote and seat totals include those postal ballots; they are not assigned to false municipality polygons.,0
Rust,https://www.bmi.gv.at/412/Nationalratswahlen/Nationalratswahl_2019/,,ÖVP,ÖVP,0,1037,18,1055,0,519,0,first,,,CPÖ,CPÖ,3,Austria,AT_10201,official,Official municipality totals excluding separately reported postal ballots. National vote and seat totals include those postal ballots; they are not assigned to false municipality polygons.,0
Breitenbrunn am Neusiedler See,https://www.bmi.gv.at/412/Nationalratswahlen/Nationalratswahl_2019/,,ÖVP,ÖVP,0,1110,27,1137,0,556,0,first,,,ÖVP,ÖVP,376,Austria,AT_10301,official,Official municipality totals excluding separately reported postal ballots. National vote and seat totals include those postal ballots; they are not assigned to false municipality polygons.,0
Breitenbrunn am Neusiedler See,https://www.bmi.gv.at/412/Nationalratswahlen/Nationalratswahl_2019/,,ÖVP,ÖVP,0,1110,27,1137,0,556,0,first,,,SPÖ,SPÖ,331,Austria,AT_10301,official,Official municipality totals excluding separately reported postal ballots. National vote and seat totals include those postal ballots; they are not assigned to false municipality polygons.,0
