district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note,district_seats
Antwerp,https://elections.fgov.be/elections-du-9-juin-2024-tableaux-des-resultats,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,N-VA,N-VA,1373924,1191187,44400,1235587,89.93,119051,0,first,,,N-VA,N-VA,368877,Belgium,BE21,official,Official SPF Interior Chamber returns; the map shows the locally leading list in each multi-member constituency.,24
Antwerp,https://elections.fgov.be/elections-du-9-juin-2024-tableaux-des-resultats,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,N-VA,N-VA,1373924,1191187,44400,1235587,89.93,119051,0,first,,,VLAAMS BELANG,VLAAMS BELANG,249826,Belgium,BE21,official,Official SPF Interior Chamber returns; the map shows the locally leading list in each multi-member constituency.,24
Antwerp,https://elections.fgov.be/elections-du-9-juin-2024-tableaux-des-resultats,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,N-VA,N-VA,1373924,1191187,44400,1235587,89.93,119051,0,first,,,Vooruit,Vooruit,127973,Belgium,BE21,official,Official SPF Interior Chamber returns; the map shows the locally leading list in each multi-member constituency.,24
Antwerp,https://elections.fgov.be/elections-du-9-juin-2024-tableaux-des-resultats,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,N-VA,N-VA,1373924,1191187,44400,1235587,89.93,119051,0,first,,,cd&v,cd&v,125894,Belgium,BE21,official,Official SPF Interior Chamber returns; the map shows the locally leading list in each multi-member constituency.,24
Antwerp,https://elections.fgov.be/elections-du-9-juin-2024-tableaux-des-resultats,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,N-VA,N-VA,1373924,1191187,44400,1235587,89.93,119051,0,first,,,PVDA,PVDA,125257,Belgium,BE21,official,Official SPF Interior Chamber returns; the map shows the locally leading list in each multi-member constituency.,24
Antwerp,https://elections.fgov.be/elections-du-9-juin-2024-tableaux-des-resultats,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,N-VA,N-VA,1373924,1191187,44400,1235587,89.93,119051,0,first,,,GROEN,GROEN,90370,Belgium,BE21,official,Official SPF Interior Chamber returns; the map shows the locally leading list in each multi-member constituency.,24
Antwerp,https://elections.fgov.be/elections-du-9-juin-2024-tableaux-des-resultats,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,N-VA,N-VA,1373924,1191187,44400,1235587,89.93,119051,0,first,,,Open Vld,Open Vld,70890,Belgium,BE21,official,Official SPF Interior Chamber returns; the map shows the locally leading list in each multi-member constituency.,24
Antwerp,https://elections.fgov.be/elections-du-9-juin-2024-tableaux-des-resultats,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,N-VA,N-VA,1373924,1191187,44400,1235587,89.93,119051,0,first,,,DierAnimal,DierAnimal,10341,Belgium,BE21,official,Official SPF Interior Chamber returns; the map shows the locally leading list in each multi-member constituency.,24
Antwerp,https://elections.fgov.be/elections-du-9-juin-2024-tableaux-des-resultats,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,N-VA,N-VA,1373924,1191187,44400,1235587,89.93,119051,0,first,,,Voor U,Voor U,8639,Belgium,BE21,official,Official SPF Interior Chamber returns; the map shows the locally leading list in each multi-member constituency.,24
Antwerp,https://elections.fgov.be/elections-du-9-juin-2024-tableaux-des-resultats,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,N-VA,N-VA,1373924,1191187,44400,1235587,89.93,119051,0,first,,,Partij BLANCO,Partij BLANCO,7221,Belgium,BE21,official,Official SPF Interior Chamber returns; the map shows the locally leading list in each multi-member constituency.,24
Antwerp,https://elections.fgov.be/elections-du-9-juin-2024-tableaux-des-resultats,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,N-VA,N-VA,1373924,1191187,44400,1235587,89.93,119051,0,first,,,Volt Europa,Volt Europa,4213,Belgium,BE21,official,Official SPF Interior Chamber returns; the map shows the locally leading list in each multi-member constituency.,24
Antwerp,https://elections.fgov.be/elections-du-9-juin-2024-tableaux-des-resultats,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,N-VA,N-VA,1373924,1191187,44400,1235587,89.93,119051,0,first,,,BELG.UNIE-BUB,BELG.UNIE-BUB,1686,Belgium,BE21,official,Official SPF Interior Chamber returns; the map shows the locally leading list in each multi-member constituency.,24
Brussels-Capital,https://elections.fgov.be/elections-du-9-juin-2024-tableaux-des-resultats,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,MR,MR,632495,518926,27970,546896,86.47,23639,0,first,,,MR,MR,120155,Belgium,BE10,official,Official SPF Interior Chamber returns; the map shows the locally leading list in each multi-member constituency. Brussels/Flemish-Brabant enrolment and invalid ballots are proportionally apportioned from their exact joint canton totals because facility-municipality ballots are assigned across the constituency boundary.,16
Brussels-Capital,https://elections.fgov.be/elections-du-9-juin-2024-tableaux-des-resultats,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,MR,MR,632495,518926,27970,546896,86.47,23639,0,first,,,PS,PS,96516,Belgium,BE10,official,Official SPF Interior Chamber returns; the map shows the locally leading list in each multi-member constituency. Brussels/Flemish-Brabant enrolment and invalid ballots are proportionally apportioned from their exact joint canton totals because facility-municipality ballots are assigned across the constituency boundary.,16
Brussels-Capital,https://elections.fgov.be/elections-du-9-juin-2024-tableaux-des-resultats,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,MR,MR,632495,518926,27970,546896,86.47,23639,0,first,,,PTB-PVDA,PTB-PVDA,86927,Belgium,BE10,official,Official SPF Interior Chamber returns; the map shows the locally leading list in each multi-member constituency. Brussels/Flemish-Brabant enrolment and invalid ballots are proportionally apportioned from their exact joint canton totals because facility-municipality ballots are assigned across the constituency boundary.,16
