district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note
Acre,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,421778,0,421778,,184338,0,first,,,Jair Bolsonaro,Jair Bolsonaro,262508,State,BR-UF-AC,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Acre,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,421778,0,421778,,184338,0,first,,,Fernando Haddad,Fernando Haddad,78170,State,BR-UF-AC,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Acre,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,421778,0,421778,,184338,0,first,,,Geraldo Alckmin,Geraldo Alckmin,33115,State,BR-UF-AC,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Acre,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,421778,0,421778,,184338,0,first,,,Other candidates,Other candidates,26176,State,BR-UF-AC,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Acre,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,421778,0,421778,,184338,0,first,,,Ciro Gomes,Ciro Gomes,21809,State,BR-UF-AC,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Alagoas,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Fernando Haddad,Fernando Haddad,0,1535746,0,1535746,,158892,0,first,,,Fernando Haddad,Fernando Haddad,687247,State,BR-UF-AL,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Alagoas,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Fernando Haddad,Fernando Haddad,0,1535746,0,1535746,,158892,0,first,,,Jair Bolsonaro,Jair Bolsonaro,528355,State,BR-UF-AL,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Alagoas,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Fernando Haddad,Fernando Haddad,0,1535746,0,1535746,,158892,0,first,,,Ciro Gomes,Ciro Gomes,155457,State,BR-UF-AL,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Alagoas,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Fernando Haddad,Fernando Haddad,0,1535746,0,1535746,,158892,0,first,,,Other candidates,Other candidates,106107,State,BR-UF-AL,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Alagoas,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Fernando Haddad,Fernando Haddad,0,1535746,0,1535746,,158892,0,first,,,Geraldo Alckmin,Geraldo Alckmin,58580,State,BR-UF-AL,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
