district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note,district_seats
København,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,434242,356165,5810,361975,83.36,178083,0,first,,,Social Democrats,Social Democrats,63042,Denmark,DK_101,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
København,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,434242,356165,5810,361975,83.36,178083,0,first,,,Red-Green Alliance,Red-Green Alliance,54246,Denmark,DK_101,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
København,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,434242,356165,5810,361975,83.36,178083,0,first,,,SF,SF,42762,Denmark,DK_101,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
København,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,434242,356165,5810,361975,83.36,178083,0,first,,,Alternative,Alternative,36877,Denmark,DK_101,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
København,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,434242,356165,5810,361975,83.36,178083,0,first,,,Moderates,Moderates,32677,Denmark,DK_101,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
København,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,434242,356165,5810,361975,83.36,178083,0,first,,,Liberal Alliance,Liberal Alliance,29623,Denmark,DK_101,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
København,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,434242,356165,5810,361975,83.36,178083,0,first,,,Social Liberals,Social Liberals,27910,Denmark,DK_101,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
København,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,434242,356165,5810,361975,83.36,178083,0,first,,,Venstre,Venstre,27867,Denmark,DK_101,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
København,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,434242,356165,5810,361975,83.36,178083,0,first,,,Conservatives,Conservatives,15173,Denmark,DK_101,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
København,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,434242,356165,5810,361975,83.36,178083,0,first,,,Independent Greens,Independent Greens,8852,Denmark,DK_101,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
København,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,434242,356165,5810,361975,83.36,178083,0,first,,,Denmark Democrats,Denmark Democrats,5470,Denmark,DK_101,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
København,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,434242,356165,5810,361975,83.36,178083,0,first,,,New Right,New Right,5400,Denmark,DK_101,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
København,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,434242,356165,5810,361975,83.36,178083,0,first,,,Danish People's Party,Danish People's Party,4862,Denmark,DK_101,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
København,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,434242,356165,5810,361975,83.36,178083,0,first,,,Christian Democrats,Christian Democrats,757,Denmark,DK_101,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
København,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,434242,356165,5810,361975,83.36,178083,0,first,,,Independent,Independent,647,Denmark,DK_101,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
Frederiksberg,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,74976,64748,828,65576,87.46,32375,0,first,,,Social Democrats,Social Democrats,12047,Denmark,DK_147,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
Frederiksberg,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,74976,64748,828,65576,87.46,32375,0,first,,,Red-Green Alliance,Red-Green Alliance,6883,Denmark,DK_147,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
Frederiksberg,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,74976,64748,828,65576,87.46,32375,0,first,,,Venstre,Venstre,6841,Denmark,DK_147,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
Frederiksberg,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,74976,64748,828,65576,87.46,32375,0,first,,,Moderates,Moderates,6827,Denmark,DK_147,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
Frederiksberg,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,74976,64748,828,65576,87.46,32375,0,first,,,SF,SF,6648,Denmark,DK_147,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
Frederiksberg,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,74976,64748,828,65576,87.46,32375,0,first,,,Liberal Alliance,Liberal Alliance,6023,Denmark,DK_147,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
Frederiksberg,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,74976,64748,828,65576,87.46,32375,0,first,,,Conservatives,Conservatives,5504,Denmark,DK_147,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
Frederiksberg,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,74976,64748,828,65576,87.46,32375,0,first,,,Social Liberals,Social Liberals,5155,Denmark,DK_147,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
Frederiksberg,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,74976,64748,828,65576,87.46,32375,0,first,,,Alternative,Alternative,4966,Denmark,DK_147,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
Frederiksberg,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,74976,64748,828,65576,87.46,32375,0,first,,,Denmark Democrats,Denmark Democrats,1040,Denmark,DK_147,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
Frederiksberg,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,74976,64748,828,65576,87.46,32375,0,first,,,New Right,New Right,868,Denmark,DK_147,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
Frederiksberg,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,74976,64748,828,65576,87.46,32375,0,first,,,Danish People's Party,Danish People's Party,861,Denmark,DK_147,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
Frederiksberg,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,74976,64748,828,65576,87.46,32375,0,first,,,Independent Greens,Independent Greens,853,Denmark,DK_147,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
Frederiksberg,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,74976,64748,828,65576,87.46,32375,0,first,,,Christian Democrats,Christian Democrats,141,Denmark,DK_147,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
Frederiksberg,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,74976,64748,828,65576,87.46,32375,0,first,,,Independent,Independent,91,Denmark,DK_147,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
Ballerup,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,34571,28041,559,28600,82.73,14021,0,first,,,Social Democrats,Social Democrats,9939,Denmark,DK_151,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
Ballerup,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,34571,28041,559,28600,82.73,14021,0,first,,,SF,SF,2717,Denmark,DK_151,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
Ballerup,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,34571,28041,559,28600,82.73,14021,0,first,,,Moderates,Moderates,2663,Denmark,DK_151,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
Ballerup,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,34571,28041,559,28600,82.73,14021,0,first,,,Venstre,Venstre,2527,Denmark,DK_151,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
Ballerup,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,34571,28041,559,28600,82.73,14021,0,first,,,Liberal Alliance,Liberal Alliance,1772,Denmark,DK_151,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
Ballerup,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,34571,28041,559,28600,82.73,14021,0,first,,,Red-Green Alliance,Red-Green Alliance,1325,Denmark,DK_151,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
Ballerup,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,34571,28041,559,28600,82.73,14021,0,first,,,Conservatives,Conservatives,1276,Denmark,DK_151,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
Ballerup,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,34571,28041,559,28600,82.73,14021,0,first,,,Denmark Democrats,Denmark Democrats,1231,Denmark,DK_151,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
Ballerup,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,34571,28041,559,28600,82.73,14021,0,first,,,Danish People's Party,Danish People's Party,1181,Denmark,DK_151,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
Ballerup,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,34571,28041,559,28600,82.73,14021,0,first,,,Social Liberals,Social Liberals,1082,Denmark,DK_151,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
Ballerup,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,34571,28041,559,28600,82.73,14021,0,first,,,New Right,New Right,909,Denmark,DK_151,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
Ballerup,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,34571,28041,559,28600,82.73,14021,0,first,,,Alternative,Alternative,854,Denmark,DK_151,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
Ballerup,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,34571,28041,559,28600,82.73,14021,0,first,,,Independent Greens,Independent Greens,405,Denmark,DK_151,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
Ballerup,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,34571,28041,559,28600,82.73,14021,0,first,,,Christian Democrats,Christian Democrats,117,Denmark,DK_151,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
Ballerup,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,34571,28041,559,28600,82.73,14021,0,first,,,Independent,Independent,43,Denmark,DK_151,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
Brøndby,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,23562,17503,334,17837,75.7,8752,0,first,,,Social Democrats,Social Democrats,6364,Denmark,DK_153,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
Brøndby,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,23562,17503,334,17837,75.7,8752,0,first,,,SF,SF,1518,Denmark,DK_153,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
Brøndby,https://www.dst.dk/valg/valg1968094/valgopg/valgopgHL.htm,,Social Democrats,Social Democrats,23562,17503,334,17837,75.7,8752,0,first,,,Moderates,Moderates,1335,Denmark,DK_153,official,"Official municipality party totals. Folketing seats are allocated through larger constituencies and national adjustment, not by municipality.",0
