district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,primary_leader,primary_leader_party,primary_leader_votes,winner,winner_party,winner_final_votes,runner_up,runner_up_party,runner_up_final_votes,final_margin,preference_changed_result,winner_transfer_gain
Aston,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-197.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-197.htm,"TUDGE, Alan",Liberal,96043,85586,3525,89111,92.78,14698,"TUDGE, Alan",Liberal,43532,"TUDGE, Alan",Liberal,50142,"KLISARIS, Paul",Australian Labor Party,35444,14698,False,6610
Ballarat,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-198.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-198.htm,"KING, Catherine",Australian Labor Party,110755,97707,5461,103168,93.15,14297,"KING, Catherine",Australian Labor Party,42275,"KING, Catherine",Australian Labor Party,56002,"WADE, Sarah",Liberal,41705,14297,False,13727
Batman,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-199.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-199.htm,"FEENEY, David",Australian Labor Party,108935,90101,7601,97702,89.69,1853,"BHATHAL, Alex",The Greens,32645,"FEENEY, David",Australian Labor Party,45977,"BHATHAL, Alex",The Greens,44124,1853,True,14197
Bendigo,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-200.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-200.htm,"CHESTERS, Lisa",Australian Labor Party,109604,97503,4705,102208,93.25,7293,"CHESTERS, Lisa",Australian Labor Party,37396,"CHESTERS, Lisa",Australian Labor Party,52398,"PURCELL, Megan",Liberal,45105,7293,False,15002
Bruce,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-201.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-201.htm,"HILL, Julian",Australian Labor Party,96742,83012,4064,87076,90.01,6776,"HILL, Julian",Australian Labor Party,36804,"HILL, Julian",Australian Labor Party,44894,"KROGER, Helen",Liberal,38118,6776,False,8090
Calwell,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-203.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-203.htm,"VAMVAKINOU, Maria",Australian Labor Party,109405,89848,6286,96134,87.87,32108,"VAMVAKINOU, Maria",Australian Labor Party,51040,"VAMVAKINOU, Maria",Australian Labor Party,60978,"HSU, John",Liberal,28870,32108,False,9938
Casey,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-204.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-204.htm,"SMITH, Tony",Liberal,102908,92231,3620,95851,93.14,11175,"SMITH, Tony",Liberal,45680,"SMITH, Tony",Liberal,51703,"MELKONIAN, Hovig",Australian Labor Party,40528,11175,False,6023
Chisholm,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-205.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-205.htm,"BANKS, Julia",Liberal,97424,86720,2439,89159,91.52,2154,"BANKS, Julia",Liberal,39265,"BANKS, Julia",Liberal,44437,"PERRI, Stefanie",Australian Labor Party,42283,2154,False,5172
Corangamite,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-207.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-207.htm,"HENDERSON, Sarah",Liberal,110277,98417,5181,103598,93.94,6165,"HENDERSON, Sarah",Liberal,45687,"HENDERSON, Sarah",Liberal,52291,"COKER, Libby",Australian Labor Party,46126,6165,False,6604
Corio,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-208.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-208.htm,"MARLES, Richard",Australian Labor Party,107808,94435,4561,98996,91.83,18877,"MARLES, Richard",Australian Labor Party,43087,"MARLES, Richard",Australian Labor Party,56656,"LANGE, Richard",Liberal,37779,18877,False,13569
Deakin,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-209.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-209.htm,"SUKKAR, Michael",Liberal,99698,90268,2471,92739,93.02,10260,"SUKKAR, Michael",Liberal,45161,"SUKKAR, Michael",Liberal,50264,"CLARK, Tony",Australian Labor Party,40004,10260,False,5103
Dunkley,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-210.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-210.htm,"CREWTHER, Chris",Liberal,104957,89293,6151,95444,90.94,2557,"CREWTHER, Chris",Liberal,38158,"CREWTHER, Chris",Liberal,45925,"MURPHY, Peta",Australian Labor Party,43368,2557,False,7767
Flinders,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-211.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-211.htm,"HUNT, Greg",Liberal,115356,101574,3863,105437,91.4,15792,"HUNT, Greg",Liberal,52412,"HUNT, Greg",Liberal,58683,"GLEIXNER, Carolyn",Australian Labor Party,42891,15792,False,6271
Gellibrand,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-212.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-212.htm,"WATTS, Tim",Australian Labor Party,108469,92417,3868,96285,88.77,33703,"WATTS, Tim",Australian Labor Party,43340,"WATTS, Tim",Australian Labor Party,63060,"WILLIS, Ben",Liberal,29357,33703,False,19720
Gippsland,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-213.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-213.htm,"CHESTER, Darren",The Nationals,104088,89292,6588,95880,92.11,32920,"CHESTER, Darren",The Nationals,50309,"CHESTER, Darren",The Nationals,61106,"BHATTI, Shashi",Australian Labor Party,28186,32920,False,10797
Goldstein,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-214.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-214.htm,"WILSON, Tim",Liberal,104895,93540,2363,95903,91.43,23716,"WILSON, Tim",Liberal,52694,"WILSON, Tim",Liberal,58628,"COOTE, Matthew Ross",Australian Labor Party,34912,23716,False,5934
Gorton,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-309.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-309.htm,"O'CONNOR, Brendan",Australian Labor Party,115977,98105,5253,103358,89.12,38165,"O'CONNOR, Brendan",Australian Labor Party,61110,"O'CONNOR, Brendan",Australian Labor Party,68135,"LANG, Daryl",Liberal,29970,38165,False,7025
Higgins,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-215.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-215.htm,"O'DWYER, Kelly",Liberal,104678,90291,3550,93841,89.65,14427,"O'DWYER, Kelly",Liberal,46953,"O'DWYER, Kelly",Liberal,52359,"BALL, Jason",The Greens,37932,14427,False,5406
Holt,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-216.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-216.htm,"BYRNE, Anthony",Australian Labor Party,116291,99630,5243,104873,90.18,28228,"BYRNE, Anthony",Australian Labor Party,53506,"BYRNE, Anthony",Australian Labor Party,63929,"MATHIAS, James",Liberal,35701,28228,False,10423
