district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,primary_leader,primary_leader_party,primary_leader_votes,winner,winner_party,winner_final_votes,runner_up,runner_up_party,runner_up_final_votes,final_margin,preference_changed_result,winner_transfer_gain
Adelaide,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-179.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-179.htm,"GEORGANAS, Steve",Australian Labor Party,129960,112764,4438,117202,90.18,26868,"GEORGANAS, Steve",Australian Labor Party,45086,"GEORGANAS, Steve",Australian Labor Party,69816,"GRANTHAM, Amy",Liberal,42948,26868,False,24730
Aston,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-197.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-197.htm,"TUDGE, Alan",Liberal,109705,98160,3320,101480,92.5,5520,"TUDGE, Alan",Liberal,42260,"TUDGE, Alan",Liberal,51840,"DOYLE, Mary",Australian Labor Party,46320,5520,False,9580
Ballarat,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-198.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-198.htm,"KING, Catherine",Australian Labor Party,110570,96500,5109,101609,91.9,25040,"KING, Catherine",Australian Labor Party,43171,"KING, Catherine",Australian Labor Party,60770,"GREEN, Ben",Liberal,35730,25040,False,17599
Banks,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-103.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-103.htm,"COLEMAN, David",Liberal,107700,92045,6550,98595,91.55,5893,"COLEMAN, David",Liberal,41622,"COLEMAN, David",Liberal,48969,"SOON, Zhi",Labor,43076,5893,False,7347
Barker,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-180.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-180.htm,"PASIN, Tony",Liberal,123326,105799,7909,113708,92.2,35167,"PASIN, Tony",Liberal,56330,"PASIN, Tony",Liberal,70483,"BRAES, Mark",Australian Labor Party,35316,35167,False,14153
Barton,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-104.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-104.htm,"BURNEY, Linda",Australian Labor Party,110371,91623,7405,99028,89.72,28485,"BURNEY, Linda",Labor,46206,"BURNEY, Linda",Labor,60054,"GOODY, John",Liberal,31569,28485,False,13848
Bass,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-192.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-192.htm,"ARCHER, Bridget Kathleen",Liberal,79322,68609,4324,72933,91.95,1967,"ARCHER, Bridget Kathleen",Liberal,27257,"ARCHER, Bridget Kathleen",Liberal,35288,"HART, Ross",Australian Labor Party,33321,1967,False,8031
Bean,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-318.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-318.htm,"SMITH, David",Australian Labor Party,109432,98394,2915,101309,92.58,25476,"SMITH, David",Australian Labor Party,41060,"SMITH, David",Australian Labor Party,61935,"HIATT, Jane",Liberal,36459,25476,False,20875
Bendigo,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-200.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-200.htm,"CHESTERS, Lisa",Australian Labor Party,112354,99779,3764,103543,92.16,24157,"CHESTERS, Lisa",Australian Labor Party,42883,"CHESTERS, Lisa",Australian Labor Party,61968,"SCHADE, Darin",Liberal,37811,24157,False,19085
Bennelong,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-105.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-105.htm,"LAXALE, Jerome",Australian Labor Party,114942,99648,6130,105778,92.03,1954,"KENNEDY, Simon",Liberal,41206,"LAXALE, Jerome",Labor,50801,"KENNEDY, Simon",Liberal,48847,1954,True,13205
Berowra,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-106.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-106.htm,"LEESER, Julian",Liberal,106174,93306,6083,99389,93.61,18236,"LEESER, Julian",Liberal,45797,"LEESER, Julian",Liberal,55771,"KOSCHINSKI, Benson",Labor,37535,18236,False,9974
Blair,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-304.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-304.htm,"NEUMANN, Shayne",Australian Labor Party,126366,104247,5832,110079,87.11,10903,"NEUMANN, Shayne",Australian Labor Party,36494,"NEUMANN, Shayne",Australian Labor Party,57575,"BIGGINS, Sam",Liberal National Party of Queensland,46672,10903,False,21081
Blaxland,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-107.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-107.htm,"CLARE, Jason",Australian Labor Party,107252,81677,9884,91561,85.37,24401,"CLARE, Jason",Labor,44905,"CLARE, Jason",Labor,53039,"GUNEY, Oz",Liberal,28638,24401,False,8134
Bonner,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-310.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-310.htm,"VASTA, Ross",Liberal National Party of Queensland,109132,96374,2467,98841,90.57,6568,"VASTA, Ross",Liberal National Party of Queensland,43191,"VASTA, Ross",Liberal National Party of Queensland,51471,"YOUNG, Tabatha",Australian Labor Party,44903,6568,False,8280
Boothby,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-182.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-182.htm,"MILLER-FROST, Louise",Australian Labor Party,128592,113707,5289,118996,92.54,7451,"SWIFT, Rachel",Liberal,43196,"MILLER-FROST, Louise",Australian Labor Party,60579,"SWIFT, Rachel",Liberal,53128,7451,True,23833
Bowman,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-155.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-155.htm,"PIKE, Henry",Liberal National Party of Queensland,115715,101692,3045,104737,90.51,11202,"PIKE, Henry",Liberal National Party of Queensland,43088,"PIKE, Henry",Liberal National Party of Queensland,56447,"DUFF, Donisha",Australian Labor Party,45245,11202,False,13359
Braddon,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-193.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-193.htm,"PEARCE, Gavin",Liberal,82424,70598,5858,76456,92.76,11338,"PEARCE, Gavin",Liberal,31142,"PEARCE, Gavin",Liberal,40968,"LYNCH, Chris",Australian Labor Party,29630,11338,False,9826
Bradfield,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-108.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-108.htm,"FLETCHER, Paul",Liberal,108540,96704,3616,100320,92.43,8190,"FLETCHER, Paul",Liberal,43562,"FLETCHER, Paul",Liberal,52447,"BOELE, Nicolette",Independent,44257,8190,False,8885
Brand,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-235.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-235.htm,"KING, Madeleine",Australian Labor Party,118102,95681,6551,102232,86.56,31977,"KING, Madeleine",Australian Labor Party,48031,"KING, Madeleine",Australian Labor Party,63829,"HUDSON, Peter",Liberal,31852,31977,False,15798
Brisbane,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-156.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-156.htm,"BATES, Stephen",The Greens,125208,108798,2312,111110,88.74,8122,"EVANS, Trevor",Liberal National Party of Queensland,41032,"BATES, Stephen",Queensland Greens,58460,"EVANS, Trevor",Liberal National Party of Queensland,50338,8122,True,28819
Bruce,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-201.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-201.htm,"HILL, Julian",Australian Labor Party,112756,95290,4321,99611,88.34,12550,"HILL, Julian",Australian Labor Party,39516,"HILL, Julian",Australian Labor Party,53920,"MOODY, James",Liberal,41370,12550,False,14404
Burt,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-317.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-317.htm,"KEOGH, Matt",Australian Labor Party,112918,91550,5675,97225,86.1,27858,"KEOGH, Matt",Australian Labor Party,47268,"KEOGH, Matt",Australian Labor Party,59704,"GOODE, David",Liberal,31846,27858,False,12436
Calare,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-109.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-109.htm,"GEE, Andrew",The Nationals,121414,107319,4455,111774,92.06,20775,"GEE, Andrew",The Nationals,51161,"GEE, Andrew",The Nationals,64047,"HOOK, Kate",Independent,43272,20775,False,12886
Calwell,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-203.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-203.htm,"VAMVAKINOU, Maria",Australian Labor Party,106706,84995,5724,90719,85.02,21069,"VAMVAKINOU, Maria",Australian Labor Party,38127,"VAMVAKINOU, Maria",Australian Labor Party,53032,"STAKER-GUNN, Tim",Liberal,31963,21069,False,14905
Canberra,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-101.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-101.htm,"PAYNE, Alicia",Australian Labor Party,102078,92322,1668,93990,92.08,22520,"PAYNE, Alicia",Australian Labor Party,41435,"PAYNE, Alicia",Australian Labor Party,57421,"HOLLO, Tim",The Greens,34901,22520,False,15986
Canning,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-236.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-236.htm,"HASTIE, Andrew",Liberal,115165,94264,6558,100822,87.55,6762,"HASTIE, Andrew",Liberal,41294,"HASTIE, Andrew",Liberal,50513,"HUNT, Amanda",Australian Labor Party,43751,6762,False,9219
Capricornia,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-157.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-157.htm,"LANDRY, Michelle",Liberal National Party of Queensland,108569,90292,5904,96196,88.6,11900,"LANDRY, Michelle",Liberal National Party of Queensland,35613,"LANDRY, Michelle",Liberal National Party of Queensland,51096,"ROBERTSON, Russell",Australian Labor Party,39196,11900,False,15483
Casey,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-204.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-204.htm,"VIOLI, Aaron",Liberal,114277,99621,6652,106273,93,2945,"VIOLI, Aaron",Liberal,36347,"VIOLI, Aaron",Liberal,51283,"BRINDLE, Bill",Australian Labor Party,48338,2945,False,14936
Chifley,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-111.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-111.htm,"HUSIC, Ed",Australian Labor Party,121280,97189,9471,106660,87.95,26175,"HUSIC, Ed",Labor,51236,"HUSIC, Ed",Labor,61682,"SINGH, Jugandeep",Liberal,35507,26175,False,10446
