district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes
Adelaide,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-179.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-179.htm,"GEORGANAS, Steve",Australian Labor Party,129960,112764,4438,117202,90.18,26868,0,first,,,"GEORGANAS, Steve",Australian Labor Party,45086
Adelaide,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-179.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-179.htm,"GEORGANAS, Steve",Australian Labor Party,129960,112764,4438,117202,90.18,26868,0,first,,,"GRANTHAM, Amy",Liberal,36080
Adelaide,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-179.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-179.htm,"GEORGANAS, Steve",Australian Labor Party,129960,112764,4438,117202,90.18,26868,0,first,,,"GALDIES, Rebecca",The Greens,22666
Adelaide,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-179.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-179.htm,"GEORGANAS, Steve",Australian Labor Party,129960,112764,4438,117202,90.18,26868,0,first,,,"ALLWOOD, Gayle",Pauline Hanson's One Nation,3376
Adelaide,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-179.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-179.htm,"GEORGANAS, Steve",Australian Labor Party,129960,112764,4438,117202,90.18,26868,0,first,,,"ALLWOOD, Sean",United Australia Party,3055
Adelaide,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-179.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-179.htm,"GEORGANAS, Steve",Australian Labor Party,129960,112764,4438,117202,90.18,26868,0,first,,,"McMILLAN, Matthew","FUSION: Science, Pirate, Secular, Climate Emergency",1631
Adelaide,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-179.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-179.htm,"GEORGANAS, Steve",Australian Labor Party,129960,112764,4438,117202,90.18,26868,0,first,,,"GERHARD, Faith",Australian Federation Party,870
Adelaide,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-179.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-179.htm,"GEORGANAS, Steve",Australian Labor Party,129960,112764,4438,117202,90.18,26868,1,transfer,"GERHARD, Faith",Australian Federation Party,"ALLWOOD, Gayle",Pauline Hanson's One Nation,309
Adelaide,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-179.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-179.htm,"GEORGANAS, Steve",Australian Labor Party,129960,112764,4438,117202,90.18,26868,1,transfer,"GERHARD, Faith",Australian Federation Party,"ALLWOOD, Sean",United Australia Party,215
Adelaide,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-179.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-179.htm,"GEORGANAS, Steve",Australian Labor Party,129960,112764,4438,117202,90.18,26868,1,transfer,"GERHARD, Faith",Australian Federation Party,"GALDIES, Rebecca",The Greens,74
Adelaide,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-179.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-179.htm,"GEORGANAS, Steve",Australian Labor Party,129960,112764,4438,117202,90.18,26868,1,transfer,"GERHARD, Faith",Australian Federation Party,"GEORGANAS, Steve",Australian Labor Party,64
Adelaide,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-179.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-179.htm,"GEORGANAS, Steve",Australian Labor Party,129960,112764,4438,117202,90.18,26868,1,transfer,"GERHARD, Faith",Australian Federation Party,"GRANTHAM, Amy",Liberal,83
Adelaide,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-179.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-179.htm,"GEORGANAS, Steve",Australian Labor Party,129960,112764,4438,117202,90.18,26868,1,transfer,"GERHARD, Faith",Australian Federation Party,"McMILLAN, Matthew","FUSION: Science, Pirate, Secular, Climate Emergency",125
Adelaide,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-179.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-179.htm,"GEORGANAS, Steve",Australian Labor Party,129960,112764,4438,117202,90.18,26868,1,progressive,"GERHARD, Faith",Australian Federation Party,"GEORGANAS, Steve",Australian Labor Party,45150
Adelaide,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-179.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-179.htm,"GEORGANAS, Steve",Australian Labor Party,129960,112764,4438,117202,90.18,26868,1,progressive,"GERHARD, Faith",Australian Federation Party,"GRANTHAM, Amy",Liberal,36163
Adelaide,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-179.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-179.htm,"GEORGANAS, Steve",Australian Labor Party,129960,112764,4438,117202,90.18,26868,1,progressive,"GERHARD, Faith",Australian Federation Party,"GALDIES, Rebecca",The Greens,22740
Adelaide,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-179.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-179.htm,"GEORGANAS, Steve",Australian Labor Party,129960,112764,4438,117202,90.18,26868,1,progressive,"GERHARD, Faith",Australian Federation Party,"ALLWOOD, Gayle",Pauline Hanson's One Nation,3685
Adelaide,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-179.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-179.htm,"GEORGANAS, Steve",Australian Labor Party,129960,112764,4438,117202,90.18,26868,1,progressive,"GERHARD, Faith",Australian Federation Party,"ALLWOOD, Sean",United Australia Party,3270
Adelaide,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-179.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-179.htm,"GEORGANAS, Steve",Australian Labor Party,129960,112764,4438,117202,90.18,26868,1,progressive,"GERHARD, Faith",Australian Federation Party,"McMILLAN, Matthew","FUSION: Science, Pirate, Secular, Climate Emergency",1756
Adelaide,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-179.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-179.htm,"GEORGANAS, Steve",Australian Labor Party,129960,112764,4438,117202,90.18,26868,2,transfer,"McMILLAN, Matthew","FUSION: Science, Pirate, Secular, Climate Emergency","ALLWOOD, Gayle",Pauline Hanson's One Nation,139
Adelaide,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-179.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-179.htm,"GEORGANAS, Steve",Australian Labor Party,129960,112764,4438,117202,90.18,26868,2,transfer,"McMILLAN, Matthew","FUSION: Science, Pirate, Secular, Climate Emergency","ALLWOOD, Sean",United Australia Party,204
Adelaide,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-179.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-179.htm,"GEORGANAS, Steve",Australian Labor Party,129960,112764,4438,117202,90.18,26868,2,transfer,"McMILLAN, Matthew","FUSION: Science, Pirate, Secular, Climate Emergency","GALDIES, Rebecca",The Greens,943
Adelaide,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-179.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-179.htm,"GEORGANAS, Steve",Australian Labor Party,129960,112764,4438,117202,90.18,26868,2,transfer,"McMILLAN, Matthew","FUSION: Science, Pirate, Secular, Climate Emergency","GEORGANAS, Steve",Australian Labor Party,320
Adelaide,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-179.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-179.htm,"GEORGANAS, Steve",Australian Labor Party,129960,112764,4438,117202,90.18,26868,2,transfer,"McMILLAN, Matthew","FUSION: Science, Pirate, Secular, Climate Emergency","GRANTHAM, Amy",Liberal,150
Adelaide,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-179.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-179.htm,"GEORGANAS, Steve",Australian Labor Party,129960,112764,4438,117202,90.18,26868,2,progressive,"McMILLAN, Matthew","FUSION: Science, Pirate, Secular, Climate Emergency","GEORGANAS, Steve",Australian Labor Party,45470
Adelaide,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-179.htm,https://results.aec.gov.au/27966/Website/HouseDop-27966-179.htm,"GEORGANAS, Steve",Australian Labor Party,129960,112764,4438,117202,90.18,26868,2,progressive,"McMILLAN, Matthew","FUSION: Science, Pirate, Secular, Climate Emergency","GRANTHAM, Amy",Liberal,36313
