district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,contest_status,result_note,mandate_awarded
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,GRÜNE,GRÜNE,231536,178575,1537,180112,77.790063,89288,0,first,,,CDU,CDU,41721,Schleswig-Holstein,official,,True
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,GRÜNE,GRÜNE,231536,178575,1537,180112,77.790063,89288,0,first,,,SPD,SPD,38927,Schleswig-Holstein,official,,True
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,GRÜNE,GRÜNE,231536,178575,1537,180112,77.790063,89288,0,first,,,FDP,FDP,12299,Schleswig-Holstein,official,,True
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,GRÜNE,GRÜNE,231536,178575,1537,180112,77.790063,89288,0,first,,,GRÜNE,GRÜNE,50231,Schleswig-Holstein,official,,True
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,GRÜNE,GRÜNE,231536,178575,1537,180112,77.790063,89288,0,first,,,AfD,AfD,9768,Schleswig-Holstein,official,,True
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,GRÜNE,GRÜNE,231536,178575,1537,180112,77.790063,89288,0,first,,,DIE LINKE,DIE LINKE,6544,Schleswig-Holstein,official,,True
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,GRÜNE,GRÜNE,231536,178575,1537,180112,77.790063,89288,0,first,,,FREIE WÄHLER,FREIE WÄHLER,2324,Schleswig-Holstein,official,,True
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,GRÜNE,GRÜNE,231536,178575,1537,180112,77.790063,89288,0,first,,,dieBasis,dieBasis,3357,Schleswig-Holstein,official,,True
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,GRÜNE,GRÜNE,231536,178575,1537,180112,77.790063,89288,0,first,,,du.,du.,227,Schleswig-Holstein,official,,True
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,GRÜNE,GRÜNE,231536,178575,1537,180112,77.790063,89288,0,first,,,Wir Bürger (2021: LKR),Wir Bürger (2021: LKR),157,Schleswig-Holstein,official,,True
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,GRÜNE,GRÜNE,231536,178575,1537,180112,77.790063,89288,0,first,,,SSW,SSW,13020,Schleswig-Holstein,official,,True
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,GRÜNE,GRÜNE,231536,178575,1537,180112,77.790063,89288,0,party_vote,,,CDU,CDU,36421,Schleswig-Holstein,official,,True
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,GRÜNE,GRÜNE,231536,178575,1537,180112,77.790063,89288,0,party_vote,,,SPD,SPD,45508,Schleswig-Holstein,official,,True
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,GRÜNE,GRÜNE,231536,178575,1537,180112,77.790063,89288,0,party_vote,,,FDP,FDP,19189,Schleswig-Holstein,official,,True
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,GRÜNE,GRÜNE,231536,178575,1537,180112,77.790063,89288,0,party_vote,,,GRÜNE,GRÜNE,33300,Schleswig-Holstein,official,,True
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,GRÜNE,GRÜNE,231536,178575,1537,180112,77.790063,89288,0,party_vote,,,AfD,AfD,10317,Schleswig-Holstein,official,,True
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse.html,GRÜNE,GRÜNE,231536,178575,1537,180112,77.790063,89288,0,party_vote,,,DIE LINKE,DIE LINKE,7475,Schleswig-Holstein,official,,True
