district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note,district_seats
Έβρου,https://ekloges-prev.singularlogic.eu/2023/june/v/home/districts/1/,https://www.ypes.gr/lipsi-archeion-apotelesmaton-ethnikon-eklogon/,New Democracy,New Democracy,163523,76539,1141,77680,47.5,22333,0,first,,,New Democracy,New Democracy,33814,Greece,GR2023-01,archived-result-feed,"Ministry-hosted election archive; the map shows the locally leading party list, while seats are allocated under the national parliamentary system.",4
Έβρου,https://ekloges-prev.singularlogic.eu/2023/june/v/home/districts/1/,https://www.ypes.gr/lipsi-archeion-apotelesmaton-ethnikon-eklogon/,New Democracy,New Democracy,163523,76539,1141,77680,47.5,22333,0,first,,,SYRIZA,SYRIZA,11481,Greece,GR2023-01,archived-result-feed,"Ministry-hosted election archive; the map shows the locally leading party list, while seats are allocated under the national parliamentary system.",4
Έβρου,https://ekloges-prev.singularlogic.eu/2023/june/v/home/districts/1/,https://www.ypes.gr/lipsi-archeion-apotelesmaton-ethnikon-eklogon/,New Democracy,New Democracy,163523,76539,1141,77680,47.5,22333,0,first,,,PASOK–KINAL,PASOK–KINAL,9614,Greece,GR2023-01,archived-result-feed,"Ministry-hosted election archive; the map shows the locally leading party list, while seats are allocated under the national parliamentary system.",4
Έβρου,https://ekloges-prev.singularlogic.eu/2023/june/v/home/districts/1/,https://www.ypes.gr/lipsi-archeion-apotelesmaton-ethnikon-eklogon/,New Democracy,New Democracy,163523,76539,1141,77680,47.5,22333,0,first,,,Greek Solution,Greek Solution,6755,Greece,GR2023-01,archived-result-feed,"Ministry-hosted election archive; the map shows the locally leading party list, while seats are allocated under the national parliamentary system.",4
Έβρου,https://ekloges-prev.singularlogic.eu/2023/june/v/home/districts/1/,https://www.ypes.gr/lipsi-archeion-apotelesmaton-ethnikon-eklogon/,New Democracy,New Democracy,163523,76539,1141,77680,47.5,22333,0,first,,,Spartans,Spartans,4179,Greece,GR2023-01,archived-result-feed,"Ministry-hosted election archive; the map shows the locally leading party list, while seats are allocated under the national parliamentary system.",4
Έβρου,https://ekloges-prev.singularlogic.eu/2023/june/v/home/districts/1/,https://www.ypes.gr/lipsi-archeion-apotelesmaton-ethnikon-eklogon/,New Democracy,New Democracy,163523,76539,1141,77680,47.5,22333,0,first,,,KKE,KKE,2893,Greece,GR2023-01,archived-result-feed,"Ministry-hosted election archive; the map shows the locally leading party list, while seats are allocated under the national parliamentary system.",4
Έβρου,https://ekloges-prev.singularlogic.eu/2023/june/v/home/districts/1/,https://www.ypes.gr/lipsi-archeion-apotelesmaton-ethnikon-eklogon/,New Democracy,New Democracy,163523,76539,1141,77680,47.5,22333,0,first,,,Niki,Niki,2659,Greece,GR2023-01,archived-result-feed,"Ministry-hosted election archive; the map shows the locally leading party list, while seats are allocated under the national parliamentary system.",4
Έβρου,https://ekloges-prev.singularlogic.eu/2023/june/v/home/districts/1/,https://www.ypes.gr/lipsi-archeion-apotelesmaton-ethnikon-eklogon/,New Democracy,New Democracy,163523,76539,1141,77680,47.5,22333,0,first,,,Course of Freedom,Course of Freedom,1349,Greece,GR2023-01,archived-result-feed,"Ministry-hosted election archive; the map shows the locally leading party list, while seats are allocated under the national parliamentary system.",4
Έβρου,https://ekloges-prev.singularlogic.eu/2023/june/v/home/districts/1/,https://www.ypes.gr/lipsi-archeion-apotelesmaton-ethnikon-eklogon/,New Democracy,New Democracy,163523,76539,1141,77680,47.5,22333,0,first,,,MeRA25,MeRA25,1059,Greece,GR2023-01,archived-result-feed,"Ministry-hosted election archive; the map shows the locally leading party list, while seats are allocated under the national parliamentary system.",4
Έβρου,https://ekloges-prev.singularlogic.eu/2023/june/v/home/districts/1/,https://www.ypes.gr/lipsi-archeion-apotelesmaton-ethnikon-eklogon/,New Democracy,New Democracy,163523,76539,1141,77680,47.5,22333,0,first,,,ΦΩΝΗ ΛΟΓΙΚΗΣ ΑΦΡΟΔΙΤΗ ΛΑΤΙΝΟΠΟΥΛΟΥ,ΦΩΝΗ ΛΟΓΙΚΗΣ ΑΦΡΟΔΙΤΗ ΛΑΤΙΝΟΠΟΥΛΟΥ,512,Greece,GR2023-01,archived-result-feed,"Ministry-hosted election archive; the map shows the locally leading party list, while seats are allocated under the national parliamentary system.",4
