district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status
Andaman & Nicobar Islands,https://www.eci.gov.in/statistical-report/ge/2024/11,https://www.eci.gov.in/statistical-report/ge/2024/11,Bishnu Pada Ray,Bharatiya Janata Party,315745,202514,83,202597,64.16,101258,0,first,,,Bishnu Pada Ray,Bharatiya Janata Party,102436,Andaman & Nicobar Islands,3500000001,official
Andaman & Nicobar Islands,https://www.eci.gov.in/statistical-report/ge/2024/11,https://www.eci.gov.in/statistical-report/ge/2024/11,Bishnu Pada Ray,Bharatiya Janata Party,315745,202514,83,202597,64.16,101258,0,first,,,Kuldeep Rai Sharma,Indian National Congress,78040,Andaman & Nicobar Islands,3500000001,official
Andaman & Nicobar Islands,https://www.eci.gov.in/statistical-report/ge/2024/11,https://www.eci.gov.in/statistical-report/ge/2024/11,Bishnu Pada Ray,Bharatiya Janata Party,315745,202514,83,202597,64.16,101258,0,first,,,Manoj Paul,Andaman Nicobar Democratic Congress,8254,Andaman & Nicobar Islands,3500000001,official
Andaman & Nicobar Islands,https://www.eci.gov.in/statistical-report/ge/2024/11,https://www.eci.gov.in/statistical-report/ge/2024/11,Bishnu Pada Ray,Bharatiya Janata Party,315745,202514,83,202597,64.16,101258,0,first,,,D Ayyappan,Communist Party of India (Marxist),6017,Andaman & Nicobar Islands,3500000001,official
Andaman & Nicobar Islands,https://www.eci.gov.in/statistical-report/ge/2024/11,https://www.eci.gov.in/statistical-report/ge/2024/11,Bishnu Pada Ray,Bharatiya Janata Party,315745,202514,83,202597,64.16,101258,0,first,,,V.K. Abdul Aziz,Independent,2203,Andaman & Nicobar Islands,3500000001,official
Andaman & Nicobar Islands,https://www.eci.gov.in/statistical-report/ge/2024/11,https://www.eci.gov.in/statistical-report/ge/2024/11,Bishnu Pada Ray,Bharatiya Janata Party,315745,202514,83,202597,64.16,101258,0,first,,,Nota,None of the Above,1809,Andaman & Nicobar Islands,3500000001,official
Andaman & Nicobar Islands,https://www.eci.gov.in/statistical-report/ge/2024/11,https://www.eci.gov.in/statistical-report/ge/2024/11,Bishnu Pada Ray,Bharatiya Janata Party,315745,202514,83,202597,64.16,101258,0,first,,,K J B Selvaraj,All India Anna Dravida Munnetra Kazhagam,914,Andaman & Nicobar Islands,3500000001,official
Andaman & Nicobar Islands,https://www.eci.gov.in/statistical-report/ge/2024/11,https://www.eci.gov.in/statistical-report/ge/2024/11,Bishnu Pada Ray,Bharatiya Janata Party,315745,202514,83,202597,64.16,101258,0,first,,,Dr Arun Kumar Mallik,Bahujan Samaj Party,719,Andaman & Nicobar Islands,3500000001,official
Andaman & Nicobar Islands,https://www.eci.gov.in/statistical-report/ge/2024/11,https://www.eci.gov.in/statistical-report/ge/2024/11,Bishnu Pada Ray,Bharatiya Janata Party,315745,202514,83,202597,64.16,101258,0,first,,,Rinku Mala Mondal,Independent,542,Andaman & Nicobar Islands,3500000001,official
Andaman & Nicobar Islands,https://www.eci.gov.in/statistical-report/ge/2024/11,https://www.eci.gov.in/statistical-report/ge/2024/11,Bishnu Pada Ray,Bharatiya Janata Party,315745,202514,83,202597,64.16,101258,0,first,,,K Venkat Ram Babu,Independent,507,Andaman & Nicobar Islands,3500000001,official
