district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note
Aceh,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,Prabowo Subianto–Hatta Rajasa,Prabowo–Hatta,0,2002599,0,2002599,0,175981,0,first,,,Prabowo Subianto–Hatta Rajasa,Prabowo–Hatta,1089290,Indonesia,1,official,
Aceh,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,Prabowo Subianto–Hatta Rajasa,Prabowo–Hatta,0,2002599,0,2002599,0,175981,0,first,,,Joko Widodo–Jusuf Kalla,Jokowi–Kalla,913309,Indonesia,1,official,
Sumatera Utara,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,Joko Widodo–Jusuf Kalla,Jokowi–Kalla,0,6326349,0,6326349,0,663321,0,first,,,Prabowo Subianto–Hatta Rajasa,Prabowo–Hatta,2831514,Indonesia,2,official,
Sumatera Utara,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,Joko Widodo–Jusuf Kalla,Jokowi–Kalla,0,6326349,0,6326349,0,663321,0,first,,,Joko Widodo–Jusuf Kalla,Jokowi–Kalla,3494835,Indonesia,2,official,
Sumatera Barat,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,Prabowo Subianto–Hatta Rajasa,Prabowo–Hatta,0,2336813,0,2336813,0,1258197,0,first,,,Prabowo Subianto–Hatta Rajasa,Prabowo–Hatta,1797505,Indonesia,3,official,
Sumatera Barat,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,Prabowo Subianto–Hatta Rajasa,Prabowo–Hatta,0,2336813,0,2336813,0,1258197,0,first,,,Joko Widodo–Jusuf Kalla,Jokowi–Kalla,539308,Indonesia,3,official,
Riau,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,Prabowo Subianto–Hatta Rajasa,Prabowo–Hatta,0,2692155,0,2692155,0,6521,0,first,,,Prabowo Subianto–Hatta Rajasa,Prabowo–Hatta,1349338,Indonesia,4,official,
Riau,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,Prabowo Subianto–Hatta Rajasa,Prabowo–Hatta,0,2692155,0,2692155,0,6521,0,first,,,Joko Widodo–Jusuf Kalla,Jokowi–Kalla,1342817,Indonesia,4,official,
Jambi,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,Joko Widodo–Jusuf Kalla,Jokowi–Kalla,0,1769103,0,1769103,0,26471,0,first,,,Prabowo Subianto–Hatta Rajasa,Prabowo–Hatta,871316,Indonesia,5,official,
Jambi,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,Joko Widodo–Jusuf Kalla,Jokowi–Kalla,0,1769103,0,1769103,0,26471,0,first,,,Joko Widodo–Jusuf Kalla,Jokowi–Kalla,897787,Indonesia,5,official,
