district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note
Aceh Barat,https://opendata.kpu.go.id/ds/140,https://opendata.kpu.go.id/ds/140,Prabowo Subianto–Sandiaga Uno,Prabowo–Sandiaga,0,113211,0,113211,0,81565,0,first,,,Joko Widodo–Ma'ruf Amin,Jokowi–Ma'ruf,15823,Aceh,1105,official,
Aceh Barat,https://opendata.kpu.go.id/ds/140,https://opendata.kpu.go.id/ds/140,Prabowo Subianto–Sandiaga Uno,Prabowo–Sandiaga,0,113211,0,113211,0,81565,0,first,,,Prabowo Subianto–Sandiaga Uno,Prabowo–Sandiaga,97388,Aceh,1105,official,
Aceh Barat Daya,https://opendata.kpu.go.id/ds/140,https://opendata.kpu.go.id/ds/140,Prabowo Subianto–Sandiaga Uno,Prabowo–Sandiaga,0,85489,0,85489,0,67889,0,first,,,Joko Widodo–Ma'ruf Amin,Jokowi–Ma'ruf,8800,Aceh,1112,official,
Aceh Barat Daya,https://opendata.kpu.go.id/ds/140,https://opendata.kpu.go.id/ds/140,Prabowo Subianto–Sandiaga Uno,Prabowo–Sandiaga,0,85489,0,85489,0,67889,0,first,,,Prabowo Subianto–Sandiaga Uno,Prabowo–Sandiaga,76689,Aceh,1112,official,
Aceh Besar,https://opendata.kpu.go.id/ds/140,https://opendata.kpu.go.id/ds/140,Prabowo Subianto–Sandiaga Uno,Prabowo–Sandiaga,0,223424,0,223424,0,184782,0,first,,,Joko Widodo–Ma'ruf Amin,Jokowi–Ma'ruf,19321,Aceh,1106,official,
Aceh Besar,https://opendata.kpu.go.id/ds/140,https://opendata.kpu.go.id/ds/140,Prabowo Subianto–Sandiaga Uno,Prabowo–Sandiaga,0,223424,0,223424,0,184782,0,first,,,Prabowo Subianto–Sandiaga Uno,Prabowo–Sandiaga,204103,Aceh,1106,official,
Aceh Jaya,https://opendata.kpu.go.id/ds/140,https://opendata.kpu.go.id/ds/140,Prabowo Subianto–Sandiaga Uno,Prabowo–Sandiaga,0,53467,0,53467,0,42187,0,first,,,Joko Widodo–Ma'ruf Amin,Jokowi–Ma'ruf,5640,Aceh,1114,official,
Aceh Jaya,https://opendata.kpu.go.id/ds/140,https://opendata.kpu.go.id/ds/140,Prabowo Subianto–Sandiaga Uno,Prabowo–Sandiaga,0,53467,0,53467,0,42187,0,first,,,Prabowo Subianto–Sandiaga Uno,Prabowo–Sandiaga,47827,Aceh,1114,official,
Aceh Selatan,https://opendata.kpu.go.id/ds/140,https://opendata.kpu.go.id/ds/140,Prabowo Subianto–Sandiaga Uno,Prabowo–Sandiaga,0,133084,0,133084,0,107948,0,first,,,Joko Widodo–Ma'ruf Amin,Jokowi–Ma'ruf,12568,Aceh,1101,official,
Aceh Selatan,https://opendata.kpu.go.id/ds/140,https://opendata.kpu.go.id/ds/140,Prabowo Subianto–Sandiaga Uno,Prabowo–Sandiaga,0,133084,0,133084,0,107948,0,first,,,Prabowo Subianto–Sandiaga Uno,Prabowo–Sandiaga,120516,Aceh,1101,official,
