district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note,district_seats
Torino,https://github.com/ondata/elezionipolitiche2018,,Five Star Movement,Five Star Movement,0,1219650,0,1219650,0,609826,0,first,,,Five Star Movement,Five Star Movement,342977,Italy,IT-PROV-001,official,Ministry-format municipality party-list rows preserved by the OnData mirror and aggregated to province. Compatible local turnout metadata is unavailable. Aosta Valley's separate direct seat and overseas constituencies are excluded.,0
Torino,https://github.com/ondata/elezionipolitiche2018,,Five Star Movement,Five Star Movement,0,1219650,0,1219650,0,609826,0,first,,,Democratic Party,Democratic Party,274411,Italy,IT-PROV-001,official,Ministry-format municipality party-list rows preserved by the OnData mirror and aggregated to province. Compatible local turnout metadata is unavailable. Aosta Valley's separate direct seat and overseas constituencies are excluded.,0
Torino,https://github.com/ondata/elezionipolitiche2018,,Five Star Movement,Five Star Movement,0,1219650,0,1219650,0,609826,0,first,,,Lega,Lega,238043,Italy,IT-PROV-001,official,Ministry-format municipality party-list rows preserved by the OnData mirror and aggregated to province. Compatible local turnout metadata is unavailable. Aosta Valley's separate direct seat and overseas constituencies are excluded.,0
Torino,https://github.com/ondata/elezionipolitiche2018,,Five Star Movement,Five Star Movement,0,1219650,0,1219650,0,609826,0,first,,,Forza Italia,Forza Italia,150173,Italy,IT-PROV-001,official,Ministry-format municipality party-list rows preserved by the OnData mirror and aggregated to province. Compatible local turnout metadata is unavailable. Aosta Valley's separate direct seat and overseas constituencies are excluded.,0
Torino,https://github.com/ondata/elezionipolitiche2018,,Five Star Movement,Five Star Movement,0,1219650,0,1219650,0,609826,0,first,,,More Europe,More Europe,58011,Italy,IT-PROV-001,official,Ministry-format municipality party-list rows preserved by the OnData mirror and aggregated to province. Compatible local turnout metadata is unavailable. Aosta Valley's separate direct seat and overseas constituencies are excluded.,0
Torino,https://github.com/ondata/elezionipolitiche2018,,Five Star Movement,Five Star Movement,0,1219650,0,1219650,0,609826,0,first,,,Free and Equal,Free and Equal,53097,Italy,IT-PROV-001,official,Ministry-format municipality party-list rows preserved by the OnData mirror and aggregated to province. Compatible local turnout metadata is unavailable. Aosta Valley's separate direct seat and overseas constituencies are excluded.,0
Torino,https://github.com/ondata/elezionipolitiche2018,,Five Star Movement,Five Star Movement,0,1219650,0,1219650,0,609826,0,first,,,Brothers of Italy,Brothers of Italy,44498,Italy,IT-PROV-001,official,Ministry-format municipality party-list rows preserved by the OnData mirror and aggregated to province. Compatible local turnout metadata is unavailable. Aosta Valley's separate direct seat and overseas constituencies are excluded.,0
Torino,https://github.com/ondata/elezionipolitiche2018,,Five Star Movement,Five Star Movement,0,1219650,0,1219650,0,609826,0,first,,,Power to the People,Power to the People,16124,Italy,IT-PROV-001,official,Ministry-format municipality party-list rows preserved by the OnData mirror and aggregated to province. Compatible local turnout metadata is unavailable. Aosta Valley's separate direct seat and overseas constituencies are excluded.,0
Torino,https://github.com/ondata/elezionipolitiche2018,,Five Star Movement,Five Star Movement,0,1219650,0,1219650,0,609826,0,first,,,Casapound Italia,Casapound Italia,12375,Italy,IT-PROV-001,official,Ministry-format municipality party-list rows preserved by the OnData mirror and aggregated to province. Compatible local turnout metadata is unavailable. Aosta Valley's separate direct seat and overseas constituencies are excluded.,0
Torino,https://github.com/ondata/elezionipolitiche2018,,Five Star Movement,Five Star Movement,0,1219650,0,1219650,0,609826,0,first,,,Il Popolo Della Famiglia,Il Popolo Della Famiglia,7944,Italy,IT-PROV-001,official,Ministry-format municipality party-list rows preserved by the OnData mirror and aggregated to province. Compatible local turnout metadata is unavailable. Aosta Valley's separate direct seat and overseas constituencies are excluded.,0
