district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note
Hokkaido 1,https://www.soumu.go.jp/senkyo/senkyo_s/data/shugiin50/index.html,https://www.soumu.go.jp/senkyo/senkyo_s/data/shugiin50/index.html,道下 大樹,Constitutional Democratic Party,0,250075,0,250075,,125038,0,first,,,道下 大樹,Constitutional Democratic Party,108394,Hokkaido,JP-01-01,official,Candidate totals are the whole-vote figures in the official constituency table. Japan's national party summary separately allocates a very small number of fractional ambiguous ballots. District turnout and invalid-ballot metadata are unavailable.
Hokkaido 1,https://www.soumu.go.jp/senkyo/senkyo_s/data/shugiin50/index.html,https://www.soumu.go.jp/senkyo/senkyo_s/data/shugiin50/index.html,道下 大樹,Constitutional Democratic Party,0,250075,0,250075,,125038,0,first,,,加藤 貴弘,Liberal Democratic Party,80133,Hokkaido,JP-01-01,official,
Hokkaido 1,https://www.soumu.go.jp/senkyo/senkyo_s/data/shugiin50/index.html,https://www.soumu.go.jp/senkyo/senkyo_s/data/shugiin50/index.html,道下 大樹,Constitutional Democratic Party,0,250075,0,250075,,125038,0,first,,,千葉 尚子,Japanese Communist Party,21451,Hokkaido,JP-01-01,official,
Hokkaido 1,https://www.soumu.go.jp/senkyo/senkyo_s/data/shugiin50/index.html,https://www.soumu.go.jp/senkyo/senkyo_s/data/shugiin50/index.html,道下 大樹,Constitutional Democratic Party,0,250075,0,250075,,125038,0,first,,,田中 義人,Sanseitō,20097,Hokkaido,JP-01-01,official,
Hokkaido 1,https://www.soumu.go.jp/senkyo/senkyo_s/data/shugiin50/index.html,https://www.soumu.go.jp/senkyo/senkyo_s/data/shugiin50/index.html,道下 大樹,Constitutional Democratic Party,0,250075,0,250075,,125038,0,first,,,小林 悟,Japan Innovation Party,20000,Hokkaido,JP-01-01,official,
Hokkaido 2,https://www.soumu.go.jp/senkyo/senkyo_s/data/shugiin50/index.html,https://www.soumu.go.jp/senkyo/senkyo_s/data/shugiin50/index.html,松木 謙公,Constitutional Democratic Party,0,234765,0,234765,,117383,0,first,,,松木 謙公,Constitutional Democratic Party,94002,Hokkaido,JP-01-02,official,Candidate totals are the whole-vote figures in the official constituency table. Japan's national party summary separately allocates a very small number of fractional ambiguous ballots. District turnout and invalid-ballot metadata are unavailable.
Hokkaido 2,https://www.soumu.go.jp/senkyo/senkyo_s/data/shugiin50/index.html,https://www.soumu.go.jp/senkyo/senkyo_s/data/shugiin50/index.html,松木 謙公,Constitutional Democratic Party,0,234765,0,234765,,117383,0,first,,,高橋 祐介,Liberal Democratic Party,76835,Hokkaido,JP-01-02,official,
Hokkaido 2,https://www.soumu.go.jp/senkyo/senkyo_s/data/shugiin50/index.html,https://www.soumu.go.jp/senkyo/senkyo_s/data/shugiin50/index.html,松木 謙公,Constitutional Democratic Party,0,234765,0,234765,,117383,0,first,,,山崎 泉,Japan Innovation Party,32073,Hokkaido,JP-01-02,official,
Hokkaido 2,https://www.soumu.go.jp/senkyo/senkyo_s/data/shugiin50/index.html,https://www.soumu.go.jp/senkyo/senkyo_s/data/shugiin50/index.html,松木 謙公,Constitutional Democratic Party,0,234765,0,234765,,117383,0,first,,,宮内 史織,Japanese Communist Party,31855,Hokkaido,JP-01-02,official,
Hokkaido 3,https://www.soumu.go.jp/senkyo/senkyo_s/data/shugiin50/index.html,https://www.soumu.go.jp/senkyo/senkyo_s/data/shugiin50/index.html,荒井 優,Constitutional Democratic Party,0,239914,0,239914,,119958,0,first,,,荒井 優,Constitutional Democratic Party,100136,Hokkaido,JP-01-03,official,Candidate totals are the whole-vote figures in the official constituency table. Japan's national party summary separately allocates a very small number of fractional ambiguous ballots. District turnout and invalid-ballot metadata are unavailable.
Hokkaido 3,https://www.soumu.go.jp/senkyo/senkyo_s/data/shugiin50/index.html,https://www.soumu.go.jp/senkyo/senkyo_s/data/shugiin50/index.html,荒井 優,Constitutional Democratic Party,0,239914,0,239914,,119958,0,first,,,高木 宏壽,Liberal Democratic Party,83089,Hokkaido,JP-01-03,official,
Hokkaido 3,https://www.soumu.go.jp/senkyo/senkyo_s/data/shugiin50/index.html,https://www.soumu.go.jp/senkyo/senkyo_s/data/shugiin50/index.html,荒井 優,Constitutional Democratic Party,0,239914,0,239914,,119958,0,first,,,伊藤 理智子,Japanese Communist Party,22915,Hokkaido,JP-01-03,official,
Hokkaido 3,https://www.soumu.go.jp/senkyo/senkyo_s/data/shugiin50/index.html,https://www.soumu.go.jp/senkyo/senkyo_s/data/shugiin50/index.html,荒井 優,Constitutional Democratic Party,0,239914,0,239914,,119958,0,first,,,鳥越 良孝,Japan Innovation Party,21802,Hokkaido,JP-01-03,official,
Hokkaido 3,https://www.soumu.go.jp/senkyo/senkyo_s/data/shugiin50/index.html,https://www.soumu.go.jp/senkyo/senkyo_s/data/shugiin50/index.html,荒井 優,Constitutional Democratic Party,0,239914,0,239914,,119958,0,first,,,増田 健治,Independent,11972,Hokkaido,JP-01-03,official,
Hokkaido 4,https://www.soumu.go.jp/senkyo/senkyo_s/data/shugiin50/index.html,https://www.soumu.go.jp/senkyo/senkyo_s/data/shugiin50/index.html,大築 紅葉,Constitutional Democratic Party,0,224959,0,224959,,112480,0,first,,,大築 紅葉,Constitutional Democratic Party,101484,Hokkaido,JP-01-04,official,Candidate totals are the whole-vote figures in the official constituency table. Japan's national party summary separately allocates a very small number of fractional ambiguous ballots. District turnout and invalid-ballot metadata are unavailable.
Hokkaido 4,https://www.soumu.go.jp/senkyo/senkyo_s/data/shugiin50/index.html,https://www.soumu.go.jp/senkyo/senkyo_s/data/shugiin50/index.html,大築 紅葉,Constitutional Democratic Party,0,224959,0,224959,,112480,0,first,,,中村 裕之,Liberal Democratic Party,94090,Hokkaido,JP-01-04,official,
Hokkaido 4,https://www.soumu.go.jp/senkyo/senkyo_s/data/shugiin50/index.html,https://www.soumu.go.jp/senkyo/senkyo_s/data/shugiin50/index.html,大築 紅葉,Constitutional Democratic Party,0,224959,0,224959,,112480,0,first,,,佐々木 明美,Japanese Communist Party,19063,Hokkaido,JP-01-04,official,
Hokkaido 4,https://www.soumu.go.jp/senkyo/senkyo_s/data/shugiin50/index.html,https://www.soumu.go.jp/senkyo/senkyo_s/data/shugiin50/index.html,大築 紅葉,Constitutional Democratic Party,0,224959,0,224959,,112480,0,first,,,斎藤 佳代,Independent,10322,Hokkaido,JP-01-04,official,
