seat_type,seat_number,constituency,member,party
constituency,,Barnet and Camden,"Clarke, Anne",Labour
constituency,,Bexley and Bromley,"Turrell, Thomas Frederick",Conservative
constituency,,Brent and Harrow,"Hirani, Krupesh",Labour
constituency,,City and East,"Desai, Unmesh",Labour
constituency,,Croydon and Sutton,"Garratt, Neil Robert",Conservative
constituency,,Ealing and Hillingdon,"Mahfouz, Bassam",Labour
constituency,,Enfield and Haringey,"McCartney, Joanne",Labour
constituency,,Greenwich and Lewisham,"Duvall, Len",Labour
constituency,,Havering and Redbridge,"Prince, Keith Anthony",Conservative
constituency,,Lambeth and Southwark,"Ahmad, Marina Masuma",Labour
constituency,,Merton and Wandsworth,"Cooper, Leonie Alison",Labour
constituency,,North East,"Moema, Sem",Labour
constituency,,South West,"Roberts, Gareth David",Liberal Democrats
constituency,,West Central,"Small-Edwards, James Tacuma",Labour
london-wide,1,,Siân Berry,Green Party
london-wide,2,,Susan Mary Hall,Conservative
london-wide,3,,Alex Wilson,Reform UK
london-wide,4,,Caroline Russell,Green Party
london-wide,5,,Shaun Bailey,Conservative
london-wide,6,,Emma Dawn Best,Conservative
london-wide,7,,Hina Bokhari,Liberal Democrats
london-wide,8,,Zack Polanski,Green Party
london-wide,9,,Andrew Boff,Conservative
london-wide,10,,Elly Baker,Labour
london-wide,11,,Alessandro Georgiou,Conservative
