district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note
Barnet and Camden,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"KHAN, Sadiq",Labour,413809,163055,770,163825,39.59,13519,0,first,,,"AMIN, Femy",Animal Welfare Party,1833,London,LON24-barnet-and-camden,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
Barnet and Camden,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"KHAN, Sadiq",Labour,413809,163055,770,163825,39.59,13519,0,first,,,"BINFACE, Count",Count Binface Party,1701,London,LON24-barnet-and-camden,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
Barnet and Camden,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"KHAN, Sadiq",Labour,413809,163055,770,163825,39.59,13519,0,first,,,"BLACKIE, Rob",Liberal Democrats,8480,London,LON24-barnet-and-camden,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
Barnet and Camden,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"KHAN, Sadiq",Labour,413809,163055,770,163825,39.59,13519,0,first,,,"CAMPBELL, Natalie Denise",Independent,2810,London,LON24-barnet-and-camden,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
Barnet and Camden,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"KHAN, Sadiq",Labour,413809,163055,770,163825,39.59,13519,0,first,,,"COX, Howard",Reform UK,4266,London,LON24-barnet-and-camden,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
Barnet and Camden,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"KHAN, Sadiq",Labour,413809,163055,770,163825,39.59,13519,0,first,,,"GALLAGHER, Amy",Social Democratic Party,1987,London,LON24-barnet-and-camden,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
Barnet and Camden,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"KHAN, Sadiq",Labour,413809,163055,770,163825,39.59,13519,0,first,,,"GARBETT, Zoë",Green Party,9044,London,LON24-barnet-and-camden,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
Barnet and Camden,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"KHAN, Sadiq",Labour,413809,163055,770,163825,39.59,13519,0,first,,,"GHULATI, Tarun",Independent,1251,London,LON24-barnet-and-camden,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
Barnet and Camden,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"KHAN, Sadiq",Labour,413809,163055,770,163825,39.59,13519,0,first,,,"HALL, Susan Mary",Conservative,57465,London,LON24-barnet-and-camden,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
Barnet and Camden,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"KHAN, Sadiq",Labour,413809,163055,770,163825,39.59,13519,0,first,,,"KHAN, Sadiq",Labour,70984,London,LON24-barnet-and-camden,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
Barnet and Camden,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"KHAN, Sadiq",Labour,413809,163055,770,163825,39.59,13519,0,first,,,"MICHLI, Andreas Christoffi",Independent,1669,London,LON24-barnet-and-camden,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
Barnet and Camden,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"KHAN, Sadiq",Labour,413809,163055,770,163825,39.59,13519,0,first,,,"ROSE, Brian Benedict",London Real Party,479,London,LON24-barnet-and-camden,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
Barnet and Camden,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"KHAN, Sadiq",Labour,413809,163055,770,163825,39.59,13519,0,first,,,"SCANLON, Nick",Britain First,1086,London,LON24-barnet-and-camden,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
Bexley and Bromley,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"HALL, Susan Mary",Conservative,421800,203508,550,204058,48.38,62264,0,first,,,"AMIN, Femy",Animal Welfare Party,1899,London,LON24-bexley-and-bromley,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
Bexley and Bromley,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"HALL, Susan Mary",Conservative,421800,203508,550,204058,48.38,62264,0,first,,,"BINFACE, Count",Count Binface Party,1827,London,LON24-bexley-and-bromley,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
Bexley and Bromley,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"HALL, Susan Mary",Conservative,421800,203508,550,204058,48.38,62264,0,first,,,"BLACKIE, Rob",Liberal Democrats,10111,London,LON24-bexley-and-bromley,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
Bexley and Bromley,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"HALL, Susan Mary",Conservative,421800,203508,550,204058,48.38,62264,0,first,,,"CAMPBELL, Natalie Denise",Independent,2727,London,LON24-bexley-and-bromley,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
Bexley and Bromley,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"HALL, Susan Mary",Conservative,421800,203508,550,204058,48.38,62264,0,first,,,"COX, Howard",Reform UK,9243,London,LON24-bexley-and-bromley,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
Bexley and Bromley,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"HALL, Susan Mary",Conservative,421800,203508,550,204058,48.38,62264,0,first,,,"GALLAGHER, Amy",Social Democratic Party,3710,London,LON24-bexley-and-bromley,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
Bexley and Bromley,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"HALL, Susan Mary",Conservative,421800,203508,550,204058,48.38,62264,0,first,,,"GARBETT, Zoë",Green Party,8600,London,LON24-bexley-and-bromley,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
Bexley and Bromley,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"HALL, Susan Mary",Conservative,421800,203508,550,204058,48.38,62264,0,first,,,"GHULATI, Tarun",Independent,1194,London,LON24-bexley-and-bromley,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
Bexley and Bromley,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"HALL, Susan Mary",Conservative,421800,203508,550,204058,48.38,62264,0,first,,,"HALL, Susan Mary",Conservative,111216,London,LON24-bexley-and-bromley,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
Bexley and Bromley,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"HALL, Susan Mary",Conservative,421800,203508,550,204058,48.38,62264,0,first,,,"KHAN, Sadiq",Labour,48952,London,LON24-bexley-and-bromley,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
Bexley and Bromley,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"HALL, Susan Mary",Conservative,421800,203508,550,204058,48.38,62264,0,first,,,"MICHLI, Andreas Christoffi",Independent,1513,London,LON24-bexley-and-bromley,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
Bexley and Bromley,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,https://www.londonelects.org.uk/im-voter/election-results/results-2024/,"HALL, Susan Mary",Conservative,421800,203508,550,204058,48.38,62264,0,first,,,"ROSE, Brian Benedict",London Real Party,342,London,LON24-bexley-and-bromley,official,The Mayor is elected London-wide. The constituency map shows the locally leading mayoral candidate.
