district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,unreturned_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status
Padang Besar,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2018,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2018,Zahidi Bin Zainul Abidin,BN,46096,36500,780,152,37432,81.2,18251,0,first,,,Zahidi Bin Zainul Abidin,BN,15032,Perlis,P.001,official
Padang Besar,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2018,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2018,Zahidi Bin Zainul Abidin,BN,46096,36500,780,152,37432,81.2,18251,0,first,,,Izizam Bin Ibrahim,PKR,13594,Perlis,P.001,official
Padang Besar,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2018,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2018,Zahidi Bin Zainul Abidin,BN,46096,36500,780,152,37432,81.2,18251,0,first,,,Mokhtar Senik,PAS,7874,Perlis,P.001,official
Padang Besar,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2018,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2018,Zahidi Bin Zainul Abidin,BN,46096,36500,780,152,37432,81.2,18251,1,final,,,Zahidi Bin Zainul Abidin,BN,15032,Perlis,P.001,official
Padang Besar,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2018,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2018,Zahidi Bin Zainul Abidin,BN,46096,36500,780,152,37432,81.2,18251,1,final,,,Izizam Bin Ibrahim,PKR,13594,Perlis,P.001,official
Padang Besar,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2018,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2018,Zahidi Bin Zainul Abidin,BN,46096,36500,780,152,37432,81.2,18251,1,final,,,Mokhtar Senik,PAS,7874,Perlis,P.001,official
Kangar,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2018,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2018,Amin Ahmad,PKR,55938,44680,806,217,45703,81.7,22341,0,first,,,Amin Ahmad,PKR,20909,Perlis,P.002,official
Kangar,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2018,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2018,Amin Ahmad,PKR,55938,44680,806,217,45703,81.7,22341,0,first,,,Ramli Shariff,BN,15306,Perlis,P.002,official
Kangar,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2018,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2018,Amin Ahmad,PKR,55938,44680,806,217,45703,81.7,22341,0,first,,,Zahid Ibrahim,PAS,8465,Perlis,P.002,official
Kangar,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2018,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2018,Amin Ahmad,PKR,55938,44680,806,217,45703,81.7,22341,1,final,,,Amin Ahmad,PKR,20909,Perlis,P.002,official
Kangar,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2018,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2018,Amin Ahmad,PKR,55938,44680,806,217,45703,81.7,22341,1,final,,,Ramli Shariff,BN,15306,Perlis,P.002,official
Kangar,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2018,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2018,Amin Ahmad,PKR,55938,44680,806,217,45703,81.7,22341,1,final,,,Zahid Ibrahim,PAS,8465,Perlis,P.002,official
Arau,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2018,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2018,Shahidan Bin Kassim,BN,48187,39600,690,143,40433,83.91,19801,0,first,,,Shahidan Bin Kassim,BN,16547,Perlis,P.003,official
Arau,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2018,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2018,Shahidan Bin Kassim,BN,48187,39600,690,143,40433,83.91,19801,0,first,,,Abdul Rahman Bin Daud,PKR,11691,Perlis,P.003,official
Arau,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2018,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2018,Shahidan Bin Kassim,BN,48187,39600,690,143,40433,83.91,19801,0,first,,,Hashim Jasin,PAS,11362,Perlis,P.003,official
Arau,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2018,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2018,Shahidan Bin Kassim,BN,48187,39600,690,143,40433,83.91,19801,1,final,,,Shahidan Bin Kassim,BN,16547,Perlis,P.003,official
Arau,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2018,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2018,Shahidan Bin Kassim,BN,48187,39600,690,143,40433,83.91,19801,1,final,,,Abdul Rahman Bin Daud,PKR,11691,Perlis,P.003,official
Arau,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2018,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2018,Shahidan Bin Kassim,BN,48187,39600,690,143,40433,83.91,19801,1,final,,,Hashim Jasin,PAS,11362,Perlis,P.003,official
