district,council,ward,district_url,distribution_url,elected_member,elected_party,elected_members,elected_parties,members_to_elect,quota,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,candidate_status,candidate_elected,candidate_elected_order,votes,electorate_type,constituency_code,contest_status,result_note
Melbourne — Councillors,Melbourne,Councillors,https://www.vec.vic.gov.au/results/council-election-results/2024-council-election-results/melbourne-city-council,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/Council/Reports/Melbourne2024Distribution.xls,"LOUEY, Kevin; GUEST, Owen; BALL, Olivia; LIU, Gladys; LIU, Philip Le; SCOTT, Mark; CAMILLO, Rafael; ROWSE, Andrew; GRIFFITHS, Davydd",TEAM NICK REECE; LIBERALS FOR MELBOURNE CITY; THE GREENS; TEAM KOUTA; TEAM WOOD; TEAM NICK REECE; TEAM MORGAN MAKE MELBOURNE SAFE; INNOVATE MELBOURNE; LABOR FOR MELBOURNE,"LOUEY, Kevin; GUEST, Owen; BALL, Olivia; LIU, Gladys; LIU, Philip Le; SCOTT, Mark; CAMILLO, Rafael; ROWSE, Andrew; GRIFFITHS, Davydd",TEAM NICK REECE; LIBERALS FOR MELBOURNE CITY; THE GREENS; TEAM KOUTA; TEAM WOOD; TEAM NICK REECE; TEAM MORGAN MAKE MELBOURNE SAFE; INNOVATE MELBOURNE; LABOR FOR MELBOURNE,9,8961,136502,89606,2139,91745,67.21,3457,0,first,,,"LIU, Philip Le",TEAM WOOD,Elected,True,5,9137,Melbourne,VICL24-melbourne-councillors,official,Nine councillors are elected citywide by proportional representation. First preferences include above-the-line ticket votes allocated in the official count.
Melbourne — Councillors,Melbourne,Councillors,https://www.vec.vic.gov.au/results/council-election-results/2024-council-election-results/melbourne-city-council,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/Council/Reports/Melbourne2024Distribution.xls,"LOUEY, Kevin; GUEST, Owen; BALL, Olivia; LIU, Gladys; LIU, Philip Le; SCOTT, Mark; CAMILLO, Rafael; ROWSE, Andrew; GRIFFITHS, Davydd",TEAM NICK REECE; LIBERALS FOR MELBOURNE CITY; THE GREENS; TEAM KOUTA; TEAM WOOD; TEAM NICK REECE; TEAM MORGAN MAKE MELBOURNE SAFE; INNOVATE MELBOURNE; LABOR FOR MELBOURNE,"LOUEY, Kevin; GUEST, Owen; BALL, Olivia; LIU, Gladys; LIU, Philip Le; SCOTT, Mark; CAMILLO, Rafael; ROWSE, Andrew; GRIFFITHS, Davydd",TEAM NICK REECE; LIBERALS FOR MELBOURNE CITY; THE GREENS; TEAM KOUTA; TEAM WOOD; TEAM NICK REECE; TEAM MORGAN MAKE MELBOURNE SAFE; INNOVATE MELBOURNE; LABOR FOR MELBOURNE,9,8961,136502,89606,2139,91745,67.21,3457,0,first,,,"OKE, Cathy",TEAM WOOD,,False,,126,Melbourne,VICL24-melbourne-councillors,official,Nine councillors are elected citywide by proportional representation. First preferences include above-the-line ticket votes allocated in the official count.
Melbourne — Councillors,Melbourne,Councillors,https://www.vec.vic.gov.au/results/council-election-results/2024-council-election-results/melbourne-city-council,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/Council/Reports/Melbourne2024Distribution.xls,"LOUEY, Kevin; GUEST, Owen; BALL, Olivia; LIU, Gladys; LIU, Philip Le; SCOTT, Mark; CAMILLO, Rafael; ROWSE, Andrew; GRIFFITHS, Davydd",TEAM NICK REECE; LIBERALS FOR MELBOURNE CITY; THE GREENS; TEAM KOUTA; TEAM WOOD; TEAM NICK REECE; TEAM MORGAN MAKE MELBOURNE SAFE; INNOVATE MELBOURNE; LABOR FOR MELBOURNE,"LOUEY, Kevin; GUEST, Owen; BALL, Olivia; LIU, Gladys; LIU, Philip Le; SCOTT, Mark; CAMILLO, Rafael; ROWSE, Andrew; GRIFFITHS, Davydd",TEAM NICK REECE; LIBERALS FOR MELBOURNE CITY; THE GREENS; TEAM KOUTA; TEAM WOOD; TEAM NICK REECE; TEAM MORGAN MAKE MELBOURNE SAFE; INNOVATE MELBOURNE; LABOR FOR MELBOURNE,9,8961,136502,89606,2139,91745,67.21,3457,0,first,,,"ZERVOS, Nicolas Paul",TEAM WOOD,,False,,15,Melbourne,VICL24-melbourne-councillors,official,Nine councillors are elected citywide by proportional representation. First preferences include above-the-line ticket votes allocated in the official count.
Melbourne — Councillors,Melbourne,Councillors,https://www.vec.vic.gov.au/results/council-election-results/2024-council-election-results/melbourne-city-council,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/Council/Reports/Melbourne2024Distribution.xls,"LOUEY, Kevin; GUEST, Owen; BALL, Olivia; LIU, Gladys; LIU, Philip Le; SCOTT, Mark; CAMILLO, Rafael; ROWSE, Andrew; GRIFFITHS, Davydd",TEAM NICK REECE; LIBERALS FOR MELBOURNE CITY; THE GREENS; TEAM KOUTA; TEAM WOOD; TEAM NICK REECE; TEAM MORGAN MAKE MELBOURNE SAFE; INNOVATE MELBOURNE; LABOR FOR MELBOURNE,"LOUEY, Kevin; GUEST, Owen; BALL, Olivia; LIU, Gladys; LIU, Philip Le; SCOTT, Mark; CAMILLO, Rafael; ROWSE, Andrew; GRIFFITHS, Davydd",TEAM NICK REECE; LIBERALS FOR MELBOURNE CITY; THE GREENS; TEAM KOUTA; TEAM WOOD; TEAM NICK REECE; TEAM MORGAN MAKE MELBOURNE SAFE; INNOVATE MELBOURNE; LABOR FOR MELBOURNE,9,8961,136502,89606,2139,91745,67.21,3457,0,first,,,"NUR, Hala",TEAM WOOD,,False,,32,Melbourne,VICL24-melbourne-councillors,official,Nine councillors are elected citywide by proportional representation. First preferences include above-the-line ticket votes allocated in the official count.
Melbourne — Councillors,Melbourne,Councillors,https://www.vec.vic.gov.au/results/council-election-results/2024-council-election-results/melbourne-city-council,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/Council/Reports/Melbourne2024Distribution.xls,"LOUEY, Kevin; GUEST, Owen; BALL, Olivia; LIU, Gladys; LIU, Philip Le; SCOTT, Mark; CAMILLO, Rafael; ROWSE, Andrew; GRIFFITHS, Davydd",TEAM NICK REECE; LIBERALS FOR MELBOURNE CITY; THE GREENS; TEAM KOUTA; TEAM WOOD; TEAM NICK REECE; TEAM MORGAN MAKE MELBOURNE SAFE; INNOVATE MELBOURNE; LABOR FOR MELBOURNE,"LOUEY, Kevin; GUEST, Owen; BALL, Olivia; LIU, Gladys; LIU, Philip Le; SCOTT, Mark; CAMILLO, Rafael; ROWSE, Andrew; GRIFFITHS, Davydd",TEAM NICK REECE; LIBERALS FOR MELBOURNE CITY; THE GREENS; TEAM KOUTA; TEAM WOOD; TEAM NICK REECE; TEAM MORGAN MAKE MELBOURNE SAFE; INNOVATE MELBOURNE; LABOR FOR MELBOURNE,9,8961,136502,89606,2139,91745,67.21,3457,0,first,,,"CAIAFA, Michael-Lee",TEAM WOOD,,False,,19,Melbourne,VICL24-melbourne-councillors,official,Nine councillors are elected citywide by proportional representation. First preferences include above-the-line ticket votes allocated in the official count.
Melbourne — Councillors,Melbourne,Councillors,https://www.vec.vic.gov.au/results/council-election-results/2024-council-election-results/melbourne-city-council,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/Council/Reports/Melbourne2024Distribution.xls,"LOUEY, Kevin; GUEST, Owen; BALL, Olivia; LIU, Gladys; LIU, Philip Le; SCOTT, Mark; CAMILLO, Rafael; ROWSE, Andrew; GRIFFITHS, Davydd",TEAM NICK REECE; LIBERALS FOR MELBOURNE CITY; THE GREENS; TEAM KOUTA; TEAM WOOD; TEAM NICK REECE; TEAM MORGAN MAKE MELBOURNE SAFE; INNOVATE MELBOURNE; LABOR FOR MELBOURNE,"LOUEY, Kevin; GUEST, Owen; BALL, Olivia; LIU, Gladys; LIU, Philip Le; SCOTT, Mark; CAMILLO, Rafael; ROWSE, Andrew; GRIFFITHS, Davydd",TEAM NICK REECE; LIBERALS FOR MELBOURNE CITY; THE GREENS; TEAM KOUTA; TEAM WOOD; TEAM NICK REECE; TEAM MORGAN MAKE MELBOURNE SAFE; INNOVATE MELBOURNE; LABOR FOR MELBOURNE,9,8961,136502,89606,2139,91745,67.21,3457,0,first,,,"WEI, Hope Lai",TEAM WOOD,,False,,11,Melbourne,VICL24-melbourne-councillors,official,Nine councillors are elected citywide by proportional representation. First preferences include above-the-line ticket votes allocated in the official count.
Melbourne — Councillors,Melbourne,Councillors,https://www.vec.vic.gov.au/results/council-election-results/2024-council-election-results/melbourne-city-council,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/Council/Reports/Melbourne2024Distribution.xls,"LOUEY, Kevin; GUEST, Owen; BALL, Olivia; LIU, Gladys; LIU, Philip Le; SCOTT, Mark; CAMILLO, Rafael; ROWSE, Andrew; GRIFFITHS, Davydd",TEAM NICK REECE; LIBERALS FOR MELBOURNE CITY; THE GREENS; TEAM KOUTA; TEAM WOOD; TEAM NICK REECE; TEAM MORGAN MAKE MELBOURNE SAFE; INNOVATE MELBOURNE; LABOR FOR MELBOURNE,"LOUEY, Kevin; GUEST, Owen; BALL, Olivia; LIU, Gladys; LIU, Philip Le; SCOTT, Mark; CAMILLO, Rafael; ROWSE, Andrew; GRIFFITHS, Davydd",TEAM NICK REECE; LIBERALS FOR MELBOURNE CITY; THE GREENS; TEAM KOUTA; TEAM WOOD; TEAM NICK REECE; TEAM MORGAN MAKE MELBOURNE SAFE; INNOVATE MELBOURNE; LABOR FOR MELBOURNE,9,8961,136502,89606,2139,91745,67.21,3457,0,first,,,"MICHELSON, Steve",TEAM WOOD,,False,,26,Melbourne,VICL24-melbourne-councillors,official,Nine councillors are elected citywide by proportional representation. First preferences include above-the-line ticket votes allocated in the official count.
Melbourne — Councillors,Melbourne,Councillors,https://www.vec.vic.gov.au/results/council-election-results/2024-council-election-results/melbourne-city-council,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/Council/Reports/Melbourne2024Distribution.xls,"LOUEY, Kevin; GUEST, Owen; BALL, Olivia; LIU, Gladys; LIU, Philip Le; SCOTT, Mark; CAMILLO, Rafael; ROWSE, Andrew; GRIFFITHS, Davydd",TEAM NICK REECE; LIBERALS FOR MELBOURNE CITY; THE GREENS; TEAM KOUTA; TEAM WOOD; TEAM NICK REECE; TEAM MORGAN MAKE MELBOURNE SAFE; INNOVATE MELBOURNE; LABOR FOR MELBOURNE,"LOUEY, Kevin; GUEST, Owen; BALL, Olivia; LIU, Gladys; LIU, Philip Le; SCOTT, Mark; CAMILLO, Rafael; ROWSE, Andrew; GRIFFITHS, Davydd",TEAM NICK REECE; LIBERALS FOR MELBOURNE CITY; THE GREENS; TEAM KOUTA; TEAM WOOD; TEAM NICK REECE; TEAM MORGAN MAKE MELBOURNE SAFE; INNOVATE MELBOURNE; LABOR FOR MELBOURNE,9,8961,136502,89606,2139,91745,67.21,3457,0,first,,,"CAMILLO, Rafael",TEAM MORGAN MAKE MELBOURNE SAFE,Elected,True,7,3633,Melbourne,VICL24-melbourne-councillors,official,Nine councillors are elected citywide by proportional representation. First preferences include above-the-line ticket votes allocated in the official count.
Melbourne — Councillors,Melbourne,Councillors,https://www.vec.vic.gov.au/results/council-election-results/2024-council-election-results/melbourne-city-council,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/Council/Reports/Melbourne2024Distribution.xls,"LOUEY, Kevin; GUEST, Owen; BALL, Olivia; LIU, Gladys; LIU, Philip Le; SCOTT, Mark; CAMILLO, Rafael; ROWSE, Andrew; GRIFFITHS, Davydd",TEAM NICK REECE; LIBERALS FOR MELBOURNE CITY; THE GREENS; TEAM KOUTA; TEAM WOOD; TEAM NICK REECE; TEAM MORGAN MAKE MELBOURNE SAFE; INNOVATE MELBOURNE; LABOR FOR MELBOURNE,"LOUEY, Kevin; GUEST, Owen; BALL, Olivia; LIU, Gladys; LIU, Philip Le; SCOTT, Mark; CAMILLO, Rafael; ROWSE, Andrew; GRIFFITHS, Davydd",TEAM NICK REECE; LIBERALS FOR MELBOURNE CITY; THE GREENS; TEAM KOUTA; TEAM WOOD; TEAM NICK REECE; TEAM MORGAN MAKE MELBOURNE SAFE; INNOVATE MELBOURNE; LABOR FOR MELBOURNE,9,8961,136502,89606,2139,91745,67.21,3457,0,first,,,"CALDWELL, William",TEAM MORGAN MAKE MELBOURNE SAFE,,False,,21,Melbourne,VICL24-melbourne-councillors,official,Nine councillors are elected citywide by proportional representation. First preferences include above-the-line ticket votes allocated in the official count.
Melbourne — Councillors,Melbourne,Councillors,https://www.vec.vic.gov.au/results/council-election-results/2024-council-election-results/melbourne-city-council,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/Council/Reports/Melbourne2024Distribution.xls,"LOUEY, Kevin; GUEST, Owen; BALL, Olivia; LIU, Gladys; LIU, Philip Le; SCOTT, Mark; CAMILLO, Rafael; ROWSE, Andrew; GRIFFITHS, Davydd",TEAM NICK REECE; LIBERALS FOR MELBOURNE CITY; THE GREENS; TEAM KOUTA; TEAM WOOD; TEAM NICK REECE; TEAM MORGAN MAKE MELBOURNE SAFE; INNOVATE MELBOURNE; LABOR FOR MELBOURNE,"LOUEY, Kevin; GUEST, Owen; BALL, Olivia; LIU, Gladys; LIU, Philip Le; SCOTT, Mark; CAMILLO, Rafael; ROWSE, Andrew; GRIFFITHS, Davydd",TEAM NICK REECE; LIBERALS FOR MELBOURNE CITY; THE GREENS; TEAM KOUTA; TEAM WOOD; TEAM NICK REECE; TEAM MORGAN MAKE MELBOURNE SAFE; INNOVATE MELBOURNE; LABOR FOR MELBOURNE,9,8961,136502,89606,2139,91745,67.21,3457,0,first,,,"MASTERS, Mary",VOICES FOR MELBOURNE,,False,,2671,Melbourne,VICL24-melbourne-councillors,official,Nine councillors are elected citywide by proportional representation. First preferences include above-the-line ticket votes allocated in the official count.
