district,council,ward,district_url,distribution_url,elected_member,elected_party,elected_members,elected_parties,members_to_elect,quota,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,candidate_status,candidate_elected,candidate_elected_order,votes,electorate_type,constituency_code,contest_status,result_note
Melbourne — Leadership Team,Melbourne,Leadership Team,https://www.vec.vic.gov.au/results/council-election-results/2024-council-election-results/melbourne-city-council,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/Council/Reports/MelbourneLeadershipTeam2024Distribution.xls,"REECE, Nick / CAMPBELL, Roshena",TEAM NICK REECE,"REECE, Nick; CAMPBELL, Roshena",TEAM NICK REECE; TEAM NICK REECE,2,0,136502,87852,4603,92455,67.73,20184,0,first,,,"VAN DER CRAATS, Anthony / CRAGG, David Keith",RIP UP THE BIKE LANES!,,False,,3706,Melbourne,VICL24-melbourne-leadership,official,Lord Mayor and Deputy Lord Mayor candidates nominate and are elected as a paired leadership team.
Melbourne — Leadership Team,Melbourne,Leadership Team,https://www.vec.vic.gov.au/results/council-election-results/2024-council-election-results/melbourne-city-council,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/Council/Reports/MelbourneLeadershipTeam2024Distribution.xls,"REECE, Nick / CAMPBELL, Roshena",TEAM NICK REECE,"REECE, Nick; CAMPBELL, Roshena",TEAM NICK REECE; TEAM NICK REECE,2,0,136502,87852,4603,92455,67.73,20184,0,first,,,"KIM, Eylem / POON, Bruce",ANIMAL JUSTICE PARTY,,False,,1936,Melbourne,VICL24-melbourne-leadership,official,Lord Mayor and Deputy Lord Mayor candidates nominate and are elected as a paired leadership team.
Melbourne — Leadership Team,Melbourne,Leadership Team,https://www.vec.vic.gov.au/results/council-election-results/2024-council-election-results/melbourne-city-council,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/Council/Reports/MelbourneLeadershipTeam2024Distribution.xls,"REECE, Nick / CAMPBELL, Roshena",TEAM NICK REECE,"REECE, Nick; CAMPBELL, Roshena",TEAM NICK REECE; TEAM NICK REECE,2,0,136502,87852,4603,92455,67.73,20184,0,first,,,"HAKIM, Jamal / ANATOLITIS, Esther",TEAM HAKIM - RESIDENT INDEPENDENTS,,False,,3766,Melbourne,VICL24-melbourne-leadership,official,Lord Mayor and Deputy Lord Mayor candidates nominate and are elected as a paired leadership team.
Melbourne — Leadership Team,Melbourne,Leadership Team,https://www.vec.vic.gov.au/results/council-election-results/2024-council-election-results/melbourne-city-council,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/Council/Reports/MelbourneLeadershipTeam2024Distribution.xls,"REECE, Nick / CAMPBELL, Roshena",TEAM NICK REECE,"REECE, Nick; CAMPBELL, Roshena",TEAM NICK REECE; TEAM NICK REECE,2,0,136502,87852,4603,92455,67.73,20184,0,first,,,"REECE, Nick / CAMPBELL, Roshena",TEAM NICK REECE,,True,1,20523,Melbourne,VICL24-melbourne-leadership,official,Lord Mayor and Deputy Lord Mayor candidates nominate and are elected as a paired leadership team.
Melbourne — Leadership Team,Melbourne,Leadership Team,https://www.vec.vic.gov.au/results/council-election-results/2024-council-election-results/melbourne-city-council,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/Council/Reports/MelbourneLeadershipTeam2024Distribution.xls,"REECE, Nick / CAMPBELL, Roshena",TEAM NICK REECE,"REECE, Nick; CAMPBELL, Roshena",TEAM NICK REECE; TEAM NICK REECE,2,0,136502,87852,4603,92455,67.73,20184,0,first,,,"MORGAN, Gary / GE, Liz",TEAM MORGAN - MAKE MELBOURNE SAFE,,False,,4281,Melbourne,VICL24-melbourne-leadership,official,Lord Mayor and Deputy Lord Mayor candidates nominate and are elected as a paired leadership team.
Melbourne — Leadership Team,Melbourne,Leadership Team,https://www.vec.vic.gov.au/results/council-election-results/2024-council-election-results/melbourne-city-council,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/Council/Reports/MelbourneLeadershipTeam2024Distribution.xls,"REECE, Nick / CAMPBELL, Roshena",TEAM NICK REECE,"REECE, Nick; CAMPBELL, Roshena",TEAM NICK REECE; TEAM NICK REECE,2,0,136502,87852,4603,92455,67.73,20184,0,first,,,"KOUTOUFIDES, Anthony / KHAN, Intaj",TEAM KOUTA,,False,,11345,Melbourne,VICL24-melbourne-leadership,official,Lord Mayor and Deputy Lord Mayor candidates nominate and are elected as a paired leadership team.
Melbourne — Leadership Team,Melbourne,Leadership Team,https://www.vec.vic.gov.au/results/council-election-results/2024-council-election-results/melbourne-city-council,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/Council/Reports/MelbourneLeadershipTeam2024Distribution.xls,"REECE, Nick / CAMPBELL, Roshena",TEAM NICK REECE,"REECE, Nick; CAMPBELL, Roshena",TEAM NICK REECE; TEAM NICK REECE,2,0,136502,87852,4603,92455,67.73,20184,0,first,,,"RIZA, Mariam / MARTIN, Luke",LIBERALS FOR MELBOURNE CITY,,False,,11985,Melbourne,VICL24-melbourne-leadership,official,Lord Mayor and Deputy Lord Mayor candidates nominate and are elected as a paired leadership team.
Melbourne — Leadership Team,Melbourne,Leadership Team,https://www.vec.vic.gov.au/results/council-election-results/2024-council-election-results/melbourne-city-council,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/Council/Reports/MelbourneLeadershipTeam2024Distribution.xls,"REECE, Nick / CAMPBELL, Roshena",TEAM NICK REECE,"REECE, Nick; CAMPBELL, Roshena",TEAM NICK REECE; TEAM NICK REECE,2,0,136502,87852,4603,92455,67.73,20184,0,first,,,"WOOD, Arron / DEERING, Erin",TEAM WOOD,,False,,8856,Melbourne,VICL24-melbourne-leadership,official,Lord Mayor and Deputy Lord Mayor candidates nominate and are elected as a paired leadership team.
Melbourne — Leadership Team,Melbourne,Leadership Team,https://www.vec.vic.gov.au/results/council-election-results/2024-council-election-results/melbourne-city-council,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/Council/Reports/MelbourneLeadershipTeam2024Distribution.xls,"REECE, Nick / CAMPBELL, Roshena",TEAM NICK REECE,"REECE, Nick; CAMPBELL, Roshena",TEAM NICK REECE; TEAM NICK REECE,2,0,136502,87852,4603,92455,67.73,20184,0,first,,,"INGLETON, Roxane / McRAE McLEOD, Marley",THE GREENS,,False,,12445,Melbourne,VICL24-melbourne-leadership,official,Lord Mayor and Deputy Lord Mayor candidates nominate and are elected as a paired leadership team.
Melbourne — Leadership Team,Melbourne,Leadership Team,https://www.vec.vic.gov.au/results/council-election-results/2024-council-election-results/melbourne-city-council,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/Council/Reports/MelbourneLeadershipTeam2024Distribution.xls,"REECE, Nick / CAMPBELL, Roshena",TEAM NICK REECE,"REECE, Nick; CAMPBELL, Roshena",TEAM NICK REECE; TEAM NICK REECE,2,0,136502,87852,4603,92455,67.73,20184,0,first,,,"BISINELLA, Greg / STEVENSON, Megan",VOICES FOR MELBOURNE,,False,,3079,Melbourne,VICL24-melbourne-leadership,official,Lord Mayor and Deputy Lord Mayor candidates nominate and are elected as a paired leadership team.
