district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note
Aguascalientes 01 — Jesús María,https://computos2024.ine.mx/presidencia/nacional/candidatura,https://cartografia.ine.mx/sige8/productosCartograficos/bases,Claudia Sheinbaum Pardo,Sheinbaum,364676,217227,6019,223246,61.22,9363,0,first,,,Claudia Sheinbaum Pardo,Sheinbaum,103495,Aguascalientes,MX2024-01-001,official,District totals aggregate INE polling-place computation records. National summary shares also include special-vote records that are not assigned to one of the 300 mapped federal districts.
Aguascalientes 01 — Jesús María,https://computos2024.ine.mx/presidencia/nacional/candidatura,https://cartografia.ine.mx/sige8/productosCartograficos/bases,Claudia Sheinbaum Pardo,Sheinbaum,364676,217227,6019,223246,61.22,9363,0,first,,,Bertha Xóchitl Gálvez Ruiz,Gálvez,94132,Aguascalientes,MX2024-01-001,official,District totals aggregate INE polling-place computation records. National summary shares also include special-vote records that are not assigned to one of the 300 mapped federal districts.
Aguascalientes 01 — Jesús María,https://computos2024.ine.mx/presidencia/nacional/candidatura,https://cartografia.ine.mx/sige8/productosCartograficos/bases,Claudia Sheinbaum Pardo,Sheinbaum,364676,217227,6019,223246,61.22,9363,0,first,,,Jorge Álvarez Máynez,Máynez,19600,Aguascalientes,MX2024-01-001,official,District totals aggregate INE polling-place computation records. National summary shares also include special-vote records that are not assigned to one of the 300 mapped federal districts.
Aguascalientes 02 — Aguascalientes,https://computos2024.ine.mx/presidencia/nacional/candidatura,https://cartografia.ine.mx/sige8/productosCartograficos/bases,Claudia Sheinbaum Pardo,Sheinbaum,347196,190644,4720,195364,56.27,13021,0,first,,,Claudia Sheinbaum Pardo,Sheinbaum,91844,Aguascalientes,MX2024-01-002,official,District totals aggregate INE polling-place computation records. National summary shares also include special-vote records that are not assigned to one of the 300 mapped federal districts.
Aguascalientes 02 — Aguascalientes,https://computos2024.ine.mx/presidencia/nacional/candidatura,https://cartografia.ine.mx/sige8/productosCartograficos/bases,Claudia Sheinbaum Pardo,Sheinbaum,347196,190644,4720,195364,56.27,13021,0,first,,,Bertha Xóchitl Gálvez Ruiz,Gálvez,78823,Aguascalientes,MX2024-01-002,official,District totals aggregate INE polling-place computation records. National summary shares also include special-vote records that are not assigned to one of the 300 mapped federal districts.
Aguascalientes 02 — Aguascalientes,https://computos2024.ine.mx/presidencia/nacional/candidatura,https://cartografia.ine.mx/sige8/productosCartograficos/bases,Claudia Sheinbaum Pardo,Sheinbaum,347196,190644,4720,195364,56.27,13021,0,first,,,Jorge Álvarez Máynez,Máynez,19977,Aguascalientes,MX2024-01-002,official,District totals aggregate INE polling-place computation records. National summary shares also include special-vote records that are not assigned to one of the 300 mapped federal districts.
Aguascalientes 03 — Aguascalientes,https://computos2024.ine.mx/presidencia/nacional/candidatura,https://cartografia.ine.mx/sige8/productosCartograficos/bases,Bertha Xóchitl Gálvez Ruiz,Gálvez,385742,240522,5014,245536,63.65,43653,0,first,,,Claudia Sheinbaum Pardo,Sheinbaum,88506,Aguascalientes,MX2024-01-003,official,District totals aggregate INE polling-place computation records. National summary shares also include special-vote records that are not assigned to one of the 300 mapped federal districts.
Aguascalientes 03 — Aguascalientes,https://computos2024.ine.mx/presidencia/nacional/candidatura,https://cartografia.ine.mx/sige8/productosCartograficos/bases,Bertha Xóchitl Gálvez Ruiz,Gálvez,385742,240522,5014,245536,63.65,43653,0,first,,,Bertha Xóchitl Gálvez Ruiz,Gálvez,132159,Aguascalientes,MX2024-01-003,official,District totals aggregate INE polling-place computation records. National summary shares also include special-vote records that are not assigned to one of the 300 mapped federal districts.
Aguascalientes 03 — Aguascalientes,https://computos2024.ine.mx/presidencia/nacional/candidatura,https://cartografia.ine.mx/sige8/productosCartograficos/bases,Bertha Xóchitl Gálvez Ruiz,Gálvez,385742,240522,5014,245536,63.65,43653,0,first,,,Jorge Álvarez Máynez,Máynez,19857,Aguascalientes,MX2024-01-003,official,District totals aggregate INE polling-place computation records. National summary shares also include special-vote records that are not assigned to one of the 300 mapped federal districts.
Baja California 01 — Mexicali,https://computos2024.ine.mx/presidencia/nacional/candidatura,https://cartografia.ine.mx/sige8/productosCartograficos/bases,Claudia Sheinbaum Pardo,Sheinbaum,331719,167131,3204,170335,51.35,36741,0,first,,,Claudia Sheinbaum Pardo,Sheinbaum,93594,Baja California,MX2024-02-001,official,District totals aggregate INE polling-place computation records. National summary shares also include special-vote records that are not assigned to one of the 300 mapped federal districts.
Baja California 01 — Mexicali,https://computos2024.ine.mx/presidencia/nacional/candidatura,https://cartografia.ine.mx/sige8/productosCartograficos/bases,Claudia Sheinbaum Pardo,Sheinbaum,331719,167131,3204,170335,51.35,36741,0,first,,,Bertha Xóchitl Gálvez Ruiz,Gálvez,56853,Baja California,MX2024-02-001,official,District totals aggregate INE polling-place computation records. National summary shares also include special-vote records that are not assigned to one of the 300 mapped federal districts.
Baja California 01 — Mexicali,https://computos2024.ine.mx/presidencia/nacional/candidatura,https://cartografia.ine.mx/sige8/productosCartograficos/bases,Claudia Sheinbaum Pardo,Sheinbaum,331719,167131,3204,170335,51.35,36741,0,first,,,Jorge Álvarez Máynez,Máynez,16684,Baja California,MX2024-02-001,official,District totals aggregate INE polling-place computation records. National summary shares also include special-vote records that are not assigned to one of the 300 mapped federal districts.
Baja California 02 — Mexicali,https://computos2024.ine.mx/presidencia/nacional/candidatura,https://cartografia.ine.mx/sige8/productosCartograficos/bases,Claudia Sheinbaum Pardo,Sheinbaum,342555,165132,3885,169017,49.34,57277,0,first,,,Claudia Sheinbaum Pardo,Sheinbaum,102557,Baja California,MX2024-02-002,official,District totals aggregate INE polling-place computation records. National summary shares also include special-vote records that are not assigned to one of the 300 mapped federal districts.
Baja California 02 — Mexicali,https://computos2024.ine.mx/presidencia/nacional/candidatura,https://cartografia.ine.mx/sige8/productosCartograficos/bases,Claudia Sheinbaum Pardo,Sheinbaum,342555,165132,3885,169017,49.34,57277,0,first,,,Bertha Xóchitl Gálvez Ruiz,Gálvez,45280,Baja California,MX2024-02-002,official,District totals aggregate INE polling-place computation records. National summary shares also include special-vote records that are not assigned to one of the 300 mapped federal districts.
Baja California 02 — Mexicali,https://computos2024.ine.mx/presidencia/nacional/candidatura,https://cartografia.ine.mx/sige8/productosCartograficos/bases,Claudia Sheinbaum Pardo,Sheinbaum,342555,165132,3885,169017,49.34,57277,0,first,,,Jorge Álvarez Máynez,Máynez,17295,Baja California,MX2024-02-002,official,District totals aggregate INE polling-place computation records. National summary shares also include special-vote records that are not assigned to one of the 300 mapped federal districts.
Baja California 03 — Ensenada,https://computos2024.ine.mx/presidencia/nacional/candidatura,https://cartografia.ine.mx/sige8/productosCartograficos/bases,Claudia Sheinbaum Pardo,Sheinbaum,334438,166369,4608,170977,51.12,78105,0,first,,,Claudia Sheinbaum Pardo,Sheinbaum,114233,Baja California,MX2024-02-003,official,District totals aggregate INE polling-place computation records. National summary shares also include special-vote records that are not assigned to one of the 300 mapped federal districts.
Baja California 03 — Ensenada,https://computos2024.ine.mx/presidencia/nacional/candidatura,https://cartografia.ine.mx/sige8/productosCartograficos/bases,Claudia Sheinbaum Pardo,Sheinbaum,334438,166369,4608,170977,51.12,78105,0,first,,,Bertha Xóchitl Gálvez Ruiz,Gálvez,36128,Baja California,MX2024-02-003,official,District totals aggregate INE polling-place computation records. National summary shares also include special-vote records that are not assigned to one of the 300 mapped federal districts.
Baja California 03 — Ensenada,https://computos2024.ine.mx/presidencia/nacional/candidatura,https://cartografia.ine.mx/sige8/productosCartograficos/bases,Claudia Sheinbaum Pardo,Sheinbaum,334438,166369,4608,170977,51.12,78105,0,first,,,Jorge Álvarez Máynez,Máynez,16008,Baja California,MX2024-02-003,official,District totals aggregate INE polling-place computation records. National summary shares also include special-vote records that are not assigned to one of the 300 mapped federal districts.
