district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note,district_seats
Groningen,https://data.overheid.nl/dataset/verkiezingsuitslag-tweede-kamer-2023,,GL-PvdA,GL-PvdA,183403,146649,614,147263,80.29,73325,0,first,,,GL-PvdA,GL-PvdA,44704,Netherlands,NL_GM0014,official,Municipality totals; seats are allocated nationally.,0
Groningen,https://data.overheid.nl/dataset/verkiezingsuitslag-tweede-kamer-2023,,GL-PvdA,GL-PvdA,183403,146649,614,147263,80.29,73325,0,first,,,PVV,PVV,19346,Netherlands,NL_GM0014,official,Municipality totals; seats are allocated nationally.,0
Groningen,https://data.overheid.nl/dataset/verkiezingsuitslag-tweede-kamer-2023,,GL-PvdA,GL-PvdA,183403,146649,614,147263,80.29,73325,0,first,,,NSC,NSC,17044,Netherlands,NL_GM0014,official,Municipality totals; seats are allocated nationally.,0
Groningen,https://data.overheid.nl/dataset/verkiezingsuitslag-tweede-kamer-2023,,GL-PvdA,GL-PvdA,183403,146649,614,147263,80.29,73325,0,first,,,VVD,VVD,15573,Netherlands,NL_GM0014,official,Municipality totals; seats are allocated nationally.,0
Groningen,https://data.overheid.nl/dataset/verkiezingsuitslag-tweede-kamer-2023,,GL-PvdA,GL-PvdA,183403,146649,614,147263,80.29,73325,0,first,,,D66,D66,13262,Netherlands,NL_GM0014,official,Municipality totals; seats are allocated nationally.,0
Groningen,https://data.overheid.nl/dataset/verkiezingsuitslag-tweede-kamer-2023,,GL-PvdA,GL-PvdA,183403,146649,614,147263,80.29,73325,0,first,,,SP,SP,6350,Netherlands,NL_GM0014,official,Municipality totals; seats are allocated nationally.,0
Groningen,https://data.overheid.nl/dataset/verkiezingsuitslag-tweede-kamer-2023,,GL-PvdA,GL-PvdA,183403,146649,614,147263,80.29,73325,0,first,,,PvdD,PvdD,6077,Netherlands,NL_GM0014,official,Municipality totals; seats are allocated nationally.,0
Groningen,https://data.overheid.nl/dataset/verkiezingsuitslag-tweede-kamer-2023,,GL-PvdA,GL-PvdA,183403,146649,614,147263,80.29,73325,0,first,,,Volt,Volt,5636,Netherlands,NL_GM0014,official,Municipality totals; seats are allocated nationally.,0
Groningen,https://data.overheid.nl/dataset/verkiezingsuitslag-tweede-kamer-2023,,GL-PvdA,GL-PvdA,183403,146649,614,147263,80.29,73325,0,first,,,CU,CU,3787,Netherlands,NL_GM0014,official,Municipality totals; seats are allocated nationally.,0
Groningen,https://data.overheid.nl/dataset/verkiezingsuitslag-tweede-kamer-2023,,GL-PvdA,GL-PvdA,183403,146649,614,147263,80.29,73325,0,first,,,BBB,BBB,3331,Netherlands,NL_GM0014,official,Municipality totals; seats are allocated nationally.,0
Groningen,https://data.overheid.nl/dataset/verkiezingsuitslag-tweede-kamer-2023,,GL-PvdA,GL-PvdA,183403,146649,614,147263,80.29,73325,0,first,,,CDA,CDA,3012,Netherlands,NL_GM0014,official,Municipality totals; seats are allocated nationally.,0
