district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note,district_seats
Groningen,https://data.overheid.nl/dataset/verkiezingsuitslag-tweede-kamer-2025,,D66,D66,182700,147948,929,148877,81.49,73975,0,first,,,D66,D66,36070,Netherlands,NL_GM0014,official,Municipality totals; seats are allocated nationally.,0
Groningen,https://data.overheid.nl/dataset/verkiezingsuitslag-tweede-kamer-2025,,D66,D66,182700,147948,929,148877,81.49,73975,0,first,,,GL-PvdA,GL-PvdA,35537,Netherlands,NL_GM0014,official,Municipality totals; seats are allocated nationally.,0
Groningen,https://data.overheid.nl/dataset/verkiezingsuitslag-tweede-kamer-2025,,D66,D66,182700,147948,929,148877,81.49,73975,0,first,,,VVD,VVD,15186,Netherlands,NL_GM0014,official,Municipality totals; seats are allocated nationally.,0
Groningen,https://data.overheid.nl/dataset/verkiezingsuitslag-tweede-kamer-2025,,D66,D66,182700,147948,929,148877,81.49,73975,0,first,,,CDA,CDA,12795,Netherlands,NL_GM0014,official,Municipality totals; seats are allocated nationally.,0
Groningen,https://data.overheid.nl/dataset/verkiezingsuitslag-tweede-kamer-2025,,D66,D66,182700,147948,929,148877,81.49,73975,0,first,,,PVV,PVV,12369,Netherlands,NL_GM0014,official,Municipality totals; seats are allocated nationally.,0
Groningen,https://data.overheid.nl/dataset/verkiezingsuitslag-tweede-kamer-2025,,D66,D66,182700,147948,929,148877,81.49,73975,0,first,,,SP,SP,6751,Netherlands,NL_GM0014,official,Municipality totals; seats are allocated nationally.,0
Groningen,https://data.overheid.nl/dataset/verkiezingsuitslag-tweede-kamer-2025,,D66,D66,182700,147948,929,148877,81.49,73975,0,first,,,PvdD,PvdD,5967,Netherlands,NL_GM0014,official,Municipality totals; seats are allocated nationally.,0
Groningen,https://data.overheid.nl/dataset/verkiezingsuitslag-tweede-kamer-2025,,D66,D66,182700,147948,929,148877,81.49,73975,0,first,,,JA21,JA21,5202,Netherlands,NL_GM0014,official,Municipality totals; seats are allocated nationally.,0
Groningen,https://data.overheid.nl/dataset/verkiezingsuitslag-tweede-kamer-2025,,D66,D66,182700,147948,929,148877,81.49,73975,0,first,,,FVD,FVD,4437,Netherlands,NL_GM0014,official,Municipality totals; seats are allocated nationally.,0
Groningen,https://data.overheid.nl/dataset/verkiezingsuitslag-tweede-kamer-2025,,D66,D66,182700,147948,929,148877,81.49,73975,0,first,,,CU,CU,3312,Netherlands,NL_GM0014,official,Municipality totals; seats are allocated nationally.,0
Groningen,https://data.overheid.nl/dataset/verkiezingsuitslag-tweede-kamer-2025,,D66,D66,182700,147948,929,148877,81.49,73975,0,first,,,Volt,Volt,3113,Netherlands,NL_GM0014,official,Municipality totals; seats are allocated nationally.,0
