district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note
Mangyongdae No. 1,https://koreanewsservice.com/en-news/press-release-of-central-election-committee/,,Jo Myong Chol,Affiliation not published,,,,,,,0,first,,,Jo Myong Chol,Affiliation not published,,15th Supreme People's Assembly,KP-001,single-candidate,The state report publishes the elected deputy but no constituency-level vote totals or candidate affiliation. National turnout and support figures are state-reported and are not independently verified.
Kwangbok No. 2,https://koreanewsservice.com/en-news/press-release-of-central-election-committee/,,Jo Kum Ju,Affiliation not published,,,,,,,0,first,,,Jo Kum Ju,Affiliation not published,,15th Supreme People's Assembly,KP-002,single-candidate,The state report publishes the elected deputy but no constituency-level vote totals or candidate affiliation. National turnout and support figures are state-reported and are not independently verified.
Phalgol No. 3,https://koreanewsservice.com/en-news/press-release-of-central-election-committee/,,Kim Yun Sil,Affiliation not published,,,,,,,0,first,,,Kim Yun Sil,Affiliation not published,,15th Supreme People's Assembly,KP-003,single-candidate,The state report publishes the elected deputy but no constituency-level vote totals or candidate affiliation. National turnout and support figures are state-reported and are not independently verified.
Janghun No. 4,https://koreanewsservice.com/en-news/press-release-of-central-election-committee/,,Kim Tu Won,Affiliation not published,,,,,,,0,first,,,Kim Tu Won,Affiliation not published,,15th Supreme People's Assembly,KP-004,single-candidate,The state report publishes the elected deputy but no constituency-level vote totals or candidate affiliation. National turnout and support figures are state-reported and are not independently verified.
Kallimgil No. 5,https://koreanewsservice.com/en-news/press-release-of-central-election-committee/,,Kim Yo Jong,Affiliation not published,,,,,,,0,first,,,Kim Yo Jong,Affiliation not published,,15th Supreme People's Assembly,KP-005,single-candidate,The state report publishes the elected deputy but no constituency-level vote totals or candidate affiliation. National turnout and support figures are state-reported and are not independently verified.
Chukjon No. 6,https://koreanewsservice.com/en-news/press-release-of-central-election-committee/,,Kim Chun Hui,Affiliation not published,,,,,,,0,first,,,Kim Chun Hui,Affiliation not published,,15th Supreme People's Assembly,KP-006,single-candidate,The state report publishes the elected deputy but no constituency-level vote totals or candidate affiliation. National turnout and support figures are state-reported and are not independently verified.
Taephyong No. 7,https://koreanewsservice.com/en-news/press-release-of-central-election-committee/,,Pyon Sun Chol,Affiliation not published,,,,,,,0,first,,,Pyon Sun Chol,Affiliation not published,,15th Supreme People's Assembly,KP-007,single-candidate,The state report publishes the elected deputy but no constituency-level vote totals or candidate affiliation. National turnout and support figures are state-reported and are not independently verified.
Wollo No. 8,https://koreanewsservice.com/en-news/press-release-of-central-election-committee/,,Ri Il Bae,Affiliation not published,,,,,,,0,first,,,Ri Il Bae,Affiliation not published,,15th Supreme People's Assembly,KP-008,single-candidate,The state report publishes the elected deputy but no constituency-level vote totals or candidate affiliation. National turnout and support figures are state-reported and are not independently verified.
Kyongsang No. 9,https://koreanewsservice.com/en-news/press-release-of-central-election-committee/,,Choe Chol Jung,Affiliation not published,,,,,,,0,first,,,Choe Chol Jung,Affiliation not published,,15th Supreme People's Assembly,KP-009,single-candidate,The state report publishes the elected deputy but no constituency-level vote totals or candidate affiliation. National turnout and support figures are state-reported and are not independently verified.
Kyogu No. 10,https://koreanewsservice.com/en-news/press-release-of-central-election-committee/,,Pak Ji Min,Affiliation not published,,,,,,,0,first,,,Pak Ji Min,Affiliation not published,,15th Supreme People's Assembly,KP-010,single-candidate,The state report publishes the elected deputy but no constituency-level vote totals or candidate affiliation. National turnout and support figures are state-reported and are not independently verified.
