district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note,district_seats
Oslo,https://www.valgresultat.no/valg/2021/st,,H,H,485801,379565,1831,381396,78.51,189783,0,first,,,H,H,89342,Norway,NO_0301,official,Municipality totals; seats are not allocated by municipality.,0
Oslo,https://www.valgresultat.no/valg/2021/st,,H,H,485801,379565,1831,381396,78.51,189783,0,first,,,A,A,87158,Norway,NO_0301,official,Municipality totals; seats are not allocated by municipality.,0
Oslo,https://www.valgresultat.no/valg/2021/st,,H,H,485801,379565,1831,381396,78.51,189783,0,first,,,SV,SV,50382,Norway,NO_0301,official,Municipality totals; seats are not allocated by municipality.,0
Oslo,https://www.valgresultat.no/valg/2021/st,,H,H,485801,379565,1831,381396,78.51,189783,0,first,,,V,V,38142,Norway,NO_0301,official,Municipality totals; seats are not allocated by municipality.,0
Oslo,https://www.valgresultat.no/valg/2021/st,,H,H,485801,379565,1831,381396,78.51,189783,0,first,,,MDG,MDG,32198,Norway,NO_0301,official,Municipality totals; seats are not allocated by municipality.,0
Oslo,https://www.valgresultat.no/valg/2021/st,,H,H,485801,379565,1831,381396,78.51,189783,0,first,,,RØDT,RØDT,31352,Norway,NO_0301,official,Municipality totals; seats are not allocated by municipality.,0
Oslo,https://www.valgresultat.no/valg/2021/st,,H,H,485801,379565,1831,381396,78.51,189783,0,first,,,FRP,FRP,22784,Norway,NO_0301,official,Municipality totals; seats are not allocated by municipality.,0
Oslo,https://www.valgresultat.no/valg/2021/st,,H,H,485801,379565,1831,381396,78.51,189783,0,first,,,SP,SP,11953,Norway,NO_0301,official,Municipality totals; seats are not allocated by municipality.,0
Oslo,https://www.valgresultat.no/valg/2021/st,,H,H,485801,379565,1831,381396,78.51,189783,0,first,,,KRF,KRF,6922,Norway,NO_0301,official,Municipality totals; seats are not allocated by municipality.,0
Oslo,https://www.valgresultat.no/valg/2021/st,,H,H,485801,379565,1831,381396,78.51,189783,0,first,,,DEMN,DEMN,2585,Norway,NO_0301,official,Municipality totals; seats are not allocated by municipality.,0
Oslo,https://www.valgresultat.no/valg/2021/st,,H,H,485801,379565,1831,381396,78.51,189783,0,first,,,PS,PS,1367,Norway,NO_0301,official,Municipality totals; seats are not allocated by municipality.,0
Oslo,https://www.valgresultat.no/valg/2021/st,,H,H,485801,379565,1831,381396,78.51,189783,0,first,,,PP,PP,1312,Norway,NO_0301,official,Municipality totals; seats are not allocated by municipality.,0
Oslo,https://www.valgresultat.no/valg/2021/st,,H,H,485801,379565,1831,381396,78.51,189783,0,first,,,FNB,FNB,1072,Norway,NO_0301,official,Municipality totals; seats are not allocated by municipality.,0
Oslo,https://www.valgresultat.no/valg/2021/st,,H,H,485801,379565,1831,381396,78.51,189783,0,first,,,LIBS,LIBS,665,Norway,NO_0301,official,Municipality totals; seats are not allocated by municipality.,0
Oslo,https://www.valgresultat.no/valg/2021/st,,H,H,485801,379565,1831,381396,78.51,189783,0,first,,,HELSE,HELSE,593,Norway,NO_0301,official,Municipality totals; seats are not allocated by municipality.,0
Oslo,https://www.valgresultat.no/valg/2021/st,,H,H,485801,379565,1831,381396,78.51,189783,0,first,,,KRISTNE,KRISTNE,474,Norway,NO_0301,official,Municipality totals; seats are not allocated by municipality.,0
Oslo,https://www.valgresultat.no/valg/2021/st,,H,H,485801,379565,1831,381396,78.51,189783,0,first,,,PIR,PIR,336,Norway,NO_0301,official,Municipality totals; seats are not allocated by municipality.,0
Oslo,https://www.valgresultat.no/valg/2021/st,,H,H,485801,379565,1831,381396,78.51,189783,0,first,,,FI,FI,275,Norway,NO_0301,official,Municipality totals; seats are not allocated by municipality.,0
Oslo,https://www.valgresultat.no/valg/2021/st,,H,H,485801,379565,1831,381396,78.51,189783,0,first,,,INP,INP,234,Norway,NO_0301,official,Municipality totals; seats are not allocated by municipality.,0
Oslo,https://www.valgresultat.no/valg/2021/st,,H,H,485801,379565,1831,381396,78.51,189783,0,first,,,AAN,AAN,232,Norway,NO_0301,official,Municipality totals; seats are not allocated by municipality.,0
Oslo,https://www.valgresultat.no/valg/2021/st,,H,H,485801,379565,1831,381396,78.51,189783,0,first,,,NKP,NKP,123,Norway,NO_0301,official,Municipality totals; seats are not allocated by municipality.,0
Oslo,https://www.valgresultat.no/valg/2021/st,,H,H,485801,379565,1831,381396,78.51,189783,0,first,,,KYST,KYST,64,Norway,NO_0301,official,Municipality totals; seats are not allocated by municipality.,0
Eigersund,https://www.valgresultat.no/valg/2021/st,,A,A,10717,8184,84,8268,77.15,4093,0,first,,,A,A,1832,Norway,NO_1101,official,Municipality totals; seats are not allocated by municipality.,0
Eigersund,https://www.valgresultat.no/valg/2021/st,,A,A,10717,8184,84,8268,77.15,4093,0,first,,,H,H,1831,Norway,NO_1101,official,Municipality totals; seats are not allocated by municipality.,0
Eigersund,https://www.valgresultat.no/valg/2021/st,,A,A,10717,8184,84,8268,77.15,4093,0,first,,,FRP,FRP,1574,Norway,NO_1101,official,Municipality totals; seats are not allocated by municipality.,0
Eigersund,https://www.valgresultat.no/valg/2021/st,,A,A,10717,8184,84,8268,77.15,4093,0,first,,,SP,SP,1099,Norway,NO_1101,official,Municipality totals; seats are not allocated by municipality.,0
Eigersund,https://www.valgresultat.no/valg/2021/st,,A,A,10717,8184,84,8268,77.15,4093,0,first,,,KRF,KRF,650,Norway,NO_1101,official,Municipality totals; seats are not allocated by municipality.,0
Eigersund,https://www.valgresultat.no/valg/2021/st,,A,A,10717,8184,84,8268,77.15,4093,0,first,,,SV,SV,341,Norway,NO_1101,official,Municipality totals; seats are not allocated by municipality.,0
