district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,primary_leader,primary_leader_party,primary_leader_votes,winner,winner_party,winner_final_votes,runner_up,runner_up_party,runner_up_final_votes,final_margin,preference_changed_result,winner_transfer_gain
Albury,https://pastvtr.elections.nsw.gov.au/SG2301/LA/albury/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/albury/dop/dop,CLANCY Justin,"The Liberal Party of Australia, New South Wales Division",59834,49788,1795,51583,86.21,24895,CLANCY Justin,"The Liberal Party of Australia, New South Wales Division",26368,CLANCY Justin,"The Liberal Party of Australia, New South Wales Division",28811,ROWLAND Marcus,Australian Labor Party (NSW Branch),14626,14185,False,2443
Auburn,https://pastvtr.elections.nsw.gov.au/SG2301/LA/auburn/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/auburn/dop/dop,VOLTZ Lynda,Australian Labor Party (NSW Branch),59152,46853,3286,50139,84.76,23427,VOLTZ Lynda,Australian Labor Party (NSW Branch),28167,VOLTZ Lynda,Australian Labor Party (NSW Branch),30701,ZAMAN Mohammed (Haseen),"The Liberal Party of Australia, New South Wales Division",10793,19908,False,2534
Badgerys Creek,https://pastvtr.elections.nsw.gov.au/SG2301/LA/badgerys-creek/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/badgerys-creek/dop/dop,DAVIES Tanya,"The Liberal Party of Australia, New South Wales Division",60267,52078,2072,54150,89.85,26040,DAVIES Tanya,"The Liberal Party of Australia, New South Wales Division",26972,DAVIES Tanya,"The Liberal Party of Australia, New South Wales Division",28868,THAIN Garion,Australian Labor Party (NSW Branch),18866,10002,False,1896
Ballina,https://pastvtr.elections.nsw.gov.au/SG2301/LA/ballina/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/ballina/dop/dop,SMITH Tamara,The Greens NSW,58971,47739,1455,49194,83.42,23870,SMITH Tamara,The Greens NSW,16792,SMITH Tamara,The Greens NSW,23897,BOOYENS Josh,National Party of Australia - NSW,17506,6391,False,7105
Balmain,https://pastvtr.elections.nsw.gov.au/SG2301/LA/balmain/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/balmain/dop/dop,SHETTY Kobi,The Greens NSW,58785,49997,820,50817,86.45,24999,SHETTY Kobi,The Greens NSW,20240,SHETTY Kobi,The Greens NSW,22118,SCOTT Philippa,Australian Labor Party (NSW Branch),20580,1538,False,1878
Bankstown,https://pastvtr.elections.nsw.gov.au/SG2301/LA/bankstown/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/bankstown/dop/dop,DIB Jihad,Australian Labor Party (NSW Branch),59280,45888,3267,49155,82.92,22945,DIB Jihad,Australian Labor Party (NSW Branch),27247,DIB Jihad,Australian Labor Party (NSW Branch),29210,TALEB Nathan,"The Liberal Party of Australia, New South Wales Division",12322,16888,False,1963
Barwon,https://pastvtr.elections.nsw.gov.au/SG2301/LA/barwon/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/barwon/dop/dop,BUTLER Roy,Independent,53735,43837,1384,45221,84.16,21919,BUTLER Roy,Independent,19630,BUTLER Roy,Independent,23868,TURNER Annette,National Party of Australia - NSW,12299,11569,False,4238
Bathurst,https://pastvtr.elections.nsw.gov.au/SG2301/LA/bathurst/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/bathurst/dop/dop,TOOLE Paul,National Party of Australia - NSW,59476,52399,1400,53799,90.45,26200,TOOLE Paul,National Party of Australia - NSW,29873,TOOLE Paul,National Party of Australia - NSW,32850,SHAW Cameron,Australian Labor Party (NSW Branch),11801,21049,False,2977
Bega,https://pastvtr.elections.nsw.gov.au/SG2301/LA/bega/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/bega/dop/dop,HOLLAND Michael,Australian Labor Party (NSW Branch),59759,51684,1495,53179,88.99,25843,HOLLAND Michael,Australian Labor Party (NSW Branch),23294,HOLLAND Michael,Australian Labor Party (NSW Branch),27835,FITZPATRICK Russell,"The Liberal Party of Australia, New South Wales Division",18248,9587,False,4541
Blacktown,https://pastvtr.elections.nsw.gov.au/SG2301/LA/blacktown/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/blacktown/dop/dop,BALI Stephen,Australian Labor Party (NSW Branch),58584,48748,2123,50871,86.83,24375,BALI Stephen,Australian Labor Party (NSW Branch),27128,BALI Stephen,Australian Labor Party (NSW Branch),30091,GREEN Allan,"The Liberal Party of Australia, New South Wales Division",13442,16649,False,2963
Blue Mountains,https://pastvtr.elections.nsw.gov.au/SG2301/LA/blue-mountains/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/blue-mountains/dop/dop,DOYLE Trish,Australian Labor Party (NSW Branch),59088,53056,1143,54199,91.73,26529,DOYLE Trish,Australian Labor Party (NSW Branch),28613,DOYLE Trish,Australian Labor Party (NSW Branch),35536,BRUCE Sophie-Anne,"The Liberal Party of Australia, New South Wales Division",13893,21643,False,6923
Cabramatta,https://pastvtr.elections.nsw.gov.au/SG2301/LA/cabramatta/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/cabramatta/dop/dop,VO Tri,Australian Labor Party (NSW Branch),61468,51329,3005,54334,88.39,25665,VO Tri,Australian Labor Party (NSW Branch),21213,VO Tri,Australian Labor Party (NSW Branch),24460,NGUYEN Courtney,"The Liberal Party of Australia, New South Wales Division",15117,9343,False,3247
Camden,https://pastvtr.elections.nsw.gov.au/SG2301/LA/camden/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/camden/dop/dop,QUINNELL Sally,Australian Labor Party (NSW Branch),61874,54072,2056,56128,90.71,27037,QUINNELL Sally,Australian Labor Party (NSW Branch),21945,QUINNELL Sally,Australian Labor Party (NSW Branch),25060,SIDGREAVES Peter,"The Liberal Party of Australia, New South Wales Division",22222,2838,False,3115
Campbelltown,https://pastvtr.elections.nsw.gov.au/SG2301/LA/campbelltown/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/campbelltown/dop/dop,WARREN Greg,Australian Labor Party (NSW Branch),58129,47728,2358,50086,86.16,23865,WARREN Greg,Australian Labor Party (NSW Branch),25629,WARREN Greg,Australian Labor Party (NSW Branch),28764,PAUDEL Gypshouna,"The Liberal Party of Australia, New South Wales Division",10481,18283,False,3135
Canterbury,https://pastvtr.elections.nsw.gov.au/SG2301/LA/canterbury/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/canterbury/dop/dop,COTSIS Sophie,Australian Labor Party (NSW Branch),58548,48283,2386,50669,86.54,24142,COTSIS Sophie,Australian Labor Party (NSW Branch),28892,COTSIS Sophie,Australian Labor Party (NSW Branch),32829,BOUMANSOUR Nemr,"The Liberal Party of Australia, New South Wales Division",10494,22335,False,3937
Castle Hill,https://pastvtr.elections.nsw.gov.au/SG2301/LA/castle-hill/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/castle-hill/dop/dop,HODGES Mark,"The Liberal Party of Australia, New South Wales Division",60394,53427,1300,54727,90.62,26714,HODGES Mark,"The Liberal Party of Australia, New South Wales Division",27085,HODGES Mark,"The Liberal Party of Australia, New South Wales Division",29223,CARTWRIGHT Tina,Australian Labor Party (NSW Branch),18760,10463,False,2138
Cessnock,https://pastvtr.elections.nsw.gov.au/SG2301/LA/cessnock/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/cessnock/dop/dop,BARR Clayton,Australian Labor Party (NSW Branch),62098,52781,2231,55012,88.59,26391,BARR Clayton,Australian Labor Party (NSW Branch),25719,BARR Clayton,Australian Labor Party (NSW Branch),29964,KING Quintin,Pauline Hanson's One Nation,10865,19099,False,4245
Charlestown,https://pastvtr.elections.nsw.gov.au/SG2301/LA/charlestown/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/charlestown/dop/dop,HARRISON Jodie,Australian Labor Party (NSW Branch),60974,52981,1632,54613,89.57,26491,HARRISON Jodie,Australian Labor Party (NSW Branch),30432,HARRISON Jodie,Australian Labor Party (NSW Branch),35300,ANTCLIFF Jack,"The Liberal Party of Australia, New South Wales Division",14358,20942,False,4868
