district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,primary_leader,primary_leader_party,primary_leader_votes,winner,winner_party,winner_final_votes,runner_up,runner_up_party,runner_up_final_votes,final_margin,preference_changed_result,winner_transfer_gain
Arafura,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/arafura,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/arafura,Lawrence COSTA,Australian Labor Party NT Branch,5183,2591,142,2733,52.73,1296,Lawrence COSTA,Australian Labor Party NT Branch,1269,Lawrence COSTA,Australian Labor Party NT Branch,1388,Gibson ILLORTAMINNI,Country Liberal Party of the Northern Territory,1203,185,False,119
Araluen,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/araluen,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/araluen,Robyn LAMBLEY,Territory Alliance,5742,4364,157,4521,78.74,2183,Damien RYAN,Country Liberal Party of the Northern Territory,1659,Robyn LAMBLEY,Territory Alliance,2203,Damien RYAN,Country Liberal Party of the Northern Territory,2161,42,True,927
Arnhem,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/arnhem,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/arnhem,Selena UIBO,Australian Labor Party NT Branch,5431,2924,232,3156,58.11,1463,Selena UIBO,Australian Labor Party NT Branch,1207,Selena UIBO,Australian Labor Party NT Branch,1508,Ian Mongunu GUMBULA,Independent,1416,92,False,301
Barkly,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/barkly,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/barkly,Steve EDGINGTON,Country Liberal Party of the Northern Territory,5690,3441,156,3597,63.22,1721,Steve EDGINGTON,Country Liberal Party of the Northern Territory,1431,Steve EDGINGTON,Country Liberal Party of the Northern Territory,1724,Sid VASHIST,Australian Labor Party NT Branch,1717,7,False,293
Blain,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/blain,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/blain,Mark TURNER,Australian Labor Party NT Branch,5695,4177,138,4315,75.77,2089,Mark TURNER,Australian Labor Party NT Branch,1729,Mark TURNER,Australian Labor Party NT Branch,2095,Matthew KERLE,Country Liberal Party of the Northern Territory,2082,13,False,366
Braitling,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/braitling,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/braitling,Joshua BURGOYNE,Country Liberal Party of the Northern Territory,5830,4395,137,4532,77.74,2198,Joshua BURGOYNE,Country Liberal Party of the Northern Territory,1548,Joshua BURGOYNE,Country Liberal Party of the Northern Territory,2254,Dale WAKEFIELD,Australian Labor Party NT Branch,2141,113,False,706
Brennan,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/brennan,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/brennan,Marie-Clare BOOTHBY,Country Liberal Party of the Northern Territory,5746,4380,146,4526,78.77,2191,Tony SIEVERS,Australian Labor Party NT Branch,1760,Marie-Clare BOOTHBY,Country Liberal Party of the Northern Territory,2242,Tony SIEVERS,Australian Labor Party NT Branch,2138,104,True,512
Casuarina,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/casuarina,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/casuarina,Lauren MOSS,Australian Labor Party NT Branch,5647,4601,117,4718,83.55,2301,Lauren MOSS,Australian Labor Party NT Branch,2307,Lauren MOSS,Australian Labor Party NT Branch,3035,Tony SCHELLING,Country Liberal Party of the Northern Territory,1566,1469,False,728
Daly,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/daly,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/daly,Ian SLOAN,Country Liberal Party of the Northern Territory,5622,3874,257,4131,73.48,1938,Ian SLOAN,Country Liberal Party of the Northern Territory,1386,Ian SLOAN,Country Liberal Party of the Northern Territory,1984,Anthony VENES,Australian Labor Party NT Branch,1890,94,False,598
Drysdale,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/drysdale,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/drysdale,Eva LAWLER,Australian Labor Party NT Branch,5828,3905,204,4109,70.5,1953,Eva LAWLER,Australian Labor Party NT Branch,1648,Eva LAWLER,Australian Labor Party NT Branch,2261,Leanne BUTLER,Country Liberal Party of the Northern Territory,1644,617,False,613
Fannie Bay,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/fannie-bay,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/fannie-bay,Michael GUNNER,Australian Labor Party NT Branch,5473,4345,85,4430,80.94,2173,Michael GUNNER,Australian Labor Party NT Branch,2095,Michael GUNNER,Australian Labor Party NT Branch,2588,Tracey HAYES,Country Liberal Party of the Northern Territory,1757,831,False,493
Fong Lim,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/fong-lim,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/fong-lim,Mark MONAGHAN,Australian Labor Party NT Branch,5555,4175,130,4305,77.5,2088,Mark MONAGHAN,Australian Labor Party NT Branch,1756,Mark MONAGHAN,Australian Labor Party NT Branch,2197,Kylie BONANNI,Country Liberal Party of the Northern Territory,1978,219,False,441
Goyder,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/goyder,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/goyder,Kezia PURICK,Independent,5583,4695,189,4884,87.48,2348,Kezia PURICK,Independent,1459,Kezia PURICK,Independent,2665,Phil BATTYE,Country Liberal Party of the Northern Territory,2030,635,False,1206
Gwoja,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/gwoja,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/gwoja,Chansey PAECH,Australian Labor Party NT Branch,5313,2658,148,2806,52.81,1330,Chansey PAECH,Australian Labor Party NT Branch,1612,Chansey PAECH,Australian Labor Party NT Branch,1760,Phillip ALICE,Country Liberal Party of the Northern Territory,898,862,False,148
Johnston,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/johnston,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/johnston,Joel BOWDEN,Australian Labor Party NT Branch,5556,4284,150,4434,79.81,2143,Joel BOWDEN,Australian Labor Party NT Branch,1940,Joel BOWDEN,Australian Labor Party NT Branch,2850,Gary HASLETT,Country Liberal Party of the Northern Territory,1434,1416,False,910
Karama,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/karama,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/karama,Ngaree AH KIT,Australian Labor Party NT Branch,5482,4169,124,4293,78.31,2085,Ngaree AH KIT,Australian Labor Party NT Branch,2129,Ngaree AH KIT,Australian Labor Party NT Branch,2491,Brian O'GALLAGHER,Country Liberal Party of the Northern Territory,1678,813,False,362
Katherine,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/katherine,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/katherine,Jo HERSEY,Country Liberal Party of the Northern Territory,5749,3886,151,4037,70.22,1944,Kate GANLEY,Australian Labor Party NT Branch,1281,Jo HERSEY,Country Liberal Party of the Northern Territory,2033,Kate GANLEY,Australian Labor Party NT Branch,1853,180,True,769
Mulka,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/mulka,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/mulka,Yingiya Mark GUYULA,Independent,6124,4095,96,4191,68.44,2048,Yingiya Mark GUYULA,Independent,2252,Yingiya Mark GUYULA,Independent,2252,Lynne WALKER,Australian Labor Party NT Branch,1843,409,False,0
Namatjira,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/namatjira,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/namatjira,Bill YAN,Country Liberal Party of the Northern Territory,5728,3606,180,3786,66.1,1804,Bill YAN,Country Liberal Party of the Northern Territory,1066,Bill YAN,Country Liberal Party of the Northern Territory,1814,Sheralee TAYLOR,Australian Labor Party NT Branch,1792,22,False,748
Nelson,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/nelson,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/nelson,Gerard MALEY,Country Liberal Party of the Northern Territory,5505,4561,146,4707,85.5,2281,Gerard MALEY,Country Liberal Party of the Northern Territory,2302,Gerard MALEY,Country Liberal Party of the Northern Territory,2658,Beverley RATAHI,Independent,1903,755,False,356
Nightcliff,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/nightcliff,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/nightcliff,Natasha FYLES,Australian Labor Party NT Branch,5621,4425,90,4515,80.32,2213,Natasha FYLES,Australian Labor Party NT Branch,2353,Natasha FYLES,Australian Labor Party NT Branch,3286,Steve DOHERTY,Country Liberal Party of the Northern Territory,1139,2147,False,933
Port Darwin,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/port-darwin,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/port-darwin,Paul KIRBY,Australian Labor Party NT Branch,5699,4301,112,4413,77.43,2151,Toby GEORGE,Country Liberal Party of the Northern Territory,1625,Paul KIRBY,Australian Labor Party NT Branch,2241,Toby GEORGE,Country Liberal Party of the Northern Territory,2060,181,True,630
Sanderson,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/sanderson,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/sanderson,Kate WORDEN,Australian Labor Party NT Branch,5449,4395,107,4502,82.62,2198,Kate WORDEN,Australian Labor Party NT Branch,2632,Kate WORDEN,Australian Labor Party NT Branch,3044,Derek MAYGER,Country Liberal Party of the Northern Territory,1351,1693,False,412
Spillett,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/spillett,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/spillett,Lia FINOCCHIARO,Country Liberal Party of the Northern Territory,5863,4949,126,5075,86.56,2475,Lia FINOCCHIARO,Country Liberal Party of the Northern Territory,2921,Lia FINOCCHIARO,Country Liberal Party of the Northern Territory,3219,Tristan SLOAN,Australian Labor Party NT Branch,1730,1489,False,298
Wanguri,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/wanguri,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2020-territory-election/results/wanguri,Nicole MANISON,Australian Labor Party NT Branch,6111,4976,141,5117,83.73,2489,Nicole MANISON,Australian Labor Party NT Branch,3129,Nicole MANISON,Australian Labor Party NT Branch,3349,Jed HANSEN,Country Liberal Party of the Northern Territory,1627,1722,False,220
