district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes
Arafura,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/arafura,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/arafura,Manuel BROWN,Australian Labor Party NT Branch,6199,2708,57,2765,44.6,1355,0,first,,,Manuel BROWN,Australian Labor Party NT Branch,1887
Arafura,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/arafura,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/arafura,Manuel BROWN,Australian Labor Party NT Branch,6199,2708,57,2765,44.6,1355,0,first,,,Yanja THOMPSON-GAYKAMANGU,Country Liberal Party of the Northern Territory,821
Arafura,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/arafura,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/arafura,Manuel BROWN,Australian Labor Party NT Branch,6199,2708,57,2765,44.6,1355,1,final,,,Manuel BROWN,Australian Labor Party NT Branch,1887
Arafura,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/arafura,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/arafura,Manuel BROWN,Australian Labor Party NT Branch,6199,2708,57,2765,44.6,1355,1,final,,,Yanja THOMPSON-GAYKAMANGU,Country Liberal Party of the Northern Territory,821
Araluen,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/araluen,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/araluen,Robyn LAMBLEY,Independent,5891,4021,144,4165,70.7,2011,0,first,,,Robyn LAMBLEY,Independent,1638
Araluen,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/araluen,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/araluen,Robyn LAMBLEY,Independent,5891,4021,144,4165,70.7,2011,0,first,,,Sean HEENAN,Country Liberal Party of the Northern Territory,1062
Araluen,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/araluen,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/araluen,Robyn LAMBLEY,Independent,5891,4021,144,4165,70.7,2011,0,first,,,Hugo WELLS,NT Greens,666
Araluen,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/araluen,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/araluen,Robyn LAMBLEY,Independent,5891,4021,144,4165,70.7,2011,0,first,,,Gagandeep SODHI,Australian Labor Party NT Branch,536
Araluen,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/araluen,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/araluen,Robyn LAMBLEY,Independent,5891,4021,144,4165,70.7,2011,0,first,,,Wayne WRIGHT,Independent,119
Araluen,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/araluen,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/araluen,Robyn LAMBLEY,Independent,5891,4021,144,4165,70.7,2011,1,final,,,Robyn LAMBLEY,Independent,2603
Araluen,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/araluen,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/araluen,Robyn LAMBLEY,Independent,5891,4021,144,4165,70.7,2011,1,final,,,Sean HEENAN,Country Liberal Party of the Northern Territory,1418
Arnhem,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/arnhem,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/arnhem,Selena UIBO,Australian Labor Party NT Branch,6646,3364,92,3456,52.0,1683,0,first,,,Selena UIBO,Australian Labor Party NT Branch,2162
Arnhem,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/arnhem,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/arnhem,Selena UIBO,Australian Labor Party NT Branch,6646,3364,92,3456,52.0,1683,0,first,,,Ian Mongunu GUMBULA,Country Liberal Party of the Northern Territory,1202
