district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,contest_status
Auckland Central,https://archive.electionresults.govt.nz/electionresults_2020/statistics/candidate-votes-by-voting-place-1.html,https://archive.electionresults.govt.nz/electionresults_2020/statistics/candidate-votes-by-voting-place-1.html,Chlöe Swarbrick,Green Party,0,35603,382,35985,0,17802,0,first,,,Tuariki Delamere,The Opportunities Party,320,General,official
Auckland Central,https://archive.electionresults.govt.nz/electionresults_2020/statistics/candidate-votes-by-voting-place-1.html,https://archive.electionresults.govt.nz/electionresults_2020/statistics/candidate-votes-by-voting-place-1.html,Chlöe Swarbrick,Green Party,0,35603,382,35985,0,17802,0,first,,,Dominic Hoffman Dervan,TEA Party,50,General,official
Auckland Central,https://archive.electionresults.govt.nz/electionresults_2020/statistics/candidate-votes-by-voting-place-1.html,https://archive.electionresults.govt.nz/electionresults_2020/statistics/candidate-votes-by-voting-place-1.html,Chlöe Swarbrick,Green Party,0,35603,382,35985,0,17802,0,first,,,Joshua Love,Independent,73,General,official
Auckland Central,https://archive.electionresults.govt.nz/electionresults_2020/statistics/candidate-votes-by-voting-place-1.html,https://archive.electionresults.govt.nz/electionresults_2020/statistics/candidate-votes-by-voting-place-1.html,Chlöe Swarbrick,Green Party,0,35603,382,35985,0,17802,0,first,,,Jenny Marcroft,New Zealand First Party,274,General,official
Auckland Central,https://archive.electionresults.govt.nz/electionresults_2020/statistics/candidate-votes-by-voting-place-1.html,https://archive.electionresults.govt.nz/electionresults_2020/statistics/candidate-votes-by-voting-place-1.html,Chlöe Swarbrick,Green Party,0,35603,382,35985,0,17802,0,first,,,Emma Mellow,National Party,9775,General,official
Auckland Central,https://archive.electionresults.govt.nz/electionresults_2020/statistics/candidate-votes-by-voting-place-1.html,https://archive.electionresults.govt.nz/electionresults_2020/statistics/candidate-votes-by-voting-place-1.html,Chlöe Swarbrick,Green Party,0,35603,382,35985,0,17802,0,first,,,Felix Poole,ACT New Zealand,588,General,official
Auckland Central,https://archive.electionresults.govt.nz/electionresults_2020/statistics/candidate-votes-by-voting-place-1.html,https://archive.electionresults.govt.nz/electionresults_2020/statistics/candidate-votes-by-voting-place-1.html,Chlöe Swarbrick,Green Party,0,35603,382,35985,0,17802,0,first,,,Chris Sadler,Independent,23,General,official
Auckland Central,https://archive.electionresults.govt.nz/electionresults_2020/statistics/candidate-votes-by-voting-place-1.html,https://archive.electionresults.govt.nz/electionresults_2020/statistics/candidate-votes-by-voting-place-1.html,Chlöe Swarbrick,Green Party,0,35603,382,35985,0,17802,0,first,,,Kevin Stitt,New Conservative,186,General,official
Auckland Central,https://archive.electionresults.govt.nz/electionresults_2020/statistics/candidate-votes-by-voting-place-1.html,https://archive.electionresults.govt.nz/electionresults_2020/statistics/candidate-votes-by-voting-place-1.html,Chlöe Swarbrick,Green Party,0,35603,382,35985,0,17802,0,first,,,Chlöe Swarbrick,Green Party,12631,General,official
Auckland Central,https://archive.electionresults.govt.nz/electionresults_2020/statistics/candidate-votes-by-voting-place-1.html,https://archive.electionresults.govt.nz/electionresults_2020/statistics/candidate-votes-by-voting-place-1.html,Chlöe Swarbrick,Green Party,0,35603,382,35985,0,17802,0,first,,,Vernon Tava,Sustainable New Zealand Party,120,General,official
