district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note
Abra,https://en.wikipedia.org/w/index.php?title=Congressional_canvass_for_the_2022_Philippine_presidential_election&oldid=1353912853,https://www.congress.gov.ph/index.php/media/photojournal/3000,Bongbong Marcos,Marcos,0,155110,0,155110,0,143310,0,first,,,Bongbong Marcos,Marcos,147812,CAR,PH2022-001,official,
Abra,https://en.wikipedia.org/w/index.php?title=Congressional_canvass_for_the_2022_Philippine_presidential_election&oldid=1353912853,https://www.congress.gov.ph/index.php/media/photojournal/3000,Bongbong Marcos,Marcos,0,155110,0,155110,0,143310,0,first,,,Leni Robredo,Robredo,4502,CAR,PH2022-001,official,
Abra,https://en.wikipedia.org/w/index.php?title=Congressional_canvass_for_the_2022_Philippine_presidential_election&oldid=1353912853,https://www.congress.gov.ph/index.php/media/photojournal/3000,Bongbong Marcos,Marcos,0,155110,0,155110,0,143310,0,first,,,Manny Pacquiao,Pacquiao,588,CAR,PH2022-001,official,
Abra,https://en.wikipedia.org/w/index.php?title=Congressional_canvass_for_the_2022_Philippine_presidential_election&oldid=1353912853,https://www.congress.gov.ph/index.php/media/photojournal/3000,Bongbong Marcos,Marcos,0,155110,0,155110,0,143310,0,first,,,Isko Moreno,Moreno,708,CAR,PH2022-001,official,
Abra,https://en.wikipedia.org/w/index.php?title=Congressional_canvass_for_the_2022_Philippine_presidential_election&oldid=1353912853,https://www.congress.gov.ph/index.php/media/photojournal/3000,Bongbong Marcos,Marcos,0,155110,0,155110,0,143310,0,first,,,Panfilo Lacson,Lacson,921,CAR,PH2022-001,official,
Abra,https://en.wikipedia.org/w/index.php?title=Congressional_canvass_for_the_2022_Philippine_presidential_election&oldid=1353912853,https://www.congress.gov.ph/index.php/media/photojournal/3000,Bongbong Marcos,Marcos,0,155110,0,155110,0,143310,0,first,,,Faisal Mangondato,Mangondato,63,CAR,PH2022-001,official,
Abra,https://en.wikipedia.org/w/index.php?title=Congressional_canvass_for_the_2022_Philippine_presidential_election&oldid=1353912853,https://www.congress.gov.ph/index.php/media/photojournal/3000,Bongbong Marcos,Marcos,0,155110,0,155110,0,143310,0,first,,,Ernesto Abella,Abella,178,CAR,PH2022-001,official,
Abra,https://en.wikipedia.org/w/index.php?title=Congressional_canvass_for_the_2022_Philippine_presidential_election&oldid=1353912853,https://www.congress.gov.ph/index.php/media/photojournal/3000,Bongbong Marcos,Marcos,0,155110,0,155110,0,143310,0,first,,,Leody de Guzman,De Guzman,113,CAR,PH2022-001,official,
Abra,https://en.wikipedia.org/w/index.php?title=Congressional_canvass_for_the_2022_Philippine_presidential_election&oldid=1353912853,https://www.congress.gov.ph/index.php/media/photojournal/3000,Bongbong Marcos,Marcos,0,155110,0,155110,0,143310,0,first,,,Norberto Gonzales,Gonzales,129,CAR,PH2022-001,official,
Abra,https://en.wikipedia.org/w/index.php?title=Congressional_canvass_for_the_2022_Philippine_presidential_election&oldid=1353912853,https://www.congress.gov.ph/index.php/media/photojournal/3000,Bongbong Marcos,Marcos,0,155110,0,155110,0,143310,0,first,,,Jose Montemayor Jr.,Montemayor,96,CAR,PH2022-001,official,
Agusan del Norte,https://en.wikipedia.org/w/index.php?title=Congressional_canvass_for_the_2022_Philippine_presidential_election&oldid=1353912853,https://www.congress.gov.ph/index.php/media/photojournal/3000,Bongbong Marcos,Marcos,0,404114,0,404114,0,255061,0,first,,,Bongbong Marcos,Marcos,301264,Region XIII (Caraga),PH2022-002,official,
Agusan del Norte,https://en.wikipedia.org/w/index.php?title=Congressional_canvass_for_the_2022_Philippine_presidential_election&oldid=1353912853,https://www.congress.gov.ph/index.php/media/photojournal/3000,Bongbong Marcos,Marcos,0,404114,0,404114,0,255061,0,first,,,Leni Robredo,Robredo,46203,Region XIII (Caraga),PH2022-002,official,
Agusan del Norte,https://en.wikipedia.org/w/index.php?title=Congressional_canvass_for_the_2022_Philippine_presidential_election&oldid=1353912853,https://www.congress.gov.ph/index.php/media/photojournal/3000,Bongbong Marcos,Marcos,0,404114,0,404114,0,255061,0,first,,,Manny Pacquiao,Pacquiao,41070,Region XIII (Caraga),PH2022-002,official,
Agusan del Norte,https://en.wikipedia.org/w/index.php?title=Congressional_canvass_for_the_2022_Philippine_presidential_election&oldid=1353912853,https://www.congress.gov.ph/index.php/media/photojournal/3000,Bongbong Marcos,Marcos,0,404114,0,404114,0,255061,0,first,,,Isko Moreno,Moreno,8477,Region XIII (Caraga),PH2022-002,official,
Agusan del Norte,https://en.wikipedia.org/w/index.php?title=Congressional_canvass_for_the_2022_Philippine_presidential_election&oldid=1353912853,https://www.congress.gov.ph/index.php/media/photojournal/3000,Bongbong Marcos,Marcos,0,404114,0,404114,0,255061,0,first,,,Panfilo Lacson,Lacson,3060,Region XIII (Caraga),PH2022-002,official,
Agusan del Norte,https://en.wikipedia.org/w/index.php?title=Congressional_canvass_for_the_2022_Philippine_presidential_election&oldid=1353912853,https://www.congress.gov.ph/index.php/media/photojournal/3000,Bongbong Marcos,Marcos,0,404114,0,404114,0,255061,0,first,,,Faisal Mangondato,Mangondato,544,Region XIII (Caraga),PH2022-002,official,
Agusan del Norte,https://en.wikipedia.org/w/index.php?title=Congressional_canvass_for_the_2022_Philippine_presidential_election&oldid=1353912853,https://www.congress.gov.ph/index.php/media/photojournal/3000,Bongbong Marcos,Marcos,0,404114,0,404114,0,255061,0,first,,,Ernesto Abella,Abella,1206,Region XIII (Caraga),PH2022-002,official,
Agusan del Norte,https://en.wikipedia.org/w/index.php?title=Congressional_canvass_for_the_2022_Philippine_presidential_election&oldid=1353912853,https://www.congress.gov.ph/index.php/media/photojournal/3000,Bongbong Marcos,Marcos,0,404114,0,404114,0,255061,0,first,,,Leody de Guzman,De Guzman,643,Region XIII (Caraga),PH2022-002,official,
Agusan del Norte,https://en.wikipedia.org/w/index.php?title=Congressional_canvass_for_the_2022_Philippine_presidential_election&oldid=1353912853,https://www.congress.gov.ph/index.php/media/photojournal/3000,Bongbong Marcos,Marcos,0,404114,0,404114,0,255061,0,first,,,Norberto Gonzales,Gonzales,1113,Region XIII (Caraga),PH2022-002,official,
Agusan del Norte,https://en.wikipedia.org/w/index.php?title=Congressional_canvass_for_the_2022_Philippine_presidential_election&oldid=1353912853,https://www.congress.gov.ph/index.php/media/photojournal/3000,Bongbong Marcos,Marcos,0,404114,0,404114,0,255061,0,first,,,Jose Montemayor Jr.,Montemayor,534,Region XIII (Caraga),PH2022-002,official,
Agusan del Sur,https://en.wikipedia.org/w/index.php?title=Congressional_canvass_for_the_2022_Philippine_presidential_election&oldid=1353912853,https://www.congress.gov.ph/index.php/media/photojournal/3000,Bongbong Marcos,Marcos,0,342575,0,342575,0,8112,0,first,,,Bongbong Marcos,Marcos,153310,Region XIII (Caraga),PH2022-003,official,
Agusan del Sur,https://en.wikipedia.org/w/index.php?title=Congressional_canvass_for_the_2022_Philippine_presidential_election&oldid=1353912853,https://www.congress.gov.ph/index.php/media/photojournal/3000,Bongbong Marcos,Marcos,0,342575,0,342575,0,8112,0,first,,,Leni Robredo,Robredo,145198,Region XIII (Caraga),PH2022-003,official,
Agusan del Sur,https://en.wikipedia.org/w/index.php?title=Congressional_canvass_for_the_2022_Philippine_presidential_election&oldid=1353912853,https://www.congress.gov.ph/index.php/media/photojournal/3000,Bongbong Marcos,Marcos,0,342575,0,342575,0,8112,0,first,,,Manny Pacquiao,Pacquiao,36059,Region XIII (Caraga),PH2022-003,official,
Agusan del Sur,https://en.wikipedia.org/w/index.php?title=Congressional_canvass_for_the_2022_Philippine_presidential_election&oldid=1353912853,https://www.congress.gov.ph/index.php/media/photojournal/3000,Bongbong Marcos,Marcos,0,342575,0,342575,0,8112,0,first,,,Isko Moreno,Moreno,2797,Region XIII (Caraga),PH2022-003,official,
Agusan del Sur,https://en.wikipedia.org/w/index.php?title=Congressional_canvass_for_the_2022_Philippine_presidential_election&oldid=1353912853,https://www.congress.gov.ph/index.php/media/photojournal/3000,Bongbong Marcos,Marcos,0,342575,0,342575,0,8112,0,first,,,Panfilo Lacson,Lacson,1567,Region XIII (Caraga),PH2022-003,official,
