district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note
Dolnośląskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Andrzej Duda,Andrzej Duda,2254674,1426393,4560,1430953,63.47,32644,1,first,,,Andrzej Duda,Andrzej Duda,545001,Poland,PL51,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
Dolnośląskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Andrzej Duda,Andrzej Duda,2254674,1426393,4560,1430953,63.47,32644,1,first,,,Rafał Trzaskowski,Rafał Trzaskowski,512357,Poland,PL51,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
Dolnośląskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Andrzej Duda,Andrzej Duda,2254674,1426393,4560,1430953,63.47,32644,1,first,,,Szymon Hołownia,Szymon Hołownia,201050,Poland,PL51,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
Dolnośląskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Andrzej Duda,Andrzej Duda,2254674,1426393,4560,1430953,63.47,32644,1,first,,,Krzysztof Bosak,Krzysztof Bosak,91793,Poland,PL51,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
Dolnośląskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Andrzej Duda,Andrzej Duda,2254674,1426393,4560,1430953,63.47,32644,1,first,,,Robert Biedroń,Robert Biedroń,37245,Poland,PL51,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
Dolnośląskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Andrzej Duda,Andrzej Duda,2254674,1426393,4560,1430953,63.47,32644,1,first,,,Władysław Kosiniak-Kamysz,Władysław Kosiniak-Kamysz,27210,Poland,PL51,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
Dolnośląskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Andrzej Duda,Andrzej Duda,2254674,1426393,4560,1430953,63.47,32644,1,first,,,Stanisław Żółtek,Stanisław Żółtek,3542,Poland,PL51,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
Dolnośląskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Andrzej Duda,Andrzej Duda,2254674,1426393,4560,1430953,63.47,32644,1,first,,,Paweł Tanajno,Paweł Tanajno,2356,Poland,PL51,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
Dolnośląskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Andrzej Duda,Andrzej Duda,2254674,1426393,4560,1430953,63.47,32644,1,first,,,Marek Jakubiak,Marek Jakubiak,2323,Poland,PL51,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
Dolnośląskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Andrzej Duda,Andrzej Duda,2254674,1426393,4560,1430953,63.47,32644,1,first,,,Waldemar Witkowski,Waldemar Witkowski,2163,Poland,PL51,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
