district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note,district_seats
Açores,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,230082,102582,3691,106273,46.19,51292,0,first,,,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,42343,Portugal,PT-400000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,5
Açores,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,230082,102582,3691,106273,46.19,51292,0,first,,,PS,PS,31015,Portugal,PT-400000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,5
Açores,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,230082,102582,3691,106273,46.19,51292,0,first,,,CH,CH,16744,Portugal,PT-400000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,5
Açores,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,230082,102582,3691,106273,46.19,51292,0,first,,,B.E.,B.E.,3622,Portugal,PT-400000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,5
Açores,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,230082,102582,3691,106273,46.19,51292,0,first,,,IL,IL,2882,Portugal,PT-400000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,5
Açores,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,230082,102582,3691,106273,46.19,51292,0,first,,,L,L,1816,Portugal,PT-400000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,5
Açores,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,230082,102582,3691,106273,46.19,51292,0,first,,,PAN,PAN,1654,Portugal,PT-400000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,5
Açores,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,230082,102582,3691,106273,46.19,51292,0,first,,,PCP-PEV,PCP-PEV,1160,Portugal,PT-400000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,5
Açores,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,230082,102582,3691,106273,46.19,51292,0,first,,,ADN,ADN,829,Portugal,PT-400000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,5
Açores,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,230082,102582,3691,106273,46.19,51292,0,first,,,JPP,JPP,213,Portugal,PT-400000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,5
Açores,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,230082,102582,3691,106273,46.19,51292,0,first,,,R.I.R.,R.I.R.,125,Portugal,PT-400000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,5
Açores,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,230082,102582,3691,106273,46.19,51292,0,first,,,VP,VP,115,Portugal,PT-400000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,5
Açores,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,230082,102582,3691,106273,46.19,51292,0,first,,,E,E,64,Portugal,PT-400000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,5
Aveiro,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,642086,412163,11608,423771,66.0,206082,0,first,,,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,148861,Portugal,PT-010000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,16
Aveiro,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,642086,412163,11608,423771,66.0,206082,0,first,,,PS,PS,117348,Portugal,PT-010000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,16
Aveiro,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,642086,412163,11608,423771,66.0,206082,0,first,,,CH,CH,73110,Portugal,PT-010000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,16
Aveiro,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,642086,412163,11608,423771,66.0,206082,0,first,,,IL,IL,21671,Portugal,PT-010000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,16
Aveiro,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,642086,412163,11608,423771,66.0,206082,0,first,,,B.E.,B.E.,17358,Portugal,PT-010000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,16
Aveiro,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,642086,412163,11608,423771,66.0,206082,0,first,,,L,L,9510,Portugal,PT-010000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,16
Aveiro,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,642086,412163,11608,423771,66.0,206082,0,first,,,PAN,PAN,7300,Portugal,PT-010000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,16
Aveiro,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,642086,412163,11608,423771,66.0,206082,0,first,,,PCP-PEV,PCP-PEV,5850,Portugal,PT-010000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,16
Aveiro,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,642086,412163,11608,423771,66.0,206082,0,first,,,ADN,ADN,5753,Portugal,PT-010000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,16
Aveiro,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,642086,412163,11608,423771,66.0,206082,0,first,,,R.I.R.,R.I.R.,1933,Portugal,PT-010000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,16
Aveiro,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,642086,412163,11608,423771,66.0,206082,0,first,,,PCTP/MRPP,PCTP/MRPP,1215,Portugal,PT-010000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,16
Aveiro,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,642086,412163,11608,423771,66.0,206082,0,first,,,ND,ND,1076,Portugal,PT-010000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,16
Aveiro,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,642086,412163,11608,423771,66.0,206082,0,first,,,VP,VP,610,Portugal,PT-010000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,16
Aveiro,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,642086,412163,11608,423771,66.0,206082,0,first,,,E,E,362,Portugal,PT-010000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,16
Aveiro,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PPD/PSD.CDS-PP.PPM,PPD/PSD.CDS-PP.PPM,642086,412163,11608,423771,66.0,206082,0,first,,,MPT.A,MPT.A,206,Portugal,PT-010000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,16
Beja,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PS,PS,119102,74890,2104,76994,64.65,37446,0,first,,,PS,PS,24408,Portugal,PT-020000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,3
Beja,https://www.eleicoes.mai.gov.pt/legislativas2024/,https://www.eleicoes.mai.gov.pt/legislativas2024/,PS,PS,119102,74890,2104,76994,64.65,37446,0,first,,,CH,CH,16595,Portugal,PT-020000,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,3
