district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,primary_leader,primary_leader_party,primary_leader_votes,winner,winner_party,winner_final_votes,runner_up,runner_up_party,runner_up_final_votes,final_margin,preference_changed_result,winner_transfer_gain
Algester,https://results.elections.qld.gov.au/state2020/algester,https://results.elections.qld.gov.au/state2020/algester/preference,"ENOCH, Leeanne",Australian Labor Party (State of Queensland),35108,29618,1142,30760,87.62,14810,"ENOCH, Leeanne",Australian Labor Party (State of Queensland),17452,"ENOCH, Leeanne",Australian Labor Party (State of Queensland),20073,"AITKEN, Nerissa",Liberal National Party of Queensland,9545,10528,False,2621
Aspley,https://results.elections.qld.gov.au/state2020/aspley,https://results.elections.qld.gov.au/state2020/aspley/preference,"MELLISH, Bart",Australian Labor Party (State of Queensland),37792,33530,711,34241,90.6,16766,"MELLISH, Bart",Australian Labor Party (State of Queensland),15261,"MELLISH, Bart",Australian Labor Party (State of Queensland),18494,"COOPER, Amanda",Liberal National Party of Queensland,15036,3458,False,3233
Bancroft,https://results.elections.qld.gov.au/state2020/bancroft,https://results.elections.qld.gov.au/state2020/bancroft/preference,"WHITING, Chris",Australian Labor Party (State of Queensland),36462,30414,1017,31431,86.2,15208,"WHITING, Chris",Australian Labor Party (State of Queensland),16301,"WHITING, Chris",Australian Labor Party (State of Queensland),19100,"CARLSON, Phil",Liberal National Party of Queensland,11314,7786,False,2799
Barron River,https://results.elections.qld.gov.au/state2020/barronriver,https://results.elections.qld.gov.au/state2020/barronriver/preference,"CRAWFORD, Craig",Australian Labor Party (State of Queensland),37492,31383,1059,32442,86.53,15692,"CRAWFORD, Craig",Australian Labor Party (State of Queensland),12385,"CRAWFORD, Craig",Australian Labor Party (State of Queensland),16653,"COOPER, Linda",Liberal National Party of Queensland,14730,1923,False,4268
Bonney,https://results.elections.qld.gov.au/state2020/bonney,https://results.elections.qld.gov.au/state2020/bonney/preference,"O'CONNOR, Sam",Liberal National Party of Queensland,35534,28770,1115,29885,84.1,14386,"O'CONNOR, Sam",Liberal National Party of Queensland,15323,"O'CONNOR, Sam",Liberal National Party of Queensland,17283,"BORG, Ash",Australian Labor Party (State of Queensland),11487,5796,False,1960
Broadwater,https://results.elections.qld.gov.au/state2020/broadwater,https://results.elections.qld.gov.au/state2020/broadwater/preference,"CRISAFULLI, David",Liberal National Party of Queensland,35120,30306,1004,31310,89.15,15154,"CRISAFULLI, David",Liberal National Party of Queensland,18059,"CRISAFULLI, David",Liberal National Party of Queensland,20174,"SIMPSON, Maureen",Australian Labor Party (State of Queensland),10132,10042,False,2115
Buderim,https://results.elections.qld.gov.au/state2020/buderim,https://results.elections.qld.gov.au/state2020/buderim/preference,"MICKELBERG, Brent",Liberal National Party of Queensland,36918,31613,1293,32906,89.13,15807,"MICKELBERG, Brent",Liberal National Party of Queensland,13443,"MICKELBERG, Brent",Liberal National Party of Queensland,17478,"MACKENZIE, Ken",Australian Labor Party (State of Queensland),14135,3343,False,4035
Bulimba,https://results.elections.qld.gov.au/state2020/bulimba,https://results.elections.qld.gov.au/state2020/bulimba/preference,"FARMER, Di",Australian Labor Party (State of Queensland),39571,34756,673,35429,89.53,17379,"FARMER, Di",Australian Labor Party (State of Queensland),16764,"FARMER, Di",Australian Labor Party (State of Queensland),21336,"BISHOP, Anthony",Liberal National Party of Queensland,13420,7916,False,4572
Bundaberg,https://results.elections.qld.gov.au/state2020/bundaberg,https://results.elections.qld.gov.au/state2020/bundaberg/preference,"SMITH, Tom",Australian Labor Party (State of Queensland),35296,30273,1105,31378,88.9,15137,"SMITH, Tom",Australian Labor Party (State of Queensland),13053,"SMITH, Tom",Australian Labor Party (State of Queensland),15141,"BATT, David",Liberal National Party of Queensland,15132,9,False,2088
Bundamba,https://results.elections.qld.gov.au/state2020/bundamba,https://results.elections.qld.gov.au/state2020/bundamba/preference,"MCCALLUM, Lance",Australian Labor Party (State of Queensland),38035,30429,1344,31773,83.54,15215,"MCCALLUM, Lance",Australian Labor Party (State of Queensland),17015,"MCCALLUM, Lance",Australian Labor Party (State of Queensland),21507,"BELL, Sharon",Pauline Hanson's One Nation Queensland Division,8922,12585,False,4492
Burdekin,https://results.elections.qld.gov.au/state2020/burdekin,https://results.elections.qld.gov.au/state2020/burdekin/preference,"LAST, Dale",Liberal National Party of Queensland,34920,29702,1012,30714,87.96,14852,"LAST, Dale",Liberal National Party of Queensland,11792,"LAST, Dale",Liberal National Party of Queensland,16944,"BRUNKER, Michael",Australian Labor Party (State of Queensland),12758,4186,False,5152
Burleigh,https://results.elections.qld.gov.au/state2020/burleigh,https://results.elections.qld.gov.au/state2020/burleigh/preference,"HART, Michael",Liberal National Party of Queensland,36107,29573,1297,30870,85.5,14787,"HART, Michael",Liberal National Party of Queensland,11743,"HART, Michael",Liberal National Party of Queensland,15143,"BARTHOLOMEW, Wayne (Rabbit)",Australian Labor Party (State of Queensland),14430,713,False,3400
Burnett,https://results.elections.qld.gov.au/state2020/burnett,https://results.elections.qld.gov.au/state2020/burnett/preference,"BENNETT, Stephen",Liberal National Party of Queensland,35928,31537,1311,32848,91.43,15769,"BENNETT, Stephen",Liberal National Party of Queensland,15330,"BENNETT, Stephen",Liberal National Party of Queensland,19172,"MORGAN, Kerri",Australian Labor Party (State of Queensland),12365,6807,False,3842
Cairns,https://results.elections.qld.gov.au/state2020/cairns,https://results.elections.qld.gov.au/state2020/cairns/preference,"HEALY, Michael",Australian Labor Party (State of Queensland),36789,28794,1056,29850,81.14,14398,"HEALY, Michael",Australian Labor Party (State of Queensland),12727,"HEALY, Michael",Australian Labor Party (State of Queensland),16006,"MARINO, Sam",Liberal National Party of Queensland,12788,3218,False,3279
