district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes
Algester,https://results.elections.qld.gov.au/SGE2024/algester,https://results.elections.qld.gov.au/SGE2024/algester/preference,"ENOCH, Leeanne",Australian Labor Party (State of Queensland),40236,33751,1636,35387,87.95,16876,0,first,,,"BOSLEY, Rhys",Independent,1560
Algester,https://results.elections.qld.gov.au/SGE2024/algester,https://results.elections.qld.gov.au/SGE2024/algester/preference,"ENOCH, Leeanne",Australian Labor Party (State of Queensland),40236,33751,1636,35387,87.95,16876,0,first,,,"ENOCH, Leeanne",Australian Labor Party (State of Queensland),15463
Algester,https://results.elections.qld.gov.au/SGE2024/algester,https://results.elections.qld.gov.au/SGE2024/algester/preference,"ENOCH, Leeanne",Australian Labor Party (State of Queensland),40236,33751,1636,35387,87.95,16876,0,first,,,"MARIS, George",Pauline Hanson's One Nation Queensland Division,1603
Algester,https://results.elections.qld.gov.au/SGE2024/algester,https://results.elections.qld.gov.au/SGE2024/algester/preference,"ENOCH, Leeanne",Australian Labor Party (State of Queensland),40236,33751,1636,35387,87.95,16876,0,first,,,"PRASAD, Jitendra",Liberal National Party of Queensland,10871
Algester,https://results.elections.qld.gov.au/SGE2024/algester,https://results.elections.qld.gov.au/SGE2024/algester/preference,"ENOCH, Leeanne",Australian Labor Party (State of Queensland),40236,33751,1636,35387,87.95,16876,0,first,,,"TURNER, Jane",Family First Queensland,1035
Algester,https://results.elections.qld.gov.au/SGE2024/algester,https://results.elections.qld.gov.au/SGE2024/algester/preference,"ENOCH, Leeanne",Australian Labor Party (State of Queensland),40236,33751,1636,35387,87.95,16876,0,first,,,"WILDIN, Andrea",Queensland Greens,3219
Algester,https://results.elections.qld.gov.au/SGE2024/algester,https://results.elections.qld.gov.au/SGE2024/algester/preference,"ENOCH, Leeanne",Australian Labor Party (State of Queensland),40236,33751,1636,35387,87.95,16876,1,progressive,"TURNER, Jane",Family First Queensland,"BOSLEY, Rhys",Independent,1807
Algester,https://results.elections.qld.gov.au/SGE2024/algester,https://results.elections.qld.gov.au/SGE2024/algester/preference,"ENOCH, Leeanne",Australian Labor Party (State of Queensland),40236,33751,1636,35387,87.95,16876,1,progressive,"TURNER, Jane",Family First Queensland,"ENOCH, Leeanne",Australian Labor Party (State of Queensland),15646
Algester,https://results.elections.qld.gov.au/SGE2024/algester,https://results.elections.qld.gov.au/SGE2024/algester/preference,"ENOCH, Leeanne",Australian Labor Party (State of Queensland),40236,33751,1636,35387,87.95,16876,1,progressive,"TURNER, Jane",Family First Queensland,"MARIS, George",Pauline Hanson's One Nation Queensland Division,1824
Algester,https://results.elections.qld.gov.au/SGE2024/algester,https://results.elections.qld.gov.au/SGE2024/algester/preference,"ENOCH, Leeanne",Australian Labor Party (State of Queensland),40236,33751,1636,35387,87.95,16876,1,progressive,"TURNER, Jane",Family First Queensland,"PRASAD, Jitendra",Liberal National Party of Queensland,11110
