district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,primary_leader,primary_leader_party,primary_leader_votes,winner,winner_party,winner_final_votes,runner_up,runner_up_party,runner_up_final_votes,final_margin,preference_changed_result,winner_transfer_gain
Adelaide,https://ecsa.sa.gov.au/html/results/2018/Adelaide.html,https://ecsa.sa.gov.au/html/results/2018/Adelaide.html,SANDERSON Rachel,Liberal Party,24928,21661,487,22148,88.85,10831,SANDERSON Rachel,Liberal Party,10226,SANDERSON Rachel,Liberal Party,11043,CHAPLEY Jo,Australian Labor Party,10618,425,False,817
Badcoe,https://ecsa.sa.gov.au/html/results/2018/Badcoe.html,https://ecsa.sa.gov.au/html/results/2018/Badcoe.html,STINSON Jayne,Australian Labor Party,24640,21386,901,22287,90.45,10694,STINSON Jayne,Australian Labor Party,8286,STINSON Jayne,Australian Labor Party,11867,CLYNE Lachlan,Liberal Party,9519,2348,False,3581
Black,https://ecsa.sa.gov.au/html/results/2018/Black.html,https://ecsa.sa.gov.au/html/results/2018/Black.html,SPEIRS David,Liberal Party,27870,24791,1001,25792,92.54,12396,SPEIRS David,Liberal Party,12538,SPEIRS David,Liberal Party,14546,WILSON Randall,Australian Labor Party,10245,4301,False,2008
Bragg,https://ecsa.sa.gov.au/html/results/2018/Bragg.html,https://ecsa.sa.gov.au/html/results/2018/Bragg.html,CHAPMAN Vickie,Liberal Party,25730,23079,541,23620,91.8,11540,CHAPMAN Vickie,Liberal Party,14567,CHAPMAN Vickie,Liberal Party,15566,SARRE Rick,Australian Labor Party,7513,8053,False,999
Chaffey,https://ecsa.sa.gov.au/html/results/2018/Chaffey.html,https://ecsa.sa.gov.au/html/results/2018/Chaffey.html,WHETSTONE Tim,Liberal Party,23495,20596,935,21531,91.64,10299,WHETSTONE Tim,Liberal Party,9489,WHETSTONE Tim,Liberal Party,12059,CAMPBELL Michelle,SA-Best,8537,3522,False,2570
Cheltenham,https://ecsa.sa.gov.au/html/results/2018/Cheltenham.html,https://ecsa.sa.gov.au/html/results/2018/Cheltenham.html,WEATHERILL Jay,Australian Labor Party,26051,22261,1195,23456,90.04,11131,WEATHERILL Jay,Australian Labor Party,11661,WEATHERILL Jay,Australian Labor Party,14662,PRATT Penny,Liberal Party,7599,7063,False,3001
Colton,https://ecsa.sa.gov.au/html/results/2018/Colton.html,https://ecsa.sa.gov.au/html/results/2018/Colton.html,COWDREY Matt,Liberal Party,27600,24552,808,25360,91.88,12277,COWDREY Matt,Liberal Party,11685,COWDREY Matt,Liberal Party,14211,VAUGHAN Angela,Australian Labor Party,10341,3870,False,2526
Croydon,https://ecsa.sa.gov.au/html/results/2018/Croydon.html,https://ecsa.sa.gov.au/html/results/2018/Croydon.html,MALINAUSKAS Peter,Australian Labor Party,24628,20230,1511,21741,88.28,10116,MALINAUSKAS Peter,Australian Labor Party,11739,MALINAUSKAS Peter,Australian Labor Party,15044,HEXTELL Daria,Liberal Party,5186,9858,False,3305
Davenport,https://ecsa.sa.gov.au/html/results/2018/Davenport.html,https://ecsa.sa.gov.au/html/results/2018/Davenport.html,MURRAY Steve,Liberal Party,24794,22102,792,22894,92.34,11052,MURRAY Steve,Liberal Party,9306,MURRAY Steve,Liberal Party,12992,THORSTEINSEN Jonette,Australian Labor Party,9110,3882,False,3686
Dunstan,https://ecsa.sa.gov.au/html/results/2018/Dunstan.html,https://ecsa.sa.gov.au/html/results/2018/Dunstan.html,MARSHALL Steven,Liberal Party,25411,22395,599,22994,90.49,11198,MARSHALL Steven,Liberal Party,10517,MARSHALL Steven,Liberal Party,12566,LOADER Matt,Australian Labor Party,9829,2737,False,2049
Elder,https://ecsa.sa.gov.au/html/results/2018/Elder.html,https://ecsa.sa.gov.au/html/results/2018/Elder.html,HABIB Carolyn,Liberal Party,26110,23197,794,23991,91.88,11599,HABIB Carolyn,Liberal Party,9812,HABIB Carolyn,Liberal Party,12609,DIGANCE Annabel,Australian Labor Party,10588,2021,False,2797
Elizabeth,https://ecsa.sa.gov.au/html/results/2018/Elizabeth.html,https://ecsa.sa.gov.au/html/results/2018/Elizabeth.html,ODENWALDER Lee,Australian Labor Party,28399,23185,1401,24586,86.57,11593,ODENWALDER Lee,Australian Labor Party,11828,ODENWALDER Lee,Australian Labor Party,15686,BYRNE Sharka,Liberal Party,7499,8187,False,3858
Enfield,https://ecsa.sa.gov.au/html/results/2018/Enfield.html,https://ecsa.sa.gov.au/html/results/2018/Enfield.html,RAU John,Australian Labor Party,25644,21693,1017,22710,88.56,10847,RAU John,Australian Labor Party,8882,RAU John,Australian Labor Party,12554,MATHEW Deepa,Liberal Party,9139,3415,False,3672
Finniss,https://ecsa.sa.gov.au/html/results/2018/Finniss.html,https://ecsa.sa.gov.au/html/results/2018/Finniss.html,BASHAM David,Liberal Party,23814,21359,626,21985,92.32,10680,BASHAM David,Liberal Party,9319,BASHAM David,Liberal Party,11669,HILL Joe,SA-Best,9690,1979,False,2350
Flinders,https://ecsa.sa.gov.au/html/results/2018/Flinders.html,https://ecsa.sa.gov.au/html/results/2018/Flinders.html,TRELOAR Peter,Liberal Party,22756,19892,606,20498,90.08,9947,TRELOAR Peter,Liberal Party,13565,TRELOAR Peter,Liberal Party,15176,WATSON Julie,Australian Labor Party,4716,10460,False,1611
