district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes
Adelaide,https://www.ecsa.sa.gov.au/elections/past-state-election-results,https://www.ecsa.sa.gov.au/component/edocman/244-2022se-ha-final-distribution/download?Itemid=0,"HOOD, Lucy",Australian Labor Party,27331,23323,569,23892,87.42,11662,0,first,,,"HOOD, Lucy",Australian Labor Party,9477
Adelaide,https://www.ecsa.sa.gov.au/elections/past-state-election-results,https://www.ecsa.sa.gov.au/component/edocman/244-2022se-ha-final-distribution/download?Itemid=0,"HOOD, Lucy",Australian Labor Party,27331,23323,569,23892,87.42,11662,0,first,,,"SANDERSON, Rachel",Liberal Party,9273
Adelaide,https://www.ecsa.sa.gov.au/elections/past-state-election-results,https://www.ecsa.sa.gov.au/component/edocman/244-2022se-ha-final-distribution/download?Itemid=0,"HOOD, Lucy",Australian Labor Party,27331,23323,569,23892,87.42,11662,0,first,,,"CULLEN-MACASKILL, Sean",The Greens,3146
Adelaide,https://www.ecsa.sa.gov.au/elections/past-state-election-results,https://www.ecsa.sa.gov.au/component/edocman/244-2022se-ha-final-distribution/download?Itemid=0,"HOOD, Lucy",Australian Labor Party,27331,23323,569,23892,87.42,11662,0,first,,,"WALKER, Robert",Australian Family Party,545
Adelaide,https://www.ecsa.sa.gov.au/elections/past-state-election-results,https://www.ecsa.sa.gov.au/component/edocman/244-2022se-ha-final-distribution/download?Itemid=0,"HOOD, Lucy",Australian Labor Party,27331,23323,569,23892,87.42,11662,0,first,,,"CARBONE, Deanna",Animal Justice Party,502
Adelaide,https://www.ecsa.sa.gov.au/elections/past-state-election-results,https://www.ecsa.sa.gov.au/component/edocman/244-2022se-ha-final-distribution/download?Itemid=0,"HOOD, Lucy",Australian Labor Party,27331,23323,569,23892,87.42,11662,0,first,,,"BIRDSEYE, Tom",Real Change SA,380
Adelaide,https://www.ecsa.sa.gov.au/elections/past-state-election-results,https://www.ecsa.sa.gov.au/component/edocman/244-2022se-ha-final-distribution/download?Itemid=0,"HOOD, Lucy",Australian Labor Party,27331,23323,569,23892,87.42,11662,1,transfer,"BIRDSEYE, Tom",Real Change SA,"SANDERSON, Rachel",Liberal Party,52
Adelaide,https://www.ecsa.sa.gov.au/elections/past-state-election-results,https://www.ecsa.sa.gov.au/component/edocman/244-2022se-ha-final-distribution/download?Itemid=0,"HOOD, Lucy",Australian Labor Party,27331,23323,569,23892,87.42,11662,1,transfer,"BIRDSEYE, Tom",Real Change SA,"HOOD, Lucy",Australian Labor Party,48
Adelaide,https://www.ecsa.sa.gov.au/elections/past-state-election-results,https://www.ecsa.sa.gov.au/component/edocman/244-2022se-ha-final-distribution/download?Itemid=0,"HOOD, Lucy",Australian Labor Party,27331,23323,569,23892,87.42,11662,1,transfer,"BIRDSEYE, Tom",Real Change SA,"CARBONE, Deanna",Animal Justice Party,104
Adelaide,https://www.ecsa.sa.gov.au/elections/past-state-election-results,https://www.ecsa.sa.gov.au/component/edocman/244-2022se-ha-final-distribution/download?Itemid=0,"HOOD, Lucy",Australian Labor Party,27331,23323,569,23892,87.42,11662,1,transfer,"BIRDSEYE, Tom",Real Change SA,"WALKER, Robert",Australian Family Party,106
Adelaide,https://www.ecsa.sa.gov.au/elections/past-state-election-results,https://www.ecsa.sa.gov.au/component/edocman/244-2022se-ha-final-distribution/download?Itemid=0,"HOOD, Lucy",Australian Labor Party,27331,23323,569,23892,87.42,11662,1,transfer,"BIRDSEYE, Tom",Real Change SA,"CULLEN-MACASKILL, Sean",The Greens,70
Adelaide,https://www.ecsa.sa.gov.au/elections/past-state-election-results,https://www.ecsa.sa.gov.au/component/edocman/244-2022se-ha-final-distribution/download?Itemid=0,"HOOD, Lucy",Australian Labor Party,27331,23323,569,23892,87.42,11662,1,progressive,"BIRDSEYE, Tom",Real Change SA,"SANDERSON, Rachel",Liberal Party,9325
Adelaide,https://www.ecsa.sa.gov.au/elections/past-state-election-results,https://www.ecsa.sa.gov.au/component/edocman/244-2022se-ha-final-distribution/download?Itemid=0,"HOOD, Lucy",Australian Labor Party,27331,23323,569,23892,87.42,11662,1,progressive,"BIRDSEYE, Tom",Real Change SA,"HOOD, Lucy",Australian Labor Party,9525
Adelaide,https://www.ecsa.sa.gov.au/elections/past-state-election-results,https://www.ecsa.sa.gov.au/component/edocman/244-2022se-ha-final-distribution/download?Itemid=0,"HOOD, Lucy",Australian Labor Party,27331,23323,569,23892,87.42,11662,1,progressive,"BIRDSEYE, Tom",Real Change SA,"CARBONE, Deanna",Animal Justice Party,606
Adelaide,https://www.ecsa.sa.gov.au/elections/past-state-election-results,https://www.ecsa.sa.gov.au/component/edocman/244-2022se-ha-final-distribution/download?Itemid=0,"HOOD, Lucy",Australian Labor Party,27331,23323,569,23892,87.42,11662,1,progressive,"BIRDSEYE, Tom",Real Change SA,"WALKER, Robert",Australian Family Party,651
Adelaide,https://www.ecsa.sa.gov.au/elections/past-state-election-results,https://www.ecsa.sa.gov.au/component/edocman/244-2022se-ha-final-distribution/download?Itemid=0,"HOOD, Lucy",Australian Labor Party,27331,23323,569,23892,87.42,11662,1,progressive,"BIRDSEYE, Tom",Real Change SA,"CULLEN-MACASKILL, Sean",The Greens,3216
