district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes
Melbourne,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melbourne-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melbourne-district-results/melbourne-results-distribution,"SANDELL, Ellen",Australian Greens,54533,42519,1485,44004,80.69,21260,0,first,,,"PALACKALODY, George",Liberal,7522
Melbourne,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melbourne-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melbourne-district-results/melbourne-results-distribution,"SANDELL, Ellen",Australian Greens,54533,42519,1485,44004,80.69,21260,0,first,,,"SANDELL, Ellen",Australian Greens,15855
Melbourne,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melbourne-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melbourne-district-results/melbourne-results-distribution,"SANDELL, Ellen",Australian Greens,54533,42519,1485,44004,80.69,21260,0,first,,,"JANSON, Michael",Family First Victoria,535
Melbourne,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melbourne-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melbourne-district-results/melbourne-results-distribution,"SANDELL, Ellen",Australian Greens,54533,42519,1485,44004,80.69,21260,0,first,,,"AL-SAIMARY, Laylah",Independent,428
Melbourne,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melbourne-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melbourne-district-results/melbourne-results-distribution,"SANDELL, Ellen",Australian Greens,54533,42519,1485,44004,80.69,21260,0,first,,,"BOLGER, Colleen",Victorian Socialists,2323
Melbourne,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melbourne-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melbourne-district-results/melbourne-results-distribution,"SANDELL, Ellen",Australian Greens,54533,42519,1485,44004,80.69,21260,0,first,,,"BANGAAR, Rabin",Animal Justice Party,701
Melbourne,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melbourne-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melbourne-district-results/melbourne-results-distribution,"SANDELL, Ellen",Australian Greens,54533,42519,1485,44004,80.69,21260,0,first,,,"SMITH, Steven J.",Freedom Party of Victoria,521
Melbourne,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melbourne-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melbourne-district-results/melbourne-results-distribution,"SANDELL, Ellen",Australian Greens,54533,42519,1485,44004,80.69,21260,0,first,,,"THISTLETON, Rebecca",Australian Labor Party - Victorian Branch,13033
Melbourne,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melbourne-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melbourne-district-results/melbourne-results-distribution,"SANDELL, Ellen",Australian Greens,54533,42519,1485,44004,80.69,21260,0,first,,,"FOXWORTHY, Nicola",Fiona Patten's Reason Party,1601
Melbourne,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melbourne-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/melbourne-district-results/melbourne-results-distribution,"SANDELL, Ellen",Australian Greens,54533,42519,1485,44004,80.69,21260,1,transfer,"AL-SAIMARY, Laylah",Independent,"PALACKALODY, George",Liberal,33
