district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note
Aberdeen City,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/report-scottish-independence-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,No,No,175751,143484,180,143664,81.74,24704,0,first,,,No,No,84094,Council area,S12000033,official,Official Electoral Commission appendix result; electorate reconciles to the Chief Counting Officer's national total.
Aberdeen City,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/report-scottish-independence-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,No,No,175751,143484,180,143664,81.74,24704,0,first,,,Yes,Yes,59390,Council area,S12000033,official,Official Electoral Commission appendix result; electorate reconciles to the Chief Counting Officer's national total.
Aberdeenshire,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/report-scottish-independence-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,No,No,206490,179943,102,180045,87.19,37269,0,first,,,No,No,108606,Council area,S12000034,official,Official Electoral Commission appendix result; electorate reconciles to the Chief Counting Officer's national total.
Aberdeenshire,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/report-scottish-independence-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,No,No,206490,179943,102,180045,87.19,37269,0,first,,,Yes,Yes,71337,Council area,S12000034,official,Official Electoral Commission appendix result; electorate reconciles to the Chief Counting Officer's national total.
Angus,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/report-scottish-independence-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,No,No,93656,80236,66,80302,85.74,10148,0,first,,,No,No,45192,Council area,S12000041,official,Official Electoral Commission appendix result; electorate reconciles to the Chief Counting Officer's national total.
Angus,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/report-scottish-independence-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,No,No,93656,80236,66,80302,85.74,10148,0,first,,,Yes,Yes,35044,Council area,S12000041,official,Official Electoral Commission appendix result; electorate reconciles to the Chief Counting Officer's national total.
Argyll and Bute,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/report-scottish-independence-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,No,No,72014,63467,49,63516,88.2,10819,0,first,,,No,No,37143,Council area,S12000035,official,Official Electoral Commission appendix result; electorate reconciles to the Chief Counting Officer's national total.
Argyll and Bute,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/report-scottish-independence-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,No,No,72014,63467,49,63516,88.2,10819,0,first,,,Yes,Yes,26324,Council area,S12000035,official,Official Electoral Commission appendix result; electorate reconciles to the Chief Counting Officer's national total.
Clackmannanshire,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/report-scottish-independence-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,No,No,39974,35386,24,35410,88.58,2686,0,first,,,No,No,19036,Council area,S12000005,official,Official Electoral Commission appendix result; electorate reconciles to the Chief Counting Officer's national total.
Clackmannanshire,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/report-scottish-independence-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,No,No,39974,35386,24,35410,88.58,2686,0,first,,,Yes,Yes,16350,Council area,S12000005,official,Official Electoral Commission appendix result; electorate reconciles to the Chief Counting Officer's national total.
