district,district_url,distribution_url,elected_member,elected_members,elected_party,members_to_elect,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_members,candidate_party,votes,electorate_type,contest_status
Aljunied,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,WP team,GERALD GIAM YEAN SONG;SYLVIA LIM;MUHAMAD FAISAL BIN ABDUL MANAP;LEON PERERA;PRITAM SINGH,WP,5,150821,143145,1582,144727,95.96,71573,0,first,,,WP team,GERALD GIAM YEAN SONG;SYLVIA LIM;MUHAMAD FAISAL BIN ABDUL MANAP;LEON PERERA;PRITAM SINGH,WP,85815,GRC,official
Aljunied,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,WP team,GERALD GIAM YEAN SONG;SYLVIA LIM;MUHAMAD FAISAL BIN ABDUL MANAP;LEON PERERA;PRITAM SINGH,WP,5,150821,143145,1582,144727,95.96,71573,0,first,,,PAP team,CHAN HUI YUH;CHUA ENG LEONG;VICTOR LYE THIAM FATT;SHAMSUL KAMAR BIN MOHAMED RAZALI;ALEX YEO SHENG CHYE,PAP,57330,GRC,official
Aljunied,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,WP team,GERALD GIAM YEAN SONG;SYLVIA LIM;MUHAMAD FAISAL BIN ABDUL MANAP;LEON PERERA;PRITAM SINGH,WP,5,150821,143145,1582,144727,95.96,71573,1,final,,,WP team,GERALD GIAM YEAN SONG;SYLVIA LIM;MUHAMAD FAISAL BIN ABDUL MANAP;LEON PERERA;PRITAM SINGH,WP,85815,GRC,official
Aljunied,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,WP team,GERALD GIAM YEAN SONG;SYLVIA LIM;MUHAMAD FAISAL BIN ABDUL MANAP;LEON PERERA;PRITAM SINGH,WP,5,150821,143145,1582,144727,95.96,71573,1,final,,,PAP team,CHAN HUI YUH;CHUA ENG LEONG;VICTOR LYE THIAM FATT;SHAMSUL KAMAR BIN MOHAMED RAZALI;ALEX YEO SHENG CHYE,PAP,57330,GRC,official
Ang Mo Kio,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,PAP team,DARRYL DAVID;GAN THIAM POH;LEE HSIEN LOONG;NADIA AHMAD SAMDIN;NG LING LING,PAP,5,185261,173274,5016,178290,96.24,86638,0,first,,,PAP team,DARRYL DAVID;GAN THIAM POH;LEE HSIEN LOONG;NADIA AHMAD SAMDIN;NG LING LING,PAP,124597,GRC,official
Ang Mo Kio,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,PAP team,DARRYL DAVID;GAN THIAM POH;LEE HSIEN LOONG;NADIA AHMAD SAMDIN;NG LING LING,PAP,5,185261,173274,5016,178290,96.24,86638,0,first,,,RP team,"KENNETH ANDREW JEYARETNAM;NORAINI BTE YUNUS;SOH GUAN SOON;YEO YAO HUI, CHARLES;ZHU LAICHENG",RP,48677,GRC,official
Ang Mo Kio,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,PAP team,DARRYL DAVID;GAN THIAM POH;LEE HSIEN LOONG;NADIA AHMAD SAMDIN;NG LING LING,PAP,5,185261,173274,5016,178290,96.24,86638,1,final,,,PAP team,DARRYL DAVID;GAN THIAM POH;LEE HSIEN LOONG;NADIA AHMAD SAMDIN;NG LING LING,PAP,124597,GRC,official
Ang Mo Kio,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,PAP team,DARRYL DAVID;GAN THIAM POH;LEE HSIEN LOONG;NADIA AHMAD SAMDIN;NG LING LING,PAP,5,185261,173274,5016,178290,96.24,86638,1,final,,,RP team,"KENNETH ANDREW JEYARETNAM;NORAINI BTE YUNUS;SOH GUAN SOON;YEO YAO HUI, CHARLES;ZHU LAICHENG",RP,48677,GRC,official
Bishan-Toa Payoh,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,PAP team,CHEE HONG TAT;CHONG KEE HIONG;NG ENG HEN;SAKTIANDI BIN SUPAAT,PAP,4,101220,93679,2049,95728,94.57,46840,0,first,,,PAP team,CHEE HONG TAT;CHONG KEE HIONG;NG ENG HEN;SAKTIANDI BIN SUPAAT,PAP,62983,GRC,official
Bishan-Toa Payoh,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,PAP team,CHEE HONG TAT;CHONG KEE HIONG;NG ENG HEN;SAKTIANDI BIN SUPAAT,PAP,4,101220,93679,2049,95728,94.57,46840,0,first,,,SPP team,STEVE CHIA;MELVYN CHIU;WILLIIAMSON LEE;OSMAN SULAIMAN,SPP,30696,GRC,official
Bishan-Toa Payoh,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,PAP team,CHEE HONG TAT;CHONG KEE HIONG;NG ENG HEN;SAKTIANDI BIN SUPAAT,PAP,4,101220,93679,2049,95728,94.57,46840,1,final,,,PAP team,CHEE HONG TAT;CHONG KEE HIONG;NG ENG HEN;SAKTIANDI BIN SUPAAT,PAP,62983,GRC,official
Bishan-Toa Payoh,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,PAP team,CHEE HONG TAT;CHONG KEE HIONG;NG ENG HEN;SAKTIANDI BIN SUPAAT,PAP,4,101220,93679,2049,95728,94.57,46840,1,final,,,SPP team,STEVE CHIA;MELVYN CHIU;WILLIIAMSON LEE;OSMAN SULAIMAN,SPP,30696,GRC,official
Bukit Batok,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,MURALI PILLAI,MURALI PILLAI,PAP,1,29948,28287,533,28820,96.23,14144,0,first,,,MURALI PILLAI,MURALI PILLAI,PAP,15500,SMC,official
Bukit Batok,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,MURALI PILLAI,MURALI PILLAI,PAP,1,29948,28287,533,28820,96.23,14144,0,first,,,CHEE SOON JUAN,CHEE SOON JUAN,SDP,12787,SMC,official
Bukit Batok,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,MURALI PILLAI,MURALI PILLAI,PAP,1,29948,28287,533,28820,96.23,14144,1,final,,,MURALI PILLAI,MURALI PILLAI,PAP,15500,SMC,official
Bukit Batok,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,MURALI PILLAI,MURALI PILLAI,PAP,1,29948,28287,533,28820,96.23,14144,1,final,,,CHEE SOON JUAN,CHEE SOON JUAN,SDP,12787,SMC,official
Bukit Panjang,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,LIANG ENG HWA,LIANG ENG HWA,PAP,1,35437,33661,586,34247,96.64,16831,0,first,,,LIANG ENG HWA,LIANG ENG HWA,PAP,18085,SMC,official
Bukit Panjang,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,LIANG ENG HWA,LIANG ENG HWA,PAP,1,35437,33661,586,34247,96.64,16831,0,first,,,PAUL ANANTH TAMBYAH,PAUL ANANTH TAMBYAH,SDP,15576,SMC,official
Bukit Panjang,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,LIANG ENG HWA,LIANG ENG HWA,PAP,1,35437,33661,586,34247,96.64,16831,1,final,,,LIANG ENG HWA,LIANG ENG HWA,PAP,18085,SMC,official
Bukit Panjang,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,LIANG ENG HWA,LIANG ENG HWA,PAP,1,35437,33661,586,34247,96.64,16831,1,final,,,PAUL ANANTH TAMBYAH,PAUL ANANTH TAMBYAH,SDP,15576,SMC,official
Chua Chu Kang,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,PAP team,GAN KIM YONG;LOW YEN LING;DON WEE;ZHULKARNAIN ABDUL RAHIM,PAP,4,106632,101566,1410,102976,96.57,50784,0,first,,,PAP team,GAN KIM YONG;LOW YEN LING;DON WEE;ZHULKARNAIN ABDUL RAHIM,PAP,59554,GRC,official
Chua Chu Kang,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,PAP team,GAN KIM YONG;LOW YEN LING;DON WEE;ZHULKARNAIN ABDUL RAHIM,PAP,4,106632,101566,1410,102976,96.57,50784,0,first,,,PSP team,ABDUL RAHMAN BIN MOHAMAD;CHOO SHAUN MING;TAN MENG WAH;YUEN KIN PHENG,PSP,42012,GRC,official
Chua Chu Kang,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,PAP team,GAN KIM YONG;LOW YEN LING;DON WEE;ZHULKARNAIN ABDUL RAHIM,PAP,4,106632,101566,1410,102976,96.57,50784,1,final,,,PAP team,GAN KIM YONG;LOW YEN LING;DON WEE;ZHULKARNAIN ABDUL RAHIM,PAP,59554,GRC,official
Chua Chu Kang,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,PAP team,GAN KIM YONG;LOW YEN LING;DON WEE;ZHULKARNAIN ABDUL RAHIM,PAP,4,106632,101566,1410,102976,96.57,50784,1,final,,,PSP team,ABDUL RAHMAN BIN MOHAMAD;CHOO SHAUN MING;TAN MENG WAH;YUEN KIN PHENG,PSP,42012,GRC,official
East Coast,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,PAP team,CHERYL CHAN WEI LING;HENG SWEE KEAT;MOHD MALIKI BIN OSMAN;TAN KIAT HOW;TAN SOON NEO JESSICA,PAP,5,121644,114519,1393,115912,95.29,57260,0,first,,,PAP team,CHERYL CHAN WEI LING;HENG SWEE KEAT;MOHD MALIKI BIN OSMAN;TAN KIAT HOW;TAN SOON NEO JESSICA,PAP,61144,GRC,official
East Coast,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,PAP team,CHERYL CHAN WEI LING;HENG SWEE KEAT;MOHD MALIKI BIN OSMAN;TAN KIAT HOW;TAN SOON NEO JESSICA,PAP,5,121644,114519,1393,115912,95.29,57260,0,first,,,WP team,ABDUL SHARIFF ABOO KASSIM;FOO SECK GUAN;DYLAN NG;NICOLE SEAH;TERENCE TAN LI-CHERN,WP,53375,GRC,official
East Coast,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,PAP team,CHERYL CHAN WEI LING;HENG SWEE KEAT;MOHD MALIKI BIN OSMAN;TAN KIAT HOW;TAN SOON NEO JESSICA,PAP,5,121644,114519,1393,115912,95.29,57260,1,final,,,PAP team,CHERYL CHAN WEI LING;HENG SWEE KEAT;MOHD MALIKI BIN OSMAN;TAN KIAT HOW;TAN SOON NEO JESSICA,PAP,61144,GRC,official
East Coast,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,PAP team,CHERYL CHAN WEI LING;HENG SWEE KEAT;MOHD MALIKI BIN OSMAN;TAN KIAT HOW;TAN SOON NEO JESSICA,PAP,5,121644,114519,1393,115912,95.29,57260,1,final,,,WP team,ABDUL SHARIFF ABOO KASSIM;FOO SECK GUAN;DYLAN NG;NICOLE SEAH;TERENCE TAN LI-CHERN,WP,53375,GRC,official
Holland-Bukit Timah,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,PAP team,EDWARD CHIA BING HUI;DE SOUZA CHRISTOPHER;SIM ANN;VIVIAN BALAKRISHNAN,PAP,4,114973,107318,1999,109317,95.08,53660,0,first,,,PAP team,EDWARD CHIA BING HUI;DE SOUZA CHRISTOPHER;SIM ANN;VIVIAN BALAKRISHNAN,PAP,71218,GRC,official
Holland-Bukit Timah,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,PAP team,EDWARD CHIA BING HUI;DE SOUZA CHRISTOPHER;SIM ANN;VIVIAN BALAKRISHNAN,PAP,4,114973,107318,1999,109317,95.08,53660,0,first,,,SDP team,MIN CHEONG;JAMES GOMEZ;ALFRED TAN;TAN JEE SAY,SDP,36100,GRC,official
Holland-Bukit Timah,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,PAP team,EDWARD CHIA BING HUI;DE SOUZA CHRISTOPHER;SIM ANN;VIVIAN BALAKRISHNAN,PAP,4,114973,107318,1999,109317,95.08,53660,1,final,,,PAP team,EDWARD CHIA BING HUI;DE SOUZA CHRISTOPHER;SIM ANN;VIVIAN BALAKRISHNAN,PAP,71218,GRC,official
Holland-Bukit Timah,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,PAP team,EDWARD CHIA BING HUI;DE SOUZA CHRISTOPHER;SIM ANN;VIVIAN BALAKRISHNAN,PAP,4,114973,107318,1999,109317,95.08,53660,1,final,,,SDP team,MIN CHEONG;JAMES GOMEZ;ALFRED TAN;TAN JEE SAY,SDP,36100,GRC,official
Hong Kah North,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,AMY KHOR LEAN SUAN,AMY KHOR LEAN SUAN,PAP,1,28046,26804,403,27207,97.01,13403,0,first,,,AMY KHOR LEAN SUAN,AMY KHOR LEAN SUAN,PAP,16347,SMC,official
Hong Kah North,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,AMY KHOR LEAN SUAN,AMY KHOR LEAN SUAN,PAP,1,28046,26804,403,27207,97.01,13403,0,first,,,GIGENE WONG,GIGENE WONG,PSP,10457,SMC,official
Hong Kah North,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,AMY KHOR LEAN SUAN,AMY KHOR LEAN SUAN,PAP,1,28046,26804,403,27207,97.01,13403,1,final,,,AMY KHOR LEAN SUAN,AMY KHOR LEAN SUAN,PAP,16347,SMC,official
Hong Kah North,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,AMY KHOR LEAN SUAN,AMY KHOR LEAN SUAN,PAP,1,28046,26804,403,27207,97.01,13403,1,final,,,GIGENE WONG,GIGENE WONG,PSP,10457,SMC,official
Hougang,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,DENNIS TAN LIP FONG,DENNIS TAN LIP FONG,WP,1,26432,25242,272,25514,96.53,12622,0,first,,,DENNIS TAN LIP FONG,DENNIS TAN LIP FONG,WP,15451,SMC,official
Hougang,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,DENNIS TAN LIP FONG,DENNIS TAN LIP FONG,WP,1,26432,25242,272,25514,96.53,12622,0,first,,,LEE HONG CHUANG,LEE HONG CHUANG,PAP,9791,SMC,official
Hougang,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,DENNIS TAN LIP FONG,DENNIS TAN LIP FONG,WP,1,26432,25242,272,25514,96.53,12622,1,final,,,DENNIS TAN LIP FONG,DENNIS TAN LIP FONG,WP,15451,SMC,official
Hougang,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,DENNIS TAN LIP FONG,DENNIS TAN LIP FONG,WP,1,26432,25242,272,25514,96.53,12622,1,final,,,LEE HONG CHUANG,LEE HONG CHUANG,PAP,9791,SMC,official
Jalan Besar,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,PAP team,HENG CHEE HOW;DENISE PHUA LAY PENG;JOSEPHINE TEO;WAN RIZAL,PAP,4,107720,98892,2948,101840,94.54,49447,0,first,,,PAP team,HENG CHEE HOW;DENISE PHUA LAY PENG;JOSEPHINE TEO;WAN RIZAL,PAP,64631,GRC,official
Jalan Besar,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,PAP team,HENG CHEE HOW;DENISE PHUA LAY PENG;JOSEPHINE TEO;WAN RIZAL,PAP,4,107720,98892,2948,101840,94.54,49447,0,first,,,PV team,MICHAEL FANG AMIN;LEONG SZE HIAN;LIM TEAN;NOR AZLAN BIN SULAIMAN,PV,34261,GRC,official
Jalan Besar,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,PAP team,HENG CHEE HOW;DENISE PHUA LAY PENG;JOSEPHINE TEO;WAN RIZAL,PAP,4,107720,98892,2948,101840,94.54,49447,1,final,,,PAP team,HENG CHEE HOW;DENISE PHUA LAY PENG;JOSEPHINE TEO;WAN RIZAL,PAP,64631,GRC,official
Jalan Besar,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,PAP team,HENG CHEE HOW;DENISE PHUA LAY PENG;JOSEPHINE TEO;WAN RIZAL,PAP,4,107720,98892,2948,101840,94.54,49447,1,final,,,PV team,MICHAEL FANG AMIN;LEONG SZE HIAN;LIM TEAN;NOR AZLAN BIN SULAIMAN,PV,34261,GRC,official
Jurong,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,PAP team,HUANG WEI ZHONG SHAWN;RAHAYU BINTE MAHZAM;TAN WU MENG;THARMAN SHANMUGARATNAM;XIE YAO QUAN,PAP,5,131058,123106,2519,125625,95.85,61554,0,first,,,PAP team,HUANG WEI ZHONG SHAWN;RAHAYU BINTE MAHZAM;TAN WU MENG;THARMAN SHANMUGARATNAM;XIE YAO QUAN,PAP,91846,GRC,official
Jurong,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,PAP team,HUANG WEI ZHONG SHAWN;RAHAYU BINTE MAHZAM;TAN WU MENG;THARMAN SHANMUGARATNAM;XIE YAO QUAN,PAP,5,131058,123106,2519,125625,95.85,61554,0,first,,,RDU team,MICHELLE LEE JUEN;LIYANA DHAMIRAH;RAVI PHILEMON;NICHOLAS TANG;ALEC TOK,RDU,31260,GRC,official
Jurong,https://www.eld.gov.sg/finalresults2020.html,https://www.eld.gov.sg/gazette_2020.html,PAP team,HUANG WEI ZHONG SHAWN;RAHAYU BINTE MAHZAM;TAN WU MENG;THARMAN SHANMUGARATNAM;XIE YAO QUAN,PAP,5,131058,123106,2519,125625,95.85,61554,1,final,,,PAP team,HUANG WEI ZHONG SHAWN;RAHAYU BINTE MAHZAM;TAN WU MENG;THARMAN SHANMUGARATNAM;XIE YAO QUAN,PAP,91846,GRC,official
