district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note,district_seats
Eastern Cape,https://results.elections.org.za/home/NPEPublicReports/291/National/Results,,ANC,ANC,3240059,2243497,35058,2278555,70.32,1121749,0,first,,,ANC,ANC,1587338,province,ZA-EC,official,Province National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Eastern Cape,https://results.elections.org.za/home/NPEPublicReports/291/National/Results,,ANC,ANC,3240059,2243497,35058,2278555,70.32,1121749,0,first,,,DA,DA,356050,province,ZA-EC,official,Province National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Eastern Cape,https://results.elections.org.za/home/NPEPublicReports/291/National/Results,,ANC,ANC,3240059,2243497,35058,2278555,70.32,1121749,0,first,,,UDM,UDM,118645,province,ZA-EC,official,Province National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Eastern Cape,https://results.elections.org.za/home/NPEPublicReports/291/National/Results,,ANC,ANC,3240059,2243497,35058,2278555,70.32,1121749,0,first,,,EFF,EFF,84783,province,ZA-EC,official,Province National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Eastern Cape,https://results.elections.org.za/home/NPEPublicReports/291/National/Results,,ANC,ANC,3240059,2243497,35058,2278555,70.32,1121749,0,first,,,COPE,COPE,26580,province,ZA-EC,official,Province National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Eastern Cape,https://results.elections.org.za/home/NPEPublicReports/291/National/Results,,ANC,ANC,3240059,2243497,35058,2278555,70.32,1121749,0,first,,,AIC,AIC,17514,province,ZA-EC,official,Province National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Eastern Cape,https://results.elections.org.za/home/NPEPublicReports/291/National/Results,,ANC,ANC,3240059,2243497,35058,2278555,70.32,1121749,0,first,,,PAC,PAC,9649,province,ZA-EC,official,Province National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Eastern Cape,https://results.elections.org.za/home/NPEPublicReports/291/National/Results,,ANC,ANC,3240059,2243497,35058,2278555,70.32,1121749,0,first,,,FF+,FF+,8771,province,ZA-EC,official,Province National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Eastern Cape,https://results.elections.org.za/home/NPEPublicReports/291/National/Results,,ANC,ANC,3240059,2243497,35058,2278555,70.32,1121749,0,first,,,ACDP,ACDP,8016,province,ZA-EC,official,Province National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Eastern Cape,https://results.elections.org.za/home/NPEPublicReports/291/National/Results,,ANC,ANC,3240059,2243497,35058,2278555,70.32,1121749,0,first,,,APC,APC,4538,province,ZA-EC,official,Province National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Eastern Cape,https://results.elections.org.za/home/NPEPublicReports/291/National/Results,,ANC,ANC,3240059,2243497,35058,2278555,70.32,1121749,0,first,,,Kingdom Governance Movement,Kingdom Governance Movement,3576,province,ZA-EC,official,Province National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Eastern Cape,https://results.elections.org.za/home/NPEPublicReports/291/National/Results,,ANC,ANC,3240059,2243497,35058,2278555,70.32,1121749,0,first,,,NFP,NFP,3559,province,ZA-EC,official,Province National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Eastern Cape,https://results.elections.org.za/home/NPEPublicReports/291/National/Results,,ANC,ANC,3240059,2243497,35058,2278555,70.32,1121749,0,first,,,Agang SA,Agang SA,2501,province,ZA-EC,official,Province National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Eastern Cape,https://results.elections.org.za/home/NPEPublicReports/291/National/Results,,ANC,ANC,3240059,2243497,35058,2278555,70.32,1121749,0,first,,,Azanian People'S Organisation,Azanian People'S Organisation,2323,province,ZA-EC,official,Province National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Eastern Cape,https://results.elections.org.za/home/NPEPublicReports/291/National/Results,,ANC,ANC,3240059,2243497,35058,2278555,70.32,1121749,0,first,,,United Congress,United Congress,1367,province,ZA-EC,official,Province National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Eastern Cape,https://results.elections.org.za/home/NPEPublicReports/291/National/Results,,ANC,ANC,3240059,2243497,35058,2278555,70.32,1121749,0,first,,,IFP,IFP,1291,province,ZA-EC,official,Province National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Eastern Cape,https://results.elections.org.za/home/NPEPublicReports/291/National/Results,,ANC,ANC,3240059,2243497,35058,2278555,70.32,1121749,0,first,,,United Christian Democratic Party,United Christian Democratic Party,1099,province,ZA-EC,official,Province National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Eastern Cape,https://results.elections.org.za/home/NPEPublicReports/291/National/Results,,ANC,ANC,3240059,2243497,35058,2278555,70.32,1121749,0,first,,,Pan Africanist Movement,Pan Africanist Movement,845,province,ZA-EC,official,Province National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Eastern Cape,https://results.elections.org.za/home/NPEPublicReports/291/National/Results,,ANC,ANC,3240059,2243497,35058,2278555,70.32,1121749,0,first,,,Workers And Socialist Party,Workers And Socialist Party,833,province,ZA-EC,official,Province National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Eastern Cape,https://results.elections.org.za/home/NPEPublicReports/291/National/Results,,ANC,ANC,3240059,2243497,35058,2278555,70.32,1121749,0,first,,,Al Jama-ah,Al Jama-ah,740,province,ZA-EC,official,Province National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Eastern Cape,https://results.elections.org.za/home/NPEPublicReports/291/National/Results,,ANC,ANC,3240059,2243497,35058,2278555,70.32,1121749,0,first,,,Ubuntu Party,Ubuntu Party,585,province,ZA-EC,official,Province National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Eastern Cape,https://results.elections.org.za/home/NPEPublicReports/291/National/Results,,ANC,ANC,3240059,2243497,35058,2278555,70.32,1121749,0,first,,,PA,PA,544,province,ZA-EC,official,Province National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Eastern Cape,https://results.elections.org.za/home/NPEPublicReports/291/National/Results,,ANC,ANC,3240059,2243497,35058,2278555,70.32,1121749,0,first,,,Independent Civic Organisation Of South Africa,Independent Civic Organisation Of South Africa,395,province,ZA-EC,official,Province National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Eastern Cape,https://results.elections.org.za/home/NPEPublicReports/291/National/Results,,ANC,ANC,3240059,2243497,35058,2278555,70.32,1121749,0,first,,,Keep It Straight And Simple,Keep It Straight And Simple,384,province,ZA-EC,official,Province National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Eastern Cape,https://results.elections.org.za/home/NPEPublicReports/291/National/Results,,ANC,ANC,3240059,2243497,35058,2278555,70.32,1121749,0,first,,,Bushbuckridge Residents Association,Bushbuckridge Residents Association,382,province,ZA-EC,official,Province National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Eastern Cape,https://results.elections.org.za/home/NPEPublicReports/291/National/Results,,ANC,ANC,3240059,2243497,35058,2278555,70.32,1121749,0,first,,,Front Nasionaal/Front National,Front Nasionaal/Front National,355,province,ZA-EC,official,Province National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Eastern Cape,https://results.elections.org.za/home/NPEPublicReports/291/National/Results,,ANC,ANC,3240059,2243497,35058,2278555,70.32,1121749,0,first,,,First Nation Liberation Alliance,First Nation Liberation Alliance,344,province,ZA-EC,official,Province National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Eastern Cape,https://results.elections.org.za/home/NPEPublicReports/291/National/Results,,ANC,ANC,3240059,2243497,35058,2278555,70.32,1121749,0,first,,,Minority Front,Minority Front,317,province,ZA-EC,official,Province National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Eastern Cape,https://results.elections.org.za/home/NPEPublicReports/291/National/Results,,ANC,ANC,3240059,2243497,35058,2278555,70.32,1121749,0,first,,,Peoples Alliance,Peoples Alliance,173,province,ZA-EC,official,Province National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Free State,https://results.elections.org.za/home/NPEPublicReports/291/National/Results,,ANC,ANC,1449488,1034337,16690,1051027,72.51,517169,0,first,,,ANC,ANC,721126,province,ZA-FS,official,Province National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Free State,https://results.elections.org.za/home/NPEPublicReports/291/National/Results,,ANC,ANC,1449488,1034337,16690,1051027,72.51,517169,0,first,,,DA,DA,167972,province,ZA-FS,official,Province National Assembly ballot totals; National Assembly seats are allocated nationally.,0
