district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note,district_seats
Buffalo City,https://results.elections.org.za/home/NPEPublicReports/699/National/Results,,ANC,ANC,421247,272716,3466,276182,65.56,136359,0,first,,,ANC,ANC,181445,municipality,BUF,official,Municipality National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Buffalo City,https://results.elections.org.za/home/NPEPublicReports/699/National/Results,,ANC,ANC,421247,272716,3466,276182,65.56,136359,0,first,,,DA,DA,45191,municipality,BUF,official,Municipality National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Buffalo City,https://results.elections.org.za/home/NPEPublicReports/699/National/Results,,ANC,ANC,421247,272716,3466,276182,65.56,136359,0,first,,,EFF,EFF,30861,municipality,BUF,official,Municipality National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Buffalo City,https://results.elections.org.za/home/NPEPublicReports/699/National/Results,,ANC,ANC,421247,272716,3466,276182,65.56,136359,0,first,,,UDM,UDM,2090,municipality,BUF,official,Municipality National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Buffalo City,https://results.elections.org.za/home/NPEPublicReports/699/National/Results,,ANC,ANC,421247,272716,3466,276182,65.56,136359,0,first,,,PAC,PAC,1865,municipality,BUF,official,Municipality National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Buffalo City,https://results.elections.org.za/home/NPEPublicReports/699/National/Results,,ANC,ANC,421247,272716,3466,276182,65.56,136359,0,first,,,ACDP,ACDP,1845,municipality,BUF,official,Municipality National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Buffalo City,https://results.elections.org.za/home/NPEPublicReports/699/National/Results,,ANC,ANC,421247,272716,3466,276182,65.56,136359,0,first,,,ATM,ATM,1840,municipality,BUF,official,Municipality National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Buffalo City,https://results.elections.org.za/home/NPEPublicReports/699/National/Results,,ANC,ANC,421247,272716,3466,276182,65.56,136359,0,first,,,FF+,FF+,1467,municipality,BUF,official,Municipality National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Buffalo City,https://results.elections.org.za/home/NPEPublicReports/699/National/Results,,ANC,ANC,421247,272716,3466,276182,65.56,136359,0,first,,,AIC,AIC,858,municipality,BUF,official,Municipality National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Buffalo City,https://results.elections.org.za/home/NPEPublicReports/699/National/Results,,ANC,ANC,421247,272716,3466,276182,65.56,136359,0,first,,,African Security Congress,African Security Congress,647,municipality,BUF,official,Municipality National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Buffalo City,https://results.elections.org.za/home/NPEPublicReports/699/National/Results,,ANC,ANC,421247,272716,3466,276182,65.56,136359,0,first,,,COPE,COPE,617,municipality,BUF,official,Municipality National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Buffalo City,https://results.elections.org.za/home/NPEPublicReports/699/National/Results,,ANC,ANC,421247,272716,3466,276182,65.56,136359,0,first,,,Socialist Revolutionary Workers Party,Socialist Revolutionary Workers Party,611,municipality,BUF,official,Municipality National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Buffalo City,https://results.elections.org.za/home/NPEPublicReports/699/National/Results,,ANC,ANC,421247,272716,3466,276182,65.56,136359,0,first,,,GOOD,GOOD,535,municipality,BUF,official,Municipality National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Buffalo City,https://results.elections.org.za/home/NPEPublicReports/699/National/Results,,ANC,ANC,421247,272716,3466,276182,65.56,136359,0,first,,,Alliance For Transformation For All,Alliance For Transformation For All,401,municipality,BUF,official,Municipality National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Buffalo City,https://results.elections.org.za/home/NPEPublicReports/699/National/Results,,ANC,ANC,421247,272716,3466,276182,65.56,136359,0,first,,,Christian Political Movement,Christian Political Movement,273,municipality,BUF,official,Municipality National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Buffalo City,https://results.elections.org.za/home/NPEPublicReports/699/National/Results,,ANC,ANC,421247,272716,3466,276182,65.56,136359,0,first,,,Afrikan Alliance Of Social Democrats,Afrikan Alliance Of Social Democrats,266,municipality,BUF,official,Municipality National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Buffalo City,https://results.elections.org.za/home/NPEPublicReports/699/National/Results,,ANC,ANC,421247,272716,3466,276182,65.56,136359,0,first,,,Democratic Liberal Congress,Democratic Liberal Congress,254,municipality,BUF,official,Municipality National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Buffalo City,https://results.elections.org.za/home/NPEPublicReports/699/National/Results,,ANC,ANC,421247,272716,3466,276182,65.56,136359,0,first,,,Azanian People'S Organisation,Azanian People'S Organisation,193,municipality,BUF,official,Municipality National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Buffalo City,https://results.elections.org.za/home/NPEPublicReports/699/National/Results,,ANC,ANC,421247,272716,3466,276182,65.56,136359,0,first,,,Agang SA,Agang SA,166,municipality,BUF,official,Municipality National Assembly ballot totals; National Assembly seats are allocated nationally.,0
Buffalo City,https://results.elections.org.za/home/NPEPublicReports/699/National/Results,,ANC,ANC,421247,272716,3466,276182,65.56,136359,0,first,,,APC,APC,154,municipality,BUF,official,Municipality National Assembly ballot totals; National Assembly seats are allocated nationally.,0
