district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note
강남구 — Seoul,https://www.data.go.kr/data/15025528/fileData.do,https://www.data.go.kr/data/15129688/fileData.do,Yoon Suk Yeol,Yoon Suk Yeol,451970,352023,2755,354778,78.5,129032,0,first,,,Yoon Suk Yeol,Yoon Suk Yeol,235897,Seoul,KR2022-11-001,official,Official NEC polling-district returns aggregated to municipality/election-commission areas. The map retains 2022-era Bucheon and North Gyeongsang attribution for Gunwi.
강남구 — Seoul,https://www.data.go.kr/data/15025528/fileData.do,https://www.data.go.kr/data/15129688/fileData.do,Yoon Suk Yeol,Yoon Suk Yeol,451970,352023,2755,354778,78.5,129032,0,first,,,Lee Jae-myung,Lee Jae-myung,106865,Seoul,KR2022-11-001,official,Official NEC polling-district returns aggregated to municipality/election-commission areas. The map retains 2022-era Bucheon and North Gyeongsang attribution for Gunwi.
강남구 — Seoul,https://www.data.go.kr/data/15025528/fileData.do,https://www.data.go.kr/data/15129688/fileData.do,Yoon Suk Yeol,Yoon Suk Yeol,451970,352023,2755,354778,78.5,129032,0,first,,,Sim Sang-jung,Sim Sang-jung,7020,Seoul,KR2022-11-001,official,Official NEC polling-district returns aggregated to municipality/election-commission areas. The map retains 2022-era Bucheon and North Gyeongsang attribution for Gunwi.
강남구 — Seoul,https://www.data.go.kr/data/15025528/fileData.do,https://www.data.go.kr/data/15129688/fileData.do,Yoon Suk Yeol,Yoon Suk Yeol,451970,352023,2755,354778,78.5,129032,0,first,,,Huh Kyung-young,Huh Kyung-young,1383,Seoul,KR2022-11-001,official,Official NEC polling-district returns aggregated to municipality/election-commission areas. The map retains 2022-era Bucheon and North Gyeongsang attribution for Gunwi.
강남구 — Seoul,https://www.data.go.kr/data/15025528/fileData.do,https://www.data.go.kr/data/15129688/fileData.do,Yoon Suk Yeol,Yoon Suk Yeol,451970,352023,2755,354778,78.5,129032,0,first,,,Cho Won-jin,Cho Won-jin,258,Seoul,KR2022-11-001,official,Official NEC polling-district returns aggregated to municipality/election-commission areas. The map retains 2022-era Bucheon and North Gyeongsang attribution for Gunwi.
강남구 — Seoul,https://www.data.go.kr/data/15025528/fileData.do,https://www.data.go.kr/data/15129688/fileData.do,Yoon Suk Yeol,Yoon Suk Yeol,451970,352023,2755,354778,78.5,129032,0,first,,,Kim Jae-yeon,Kim Jae-yeon,134,Seoul,KR2022-11-001,official,Official NEC polling-district returns aggregated to municipality/election-commission areas. The map retains 2022-era Bucheon and North Gyeongsang attribution for Gunwi.
강남구 — Seoul,https://www.data.go.kr/data/15025528/fileData.do,https://www.data.go.kr/data/15129688/fileData.do,Yoon Suk Yeol,Yoon Suk Yeol,451970,352023,2755,354778,78.5,129032,0,first,,,Oh Jun-ho,Oh Jun-ho,130,Seoul,KR2022-11-001,official,Official NEC polling-district returns aggregated to municipality/election-commission areas. The map retains 2022-era Bucheon and North Gyeongsang attribution for Gunwi.
강남구 — Seoul,https://www.data.go.kr/data/15025528/fileData.do,https://www.data.go.kr/data/15129688/fileData.do,Yoon Suk Yeol,Yoon Suk Yeol,451970,352023,2755,354778,78.5,129032,0,first,,,Kim Kyung-jae,Kim Kyung-jae,109,Seoul,KR2022-11-001,official,Official NEC polling-district returns aggregated to municipality/election-commission areas. The map retains 2022-era Bucheon and North Gyeongsang attribution for Gunwi.
강남구 — Seoul,https://www.data.go.kr/data/15025528/fileData.do,https://www.data.go.kr/data/15129688/fileData.do,Yoon Suk Yeol,Yoon Suk Yeol,451970,352023,2755,354778,78.5,129032,0,first,,,Kim Min-chan,Kim Min-chan,95,Seoul,KR2022-11-001,official,Official NEC polling-district returns aggregated to municipality/election-commission areas. The map retains 2022-era Bucheon and North Gyeongsang attribution for Gunwi.
강남구 — Seoul,https://www.data.go.kr/data/15025528/fileData.do,https://www.data.go.kr/data/15129688/fileData.do,Yoon Suk Yeol,Yoon Suk Yeol,451970,352023,2755,354778,78.5,129032,0,first,,,Lee Baek-yoon,Lee Baek-yoon,47,Seoul,KR2022-11-001,official,Official NEC polling-district returns aggregated to municipality/election-commission areas. The map retains 2022-era Bucheon and North Gyeongsang attribution for Gunwi.
