district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note,district_seats
Albacete,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,PSOE,PSOE,309996,212482,4435,216917,69.97,106242,0,first,,,PSOE,PSOE,69848,Spain,ES-01,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,4
Albacete,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,PSOE,PSOE,309996,212482,4435,216917,69.97,106242,0,first,,,PP,PP,58835,Spain,ES-01,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,4
Albacete,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,PSOE,PSOE,309996,212482,4435,216917,69.97,106242,0,first,,,VOX,VOX,44306,Spain,ES-01,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,4
Albacete,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,PSOE,PSOE,309996,212482,4435,216917,69.97,106242,0,first,,,PODEMOS-IU,PODEMOS-IU,20771,Spain,ES-01,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,4
Albacete,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,PSOE,PSOE,309996,212482,4435,216917,69.97,106242,0,first,,,Cs,Cs,15947,Spain,ES-01,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,4
Albacete,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,PSOE,PSOE,309996,212482,4435,216917,69.97,106242,0,first,,,PACMA,PACMA,1651,Spain,ES-01,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,4
Albacete,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,PSOE,PSOE,309996,212482,4435,216917,69.97,106242,0,first,,,RECORTES CERO-GV,RECORTES CERO-GV,222,Spain,ES-01,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,4
Albacete,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,PSOE,PSOE,309996,212482,4435,216917,69.97,106242,0,first,,,PUM+J,PUM+J,375,Spain,ES-01,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,4
Albacete,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,PSOE,PSOE,309996,212482,4435,216917,69.97,106242,0,first,,,PCTE,PCTE,153,Spain,ES-01,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,4
Albacete,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,PSOE,PSOE,309996,212482,4435,216917,69.97,106242,0,first,,,PCPE,PCPE,177,Spain,ES-01,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,4
Albacete,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,PSOE,PSOE,309996,212482,4435,216917,69.97,106242,0,first,,,PDSJE,PDSJE,197,Spain,ES-01,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,4
Alicante/Alacant,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,PSOE,PSOE,1276691,844938,15112,860050,67.37,422470,0,first,,,PSOE,PSOE,240202,Spain,ES-02,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,12
Alicante/Alacant,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,PSOE,PSOE,1276691,844938,15112,860050,67.37,422470,0,first,,,PP,PP,207310,Spain,ES-02,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,12
Alicante/Alacant,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,PSOE,PSOE,1276691,844938,15112,860050,67.37,422470,0,first,,,VOX,VOX,167395,Spain,ES-02,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,12
Alicante/Alacant,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,PSOE,PSOE,1276691,844938,15112,860050,67.37,422470,0,first,,,PODEMOS-IU,PODEMOS-IU,108533,Spain,ES-02,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,12
Alicante/Alacant,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,PSOE,PSOE,1276691,844938,15112,860050,67.37,422470,0,first,,,Cs,Cs,69143,Spain,ES-02,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,12
Alicante/Alacant,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,PSOE,PSOE,1276691,844938,15112,860050,67.37,422470,0,first,,,MÉS COMPROMÍS,MÉS COMPROMÍS,35612,Spain,ES-02,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,12
Alicante/Alacant,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,PSOE,PSOE,1276691,844938,15112,860050,67.37,422470,0,first,,,PACMA,PACMA,9417,Spain,ES-02,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,12
Alicante/Alacant,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,PSOE,PSOE,1276691,844938,15112,860050,67.37,422470,0,first,,,RECORTES CERO-GV,RECORTES CERO-GV,891,Spain,ES-02,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,12
Alicante/Alacant,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,PSOE,PSOE,1276691,844938,15112,860050,67.37,422470,0,first,,,PUM+J,PUM+J,948,Spain,ES-02,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,12
Alicante/Alacant,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,PSOE,PSOE,1276691,844938,15112,860050,67.37,422470,0,first,,,PCPE,PCPE,911,Spain,ES-02,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,12
Alicante/Alacant,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,PSOE,PSOE,1276691,844938,15112,860050,67.37,422470,0,first,,,ERPV,ERPV,1683,Spain,ES-02,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,12
Alicante/Alacant,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,PSOE,PSOE,1276691,844938,15112,860050,67.37,422470,0,first,,,AVANT ADELANTE LOS VERDES,AVANT ADELANTE LOS VERDES,2337,Spain,ES-02,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,12
Alicante/Alacant,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,PSOE,PSOE,1276691,844938,15112,860050,67.37,422470,0,first,,,P-LIB,P-LIB,556,Spain,ES-02,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,12
Almería,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,PSOE,PSOE,502627,299763,5651,305414,60.76,149882,0,first,,,PSOE,PSOE,89295,Spain,ES-03,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,6
Almería,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,PSOE,PSOE,502627,299763,5651,305414,60.76,149882,0,first,,,PP,PP,78072,Spain,ES-03,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,6
Almería,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,PSOE,PSOE,502627,299763,5651,305414,60.76,149882,0,first,,,VOX,VOX,80714,Spain,ES-03,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,6
Almería,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,PSOE,PSOE,502627,299763,5651,305414,60.76,149882,0,first,,,PODEMOS-IU,PODEMOS-IU,24400,Spain,ES-03,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,6
Almería,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,PSOE,PSOE,502627,299763,5651,305414,60.76,149882,0,first,,,Cs,Cs,22835,Spain,ES-03,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,6
Almería,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,PSOE,PSOE,502627,299763,5651,305414,60.76,149882,0,first,,,PACMA,PACMA,2582,Spain,ES-03,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,6
Almería,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,PSOE,PSOE,502627,299763,5651,305414,60.76,149882,0,first,,,RECORTES CERO-GV,RECORTES CERO-GV,360,Spain,ES-03,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,6
Almería,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,https://www.boe.es/buscar/doc.php?id=BOE-A-2019-18147,PSOE,PSOE,502627,299763,5651,305414,60.76,149882,0,first,,,PUM+J,PUM+J,371,Spain,ES-03,official,Blank and null ballots are combined as non-party ballots so party-list votes plus non-party ballots reconcile to ballots cast.,6
