district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note,district_seats
Upplands Väsby,https://historik.val.se/val/val2018/statistik/index.html,,S,S,30740,25830,206,26036,84.7,12916,0,first,,,S,S,6966,Sweden,SE_0114,official,Municipality totals; seats are not allocated by municipality.,0
Upplands Väsby,https://historik.val.se/val/val2018/statistik/index.html,,S,S,30740,25830,206,26036,84.7,12916,0,first,,,M,M,5970,Sweden,SE_0114,official,Municipality totals; seats are not allocated by municipality.,0
Upplands Väsby,https://historik.val.se/val/val2018/statistik/index.html,,S,S,30740,25830,206,26036,84.7,12916,0,first,,,SD,SD,4659,Sweden,SE_0114,official,Municipality totals; seats are not allocated by municipality.,0
Upplands Väsby,https://historik.val.se/val/val2018/statistik/index.html,,S,S,30740,25830,206,26036,84.7,12916,0,first,,,V,V,2069,Sweden,SE_0114,official,Municipality totals; seats are not allocated by municipality.,0
Upplands Väsby,https://historik.val.se/val/val2018/statistik/index.html,,S,S,30740,25830,206,26036,84.7,12916,0,first,,,KD,KD,1734,Sweden,SE_0114,official,Municipality totals; seats are not allocated by municipality.,0
Upplands Väsby,https://historik.val.se/val/val2018/statistik/index.html,,S,S,30740,25830,206,26036,84.7,12916,0,first,,,C,C,1618,Sweden,SE_0114,official,Municipality totals; seats are not allocated by municipality.,0
Upplands Väsby,https://historik.val.se/val/val2018/statistik/index.html,,S,S,30740,25830,206,26036,84.7,12916,0,first,,,L,L,1463,Sweden,SE_0114,official,Municipality totals; seats are not allocated by municipality.,0
Upplands Väsby,https://historik.val.se/val/val2018/statistik/index.html,,S,S,30740,25830,206,26036,84.7,12916,0,first,,,MP,MP,1012,Sweden,SE_0114,official,Municipality totals; seats are not allocated by municipality.,0
Upplands Väsby,https://historik.val.se/val/val2018/statistik/index.html,,S,S,30740,25830,206,26036,84.7,12916,0,first,,,FI,FI,96,Sweden,SE_0114,official,Municipality totals; seats are not allocated by municipality.,0
Upplands Väsby,https://historik.val.se/val/val2018/statistik/index.html,,S,S,30740,25830,206,26036,84.7,12916,0,first,,,AfS,AfS,80,Sweden,SE_0114,official,Municipality totals; seats are not allocated by municipality.,0
Upplands Väsby,https://historik.val.se/val/val2018/statistik/index.html,,S,S,30740,25830,206,26036,84.7,12916,0,first,,,MED,MED,49,Sweden,SE_0114,official,Municipality totals; seats are not allocated by municipality.,0
Upplands Väsby,https://historik.val.se/val/val2018/statistik/index.html,,S,S,30740,25830,206,26036,84.7,12916,0,first,,,DD,DD,23,Sweden,SE_0114,official,Municipality totals; seats are not allocated by municipality.,0
