district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note,district_seats
Upplands Väsby,https://www.val.se/valresultat-och-statistik/statistik-och-data/radata-fran-val-2002-2022,,S,S,32973,25908,299,26207,79.48,12955,0,first,,,S,S,7809,Sweden,SE_0114,official,District results aggregated to municipalities; seats are allocated elsewhere.,0
Upplands Väsby,https://www.val.se/valresultat-och-statistik/statistik-och-data/radata-fran-val-2002-2022,,S,S,32973,25908,299,26207,79.48,12955,0,first,,,SD,SD,5424,Sweden,SE_0114,official,District results aggregated to municipalities; seats are allocated elsewhere.,0
Upplands Väsby,https://www.val.se/valresultat-och-statistik/statistik-och-data/radata-fran-val-2002-2022,,S,S,32973,25908,299,26207,79.48,12955,0,first,,,M,M,5316,Sweden,SE_0114,official,District results aggregated to municipalities; seats are allocated elsewhere.,0
Upplands Väsby,https://www.val.se/valresultat-och-statistik/statistik-och-data/radata-fran-val-2002-2022,,S,S,32973,25908,299,26207,79.48,12955,0,first,,,V,V,1975,Sweden,SE_0114,official,District results aggregated to municipalities; seats are allocated elsewhere.,0
Upplands Väsby,https://www.val.se/valresultat-och-statistik/statistik-och-data/radata-fran-val-2002-2022,,S,S,32973,25908,299,26207,79.48,12955,0,first,,,C,C,1527,Sweden,SE_0114,official,District results aggregated to municipalities; seats are allocated elsewhere.,0
Upplands Väsby,https://www.val.se/valresultat-och-statistik/statistik-och-data/radata-fran-val-2002-2022,,S,S,32973,25908,299,26207,79.48,12955,0,first,,,KD,KD,1292,Sweden,SE_0114,official,District results aggregated to municipalities; seats are allocated elsewhere.,0
Upplands Väsby,https://www.val.se/valresultat-och-statistik/statistik-och-data/radata-fran-val-2002-2022,,S,S,32973,25908,299,26207,79.48,12955,0,first,,,L,L,1124,Sweden,SE_0114,official,District results aggregated to municipalities; seats are allocated elsewhere.,0
Upplands Väsby,https://www.val.se/valresultat-och-statistik/statistik-och-data/radata-fran-val-2002-2022,,S,S,32973,25908,299,26207,79.48,12955,0,first,,,MP,MP,938,Sweden,SE_0114,official,District results aggregated to municipalities; seats are allocated elsewhere.,0
Upplands Väsby,https://www.val.se/valresultat-och-statistik/statistik-och-data/radata-fran-val-2002-2022,,S,S,32973,25908,299,26207,79.48,12955,0,first,,,Partiet Nyans,Partiet Nyans,217,Sweden,SE_0114,official,District results aggregated to municipalities; seats are allocated elsewhere.,0
Upplands Väsby,https://www.val.se/valresultat-och-statistik/statistik-och-data/radata-fran-val-2002-2022,,S,S,32973,25908,299,26207,79.48,12955,0,first,,,Alternativ för Sverige,Alternativ för Sverige,68,Sweden,SE_0114,official,District results aggregated to municipalities; seats are allocated elsewhere.,0
Upplands Väsby,https://www.val.se/valresultat-och-statistik/statistik-och-data/radata-fran-val-2002-2022,,S,S,32973,25908,299,26207,79.48,12955,0,first,,,Medborgerlig Samling,Medborgerlig Samling,43,Sweden,SE_0114,official,District results aggregated to municipalities; seats are allocated elsewhere.,0
Upplands Väsby,https://www.val.se/valresultat-och-statistik/statistik-och-data/radata-fran-val-2002-2022,,S,S,32973,25908,299,26207,79.48,12955,0,first,,,Piratpartiet,Piratpartiet,38,Sweden,SE_0114,official,District results aggregated to municipalities; seats are allocated elsewhere.,0
Upplands Väsby,https://www.val.se/valresultat-och-statistik/statistik-och-data/radata-fran-val-2002-2022,,S,S,32973,25908,299,26207,79.48,12955,0,first,,,Kristna Värdepartiet,Kristna Värdepartiet,32,Sweden,SE_0114,official,District results aggregated to municipalities; seats are allocated elsewhere.,0
Upplands Väsby,https://www.val.se/valresultat-och-statistik/statistik-och-data/radata-fran-val-2002-2022,,S,S,32973,25908,299,26207,79.48,12955,0,first,,,Knapptryckarna,Knapptryckarna,24,Sweden,SE_0114,official,District results aggregated to municipalities; seats are allocated elsewhere.,0
Upplands Väsby,https://www.val.se/valresultat-och-statistik/statistik-och-data/radata-fran-val-2002-2022,,S,S,32973,25908,299,26207,79.48,12955,0,first,,,MoD,MoD,15,Sweden,SE_0114,official,District results aggregated to municipalities; seats are allocated elsewhere.,0
Upplands Väsby,https://www.val.se/valresultat-och-statistik/statistik-och-data/radata-fran-val-2002-2022,,S,S,32973,25908,299,26207,79.48,12955,0,first,,,Feministiskt initiativ,Feministiskt initiativ,14,Sweden,SE_0114,official,District results aggregated to municipalities; seats are allocated elsewhere.,0
Upplands Väsby,https://www.val.se/valresultat-och-statistik/statistik-och-data/radata-fran-val-2002-2022,,S,S,32973,25908,299,26207,79.48,12955,0,first,,,SKP,SKP,12,Sweden,SE_0114,official,District results aggregated to municipalities; seats are allocated elsewhere.,0
