district,district_url,distribution_url,elected_member,elected_party,elected_members,members_to_elect,quota,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,candidate_status,candidate_elected,candidate_elected_order,votes
Bass,https://www.tec.tas.gov.au/house-of-assembly/StateElection2021/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/StateElection2021/results/bass/dist-bass-m.html,"GUTWEIN, Peter; COURTNEY, Sarah; FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie",Liberal Party; Liberal Party; Liberal Party; Australian Labor Party; Australian Labor Party,"GUTWEIN, Peter; COURTNEY, Sarah; FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie",5,11226,78182,67352,3544,70896,90.68,3499,0,first,,,"GUTWEIN, Peter",Liberal Party,Elected 1,True,1,32482
Bass,https://www.tec.tas.gov.au/house-of-assembly/StateElection2021/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/StateElection2021/results/bass/dist-bass-m.html,"GUTWEIN, Peter; COURTNEY, Sarah; FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie",Liberal Party; Liberal Party; Liberal Party; Australian Labor Party; Australian Labor Party,"GUTWEIN, Peter; COURTNEY, Sarah; FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie",5,11226,78182,67352,3544,70896,90.68,3499,0,first,,,"O'BYRNE, Michelle",Australian Labor Party,Elected 4,True,4,7813
Bass,https://www.tec.tas.gov.au/house-of-assembly/StateElection2021/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/StateElection2021/results/bass/dist-bass-m.html,"GUTWEIN, Peter; COURTNEY, Sarah; FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie",Liberal Party; Liberal Party; Liberal Party; Australian Labor Party; Australian Labor Party,"GUTWEIN, Peter; COURTNEY, Sarah; FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie",5,11226,78182,67352,3544,70896,90.68,3499,0,first,,,"FINLAY, Janie",Australian Labor Party,Elected 5,True,5,5830
Bass,https://www.tec.tas.gov.au/house-of-assembly/StateElection2021/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/StateElection2021/results/bass/dist-bass-m.html,"GUTWEIN, Peter; COURTNEY, Sarah; FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie",Liberal Party; Liberal Party; Liberal Party; Australian Labor Party; Australian Labor Party,"GUTWEIN, Peter; COURTNEY, Sarah; FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie",5,11226,78182,67352,3544,70896,90.68,3499,0,first,,,"FERGUSON, Michael",Liberal Party,Elected 3,True,3,3806
Bass,https://www.tec.tas.gov.au/house-of-assembly/StateElection2021/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/StateElection2021/results/bass/dist-bass-m.html,"GUTWEIN, Peter; COURTNEY, Sarah; FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie",Liberal Party; Liberal Party; Liberal Party; Australian Labor Party; Australian Labor Party,"GUTWEIN, Peter; COURTNEY, Sarah; FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie",5,11226,78182,67352,3544,70896,90.68,3499,0,first,,,"DAVENPORT, Jack",Tasmanian Greens,,False,,2952
Bass,https://www.tec.tas.gov.au/house-of-assembly/StateElection2021/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/StateElection2021/results/bass/dist-bass-m.html,"GUTWEIN, Peter; COURTNEY, Sarah; FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie",Liberal Party; Liberal Party; Liberal Party; Australian Labor Party; Australian Labor Party,"GUTWEIN, Peter; COURTNEY, Sarah; FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie",5,11226,78182,67352,3544,70896,90.68,3499,0,first,,,"COURTNEY, Sarah",Liberal Party,Elected 2,True,2,2227
Bass,https://www.tec.tas.gov.au/house-of-assembly/StateElection2021/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/StateElection2021/results/bass/dist-bass-m.html,"GUTWEIN, Peter; COURTNEY, Sarah; FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie",Liberal Party; Liberal Party; Liberal Party; Australian Labor Party; Australian Labor Party,"GUTWEIN, Peter; COURTNEY, Sarah; FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie",5,11226,78182,67352,3544,70896,90.68,3499,0,first,,,"HINDS, Adrian",Australian Labor Party,Excluded,False,,1663
Bass,https://www.tec.tas.gov.au/house-of-assembly/StateElection2021/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/StateElection2021/results/bass/dist-bass-m.html,"GUTWEIN, Peter; COURTNEY, Sarah; FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie",Liberal Party; Liberal Party; Liberal Party; Australian Labor Party; Australian Labor Party,"GUTWEIN, Peter; COURTNEY, Sarah; FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie",5,11226,78182,67352,3544,70896,90.68,3499,0,first,,,"HARVEY, Andrew","Shooters, Fishers, Farmers TAS",Excluded,False,,1649
Bass,https://www.tec.tas.gov.au/house-of-assembly/StateElection2021/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/StateElection2021/results/bass/dist-bass-m.html,"GUTWEIN, Peter; COURTNEY, Sarah; FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie",Liberal Party; Liberal Party; Liberal Party; Australian Labor Party; Australian Labor Party,"GUTWEIN, Peter; COURTNEY, Sarah; FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie",5,11226,78182,67352,3544,70896,90.68,3499,0,first,,,"HOUSTON, Jennifer",Australian Labor Party,Excluded,False,,1512
Bass,https://www.tec.tas.gov.au/house-of-assembly/StateElection2021/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/StateElection2021/results/bass/dist-bass-m.html,"GUTWEIN, Peter; COURTNEY, Sarah; FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie",Liberal Party; Liberal Party; Liberal Party; Australian Labor Party; Australian Labor Party,"GUTWEIN, Peter; COURTNEY, Sarah; FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie",5,11226,78182,67352,3544,70896,90.68,3499,0,first,,,"WOODBURY, Sue",Animal Justice Party,Excluded,False,,1242
