district,district_url,distribution_url,elected_member,elected_party,elected_members,members_to_elect,quota,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,candidate_status,candidate_elected,candidate_elected_order,votes
Bass,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/pdf/2024%20House%20of%20Assembly%20-%20Division%20of%20Bass%20-%20Export%2080.xlsx,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",Liberal Party; Australian Labor Party; Australian Labor Party; Liberal Party; Tasmanian Greens; Jacqui Lambie Network; Liberal Party,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",7,8491,80126,67924,4706,72630,90.64,990,0,first,,,"FERGUSON, Michael",Liberal Party,Elected 1,True,1,12292
Bass,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/pdf/2024%20House%20of%20Assembly%20-%20Division%20of%20Bass%20-%20Export%2080.xlsx,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",Liberal Party; Australian Labor Party; Australian Labor Party; Liberal Party; Tasmanian Greens; Jacqui Lambie Network; Liberal Party,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",7,8491,80126,67924,4706,72630,90.64,990,0,first,,,"O'BYRNE, Michelle",Australian Labor Party,Elected 2,True,2,8073
Bass,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/pdf/2024%20House%20of%20Assembly%20-%20Division%20of%20Bass%20-%20Export%2080.xlsx,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",Liberal Party; Australian Labor Party; Australian Labor Party; Liberal Party; Tasmanian Greens; Jacqui Lambie Network; Liberal Party,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",7,8491,80126,67924,4706,72630,90.64,990,0,first,,,"FINLAY, Janie",Australian Labor Party,Elected 3,True,3,7337
Bass,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/pdf/2024%20House%20of%20Assembly%20-%20Division%20of%20Bass%20-%20Export%2080.xlsx,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",Liberal Party; Australian Labor Party; Australian Labor Party; Liberal Party; Tasmanian Greens; Jacqui Lambie Network; Liberal Party,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",7,8491,80126,67924,4706,72630,90.64,990,0,first,,,"FAIRS, Rob",Liberal Party,Elected 4,True,4,5727
Bass,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/pdf/2024%20House%20of%20Assembly%20-%20Division%20of%20Bass%20-%20Export%2080.xlsx,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",Liberal Party; Australian Labor Party; Australian Labor Party; Liberal Party; Tasmanian Greens; Jacqui Lambie Network; Liberal Party,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",7,8491,80126,67924,4706,72630,90.64,990,0,first,,,"ROSOL, Cecily",Tasmanian Greens,Elected 5,True,5,4283
Bass,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/pdf/2024%20House%20of%20Assembly%20-%20Division%20of%20Bass%20-%20Export%2080.xlsx,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",Liberal Party; Australian Labor Party; Australian Labor Party; Liberal Party; Tasmanian Greens; Jacqui Lambie Network; Liberal Party,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",7,8491,80126,67924,4706,72630,90.64,990,0,first,,,"PENTLAND, Rebekah",Jacqui Lambie Network,Elected 6,True,6,2409
Bass,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/pdf/2024%20House%20of%20Assembly%20-%20Division%20of%20Bass%20-%20Export%2080.xlsx,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",Liberal Party; Australian Labor Party; Australian Labor Party; Liberal Party; Tasmanian Greens; Jacqui Lambie Network; Liberal Party,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",7,8491,80126,67924,4706,72630,90.64,990,0,first,,,"ARMSTRONG, Angela",Jacqui Lambie Network,Excluded,False,,2033
Bass,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/pdf/2024%20House%20of%20Assembly%20-%20Division%20of%20Bass%20-%20Export%2080.xlsx,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",Liberal Party; Australian Labor Party; Australian Labor Party; Liberal Party; Tasmanian Greens; Jacqui Lambie Network; Liberal Party,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",7,8491,80126,67924,4706,72630,90.64,990,0,first,,,"WOOD, Simon",Liberal Party,Elected 7,True,7,1949
Bass,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/pdf/2024%20House%20of%20Assembly%20-%20Division%20of%20Bass%20-%20Export%2080.xlsx,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",Liberal Party; Australian Labor Party; Australian Labor Party; Liberal Party; Tasmanian Greens; Jacqui Lambie Network; Liberal Party,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",7,8491,80126,67924,4706,72630,90.64,990,0,first,,,"SLADDEN, Julie",Liberal Party,,False,,1747
Bass,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/pdf/2024%20House%20of%20Assembly%20-%20Division%20of%20Bass%20-%20Export%2080.xlsx,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",Liberal Party; Australian Labor Party; Australian Labor Party; Liberal Party; Tasmanian Greens; Jacqui Lambie Network; Liberal Party,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",7,8491,80126,67924,4706,72630,90.64,990,0,first,,,"LYONS, Geoff",Australian Labor Party,Excluded,False,,1698
