district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note
Amnat Charoen 1,https://www.thaipbs.or.th/election69/result/en/geo/area/3701?region=all&view=area,https://www.thaipbs.or.th/election69/result/en/geo/area/3701?region=all&view=area,Suksomruai Wanthaniyakun,Bhumjaithai,145524,91024,6653,97677,67.12,45513,0,first,,,Suksomruai Wanthaniyakun,Bhumjaithai,44199,Amnat Charoen,3701,official,
Amnat Charoen 1,https://www.thaipbs.or.th/election69/result/en/geo/area/3701?region=all&view=area,https://www.thaipbs.or.th/election69/result/en/geo/area/3701?region=all&view=area,Suksomruai Wanthaniyakun,Bhumjaithai,145524,91024,6653,97677,67.12,45513,0,first,,,Phimwipha Buabut,Pheu Thai,21040,Amnat Charoen,3701,official,
Amnat Charoen 1,https://www.thaipbs.or.th/election69/result/en/geo/area/3701?region=all&view=area,https://www.thaipbs.or.th/election69/result/en/geo/area/3701?region=all&view=area,Suksomruai Wanthaniyakun,Bhumjaithai,145524,91024,6653,97677,67.12,45513,0,first,,,Chuthathip Sirikhan,People's Party,18851,Amnat Charoen,3701,official,
Amnat Charoen 1,https://www.thaipbs.or.th/election69/result/en/geo/area/3701?region=all&view=area,https://www.thaipbs.or.th/election69/result/en/geo/area/3701?region=all&view=area,Suksomruai Wanthaniyakun,Bhumjaithai,145524,91024,6653,97677,67.12,45513,0,first,,,Phonchai Sophakan,Democrat,1938,Amnat Charoen,3701,official,
Amnat Charoen 1,https://www.thaipbs.or.th/election69/result/en/geo/area/3701?region=all&view=area,https://www.thaipbs.or.th/election69/result/en/geo/area/3701?region=all&view=area,Suksomruai Wanthaniyakun,Bhumjaithai,145524,91024,6653,97677,67.12,45513,0,first,,,Thotphon Khumphon,Economic,1927,Amnat Charoen,3701,official,
Amnat Charoen 1,https://www.thaipbs.or.th/election69/result/en/geo/area/3701?region=all&view=area,https://www.thaipbs.or.th/election69/result/en/geo/area/3701?region=all&view=area,Suksomruai Wanthaniyakun,Bhumjaithai,145524,91024,6653,97677,67.12,45513,0,first,,,Soni Suwanni,Party For The Country,1154,Amnat Charoen,3701,official,
Amnat Charoen 1,https://www.thaipbs.or.th/election69/result/en/geo/area/3701?region=all&view=area,https://www.thaipbs.or.th/election69/result/en/geo/area/3701?region=all&view=area,Suksomruai Wanthaniyakun,Bhumjaithai,145524,91024,6653,97677,67.12,45513,0,first,,,Sakda Chanthewa,Palang Pracharath,1072,Amnat Charoen,3701,official,
Amnat Charoen 1,https://www.thaipbs.or.th/election69/result/en/geo/area/3701?region=all&view=area,https://www.thaipbs.or.th/election69/result/en/geo/area/3701?region=all&view=area,Suksomruai Wanthaniyakun,Bhumjaithai,145524,91024,6653,97677,67.12,45513,0,first,,,Sip-Ekwirayut Phariwong,Pheu Chart Thai,538,Amnat Charoen,3701,official,
Amnat Charoen 1,https://www.thaipbs.or.th/election69/result/en/geo/area/3701?region=all&view=area,https://www.thaipbs.or.th/election69/result/en/geo/area/3701?region=all&view=area,Suksomruai Wanthaniyakun,Bhumjaithai,145524,91024,6653,97677,67.12,45513,0,first,,,Natthayakan Thongyot,Thai Kao Mai,305,Amnat Charoen,3701,official,
Amnat Charoen 2,https://www.thaipbs.or.th/election69/result/en/geo/area/3702?region=all&view=area,https://www.thaipbs.or.th/election69/result/en/geo/area/3702?region=all&view=area,Yaninat Khemnak,Bhumjaithai,157184,93862,9611,103473,65.83,46932,0,first,,,Yaninat Khemnak,Bhumjaithai,43016,Amnat Charoen,3702,official,
Amnat Charoen 2,https://www.thaipbs.or.th/election69/result/en/geo/area/3702?region=all&view=area,https://www.thaipbs.or.th/election69/result/en/geo/area/3702?region=all&view=area,Yaninat Khemnak,Bhumjaithai,157184,93862,9611,103473,65.83,46932,0,first,,,Waratda Prasoetsi,Pheu Thai,19048,Amnat Charoen,3702,official,
Amnat Charoen 2,https://www.thaipbs.or.th/election69/result/en/geo/area/3702?region=all&view=area,https://www.thaipbs.or.th/election69/result/en/geo/area/3702?region=all&view=area,Yaninat Khemnak,Bhumjaithai,157184,93862,9611,103473,65.83,46932,0,first,,,Wathiroitrikrit Kila,People's Party,17340,Amnat Charoen,3702,official,
Amnat Charoen 2,https://www.thaipbs.or.th/election69/result/en/geo/area/3702?region=all&view=area,https://www.thaipbs.or.th/election69/result/en/geo/area/3702?region=all&view=area,Yaninat Khemnak,Bhumjaithai,157184,93862,9611,103473,65.83,46932,0,first,,,Mokhwan Buabut,Klatham,12398,Amnat Charoen,3702,official,
Amnat Charoen 2,https://www.thaipbs.or.th/election69/result/en/geo/area/3702?region=all&view=area,https://www.thaipbs.or.th/election69/result/en/geo/area/3702?region=all&view=area,Yaninat Khemnak,Bhumjaithai,157184,93862,9611,103473,65.83,46932,0,first,,,Techinchai Pharibut,Democrat,1671,Amnat Charoen,3702,official,
Amnat Charoen 2,https://www.thaipbs.or.th/election69/result/en/geo/area/3702?region=all&view=area,https://www.thaipbs.or.th/election69/result/en/geo/area/3702?region=all&view=area,Yaninat Khemnak,Bhumjaithai,157184,93862,9611,103473,65.83,46932,0,first,,,Roitrinoei Chariphan,Party For The Country,389,Amnat Charoen,3702,official,
Amnat Charoen 2,https://www.thaipbs.or.th/election69/result/en/geo/area/3702?region=all&view=area,https://www.thaipbs.or.th/election69/result/en/geo/area/3702?region=all&view=area,Yaninat Khemnak,Bhumjaithai,157184,93862,9611,103473,65.83,46932,0,first,,,Sitthi Sopsing,Palang Pracharath,0,Amnat Charoen,3702,official,
Ang Thong 1,https://www.thaipbs.or.th/election69/result/en/geo/area/1501?region=all&view=area,https://www.thaipbs.or.th/election69/result/en/geo/area/1501?region=all&view=area,Pharadon Pritsanananthakun,Bhumjaithai,111666,79775,5841,85616,76.67,39888,0,first,,,Pharadon Pritsanananthakun,Bhumjaithai,56130,Ang Thong,1501,official,
Ang Thong 1,https://www.thaipbs.or.th/election69/result/en/geo/area/1501?region=all&view=area,https://www.thaipbs.or.th/election69/result/en/geo/area/1501?region=all&view=area,Pharadon Pritsanananthakun,Bhumjaithai,111666,79775,5841,85616,76.67,39888,0,first,,,Thanodom Sokhuma,People's Party,17910,Ang Thong,1501,official,
Ang Thong 1,https://www.thaipbs.or.th/election69/result/en/geo/area/1501?region=all&view=area,https://www.thaipbs.or.th/election69/result/en/geo/area/1501?region=all&view=area,Pharadon Pritsanananthakun,Bhumjaithai,111666,79775,5841,85616,76.67,39888,0,first,,,Nasakon Khrueasiri,Pheu Thai,4270,Ang Thong,1501,official,
Ang Thong 1,https://www.thaipbs.or.th/election69/result/en/geo/area/1501?region=all&view=area,https://www.thaipbs.or.th/election69/result/en/geo/area/1501?region=all&view=area,Pharadon Pritsanananthakun,Bhumjaithai,111666,79775,5841,85616,76.67,39888,0,first,,,Phattharasuda Butsaranan,Democrat,795,Ang Thong,1501,official,
Ang Thong 1,https://www.thaipbs.or.th/election69/result/en/geo/area/1501?region=all&view=area,https://www.thaipbs.or.th/election69/result/en/geo/area/1501?region=all&view=area,Pharadon Pritsanananthakun,Bhumjaithai,111666,79775,5841,85616,76.67,39888,0,first,,,Phanasathon Yuprasoet,Klatham,366,Ang Thong,1501,official,
Ang Thong 1,https://www.thaipbs.or.th/election69/result/en/geo/area/1501?region=all&view=area,https://www.thaipbs.or.th/election69/result/en/geo/area/1501?region=all&view=area,Pharadon Pritsanananthakun,Bhumjaithai,111666,79775,5841,85616,76.67,39888,0,first,,,Phan-Ekphithak Thipmat,Palang Pracharath,304,Ang Thong,1501,official,
Ang Thong 2,https://www.thaipbs.or.th/election69/result/en/geo/area/1502?region=all&view=area,https://www.thaipbs.or.th/election69/result/en/geo/area/1502?region=all&view=area,Korawi Pritsanananthakun,Bhumjaithai,112423,79838,6540,86378,76.83,39920,0,first,,,Korawi Pritsanananthakun,Bhumjaithai,60611,Ang Thong,1502,official,
Ang Thong 2,https://www.thaipbs.or.th/election69/result/en/geo/area/1502?region=all&view=area,https://www.thaipbs.or.th/election69/result/en/geo/area/1502?region=all&view=area,Korawi Pritsanananthakun,Bhumjaithai,112423,79838,6540,86378,76.83,39920,0,first,,,Sarot Chamchit,People's Party,13876,Ang Thong,1502,official,
Ang Thong 2,https://www.thaipbs.or.th/election69/result/en/geo/area/1502?region=all&view=area,https://www.thaipbs.or.th/election69/result/en/geo/area/1502?region=all&view=area,Korawi Pritsanananthakun,Bhumjaithai,112423,79838,6540,86378,76.83,39920,0,first,,,Chawokon Siracha,Pheu Thai,4149,Ang Thong,1502,official,
Ang Thong 2,https://www.thaipbs.or.th/election69/result/en/geo/area/1502?region=all&view=area,https://www.thaipbs.or.th/election69/result/en/geo/area/1502?region=all&view=area,Korawi Pritsanananthakun,Bhumjaithai,112423,79838,6540,86378,76.83,39920,0,first,,,Anurak Amoramettachit,Democrat,1202,Ang Thong,1502,official,
Bangkok 1,https://www.thaipbs.or.th/election69/result/en/geo/area/1001?region=all&view=area,https://www.thaipbs.or.th/election69/result/en/geo/area/1001?region=all&view=area,Paramet Witthayaraksan,People's Party,130423,77075,5346,82421,63.2,38538,0,first,,,Paramet Witthayaraksan,People's Party,34167,Bangkok,1001,official,
Bangkok 1,https://www.thaipbs.or.th/election69/result/en/geo/area/1001?region=all&view=area,https://www.thaipbs.or.th/election69/result/en/geo/area/1001?region=all&view=area,Paramet Witthayaraksan,People's Party,130423,77075,5346,82421,63.2,38538,0,first,,,Phirawutthi Phimsomruedi,Democrat,14813,Bangkok,1001,official,
Bangkok 1,https://www.thaipbs.or.th/election69/result/en/geo/area/1001?region=all&view=area,https://www.thaipbs.or.th/election69/result/en/geo/area/1001?region=all&view=area,Paramet Witthayaraksan,People's Party,130423,77075,5346,82421,63.2,38538,0,first,,,Lalida Phroetwiwatthana,Bhumjaithai,14368,Bangkok,1001,official,
Bangkok 1,https://www.thaipbs.or.th/election69/result/en/geo/area/1001?region=all&view=area,https://www.thaipbs.or.th/election69/result/en/geo/area/1001?region=all&view=area,Paramet Witthayaraksan,People's Party,130423,77075,5346,82421,63.2,38538,0,first,,,Yankit Huangsap,Pheu Thai,6030,Bangkok,1001,official,
Bangkok 1,https://www.thaipbs.or.th/election69/result/en/geo/area/1001?region=all&view=area,https://www.thaipbs.or.th/election69/result/en/geo/area/1001?region=all&view=area,Paramet Witthayaraksan,People's Party,130423,77075,5346,82421,63.2,38538,0,first,,,Phalat Sirikunphisut,United Thai Nation,2075,Bangkok,1001,official,
Bangkok 1,https://www.thaipbs.or.th/election69/result/en/geo/area/1001?region=all&view=area,https://www.thaipbs.or.th/election69/result/en/geo/area/1001?region=all&view=area,Paramet Witthayaraksan,People's Party,130423,77075,5346,82421,63.2,38538,0,first,,,Thaenkhun Chit-Isara,New Opportunity,1133,Bangkok,1001,official,
