district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note
East,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/results-and-turnout-eu-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,Leave,Leave,4398796,3328983,2329,3331312,75.73,431751,0,first,,,Leave,Leave,1880367,Referendum region,E12000006,official,Official Electoral Commission regional aggregation. South West includes Gibraltar.
East,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/results-and-turnout-eu-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,Leave,Leave,4398796,3328983,2329,3331312,75.73,431751,0,first,,,Remain,Remain,1448616,Referendum region,E12000006,official,Official Electoral Commission regional aggregation. South West includes Gibraltar.
East Midlands,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/results-and-turnout-eu-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,Leave,Leave,3384299,2508515,1981,2510496,74.18,442443,0,first,,,Leave,Leave,1475479,Referendum region,E12000004,official,Official Electoral Commission regional aggregation. South West includes Gibraltar.
East Midlands,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/results-and-turnout-eu-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,Leave,Leave,3384299,2508515,1981,2510496,74.18,442443,0,first,,,Remain,Remain,1033036,Referendum region,E12000004,official,Official Electoral Commission regional aggregation. South West includes Gibraltar.
London,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/results-and-turnout-eu-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,Remain,Remain,5424768,3776751,4453,3781204,69.7,750287,0,first,,,Remain,Remain,2263519,Referendum region,E12000007,official,Official Electoral Commission regional aggregation. South West includes Gibraltar.
London,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/results-and-turnout-eu-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,Remain,Remain,5424768,3776751,4453,3781204,69.7,750287,0,first,,,Leave,Leave,1513232,Referendum region,E12000007,official,Official Electoral Commission regional aggregation. South West includes Gibraltar.
North East,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/results-and-turnout-eu-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,Leave,Leave,1934341,1340698,689,1341387,69.35,215508,0,first,,,Leave,Leave,778103,Referendum region,E12000001,official,Official Electoral Commission regional aggregation. South West includes Gibraltar.
North East,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/results-and-turnout-eu-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,Leave,Leave,1934341,1340698,689,1341387,69.35,215508,0,first,,,Remain,Remain,562595,Referendum region,E12000001,official,Official Electoral Commission regional aggregation. South West includes Gibraltar.
North West,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/results-and-turnout-eu-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,Leave,Leave,5241568,3665945,2682,3668627,69.99,267905,0,first,,,Leave,Leave,1966925,Referendum region,E12000002,official,Official Electoral Commission regional aggregation. South West includes Gibraltar.
North West,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/results-and-turnout-eu-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,Leave,Leave,5241568,3665945,2682,3668627,69.99,267905,0,first,,,Remain,Remain,1699020,Referendum region,E12000002,official,Official Electoral Commission regional aggregation. South West includes Gibraltar.
Northern Ireland,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/results-and-turnout-eu-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,Remain,Remain,1260955,790149,374,790523,62.69,91265,0,first,,,Remain,Remain,440707,Referendum region,N92000002,official,Official Electoral Commission regional aggregation. South West includes Gibraltar.
Northern Ireland,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/results-and-turnout-eu-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,Remain,Remain,1260955,790149,374,790523,62.69,91265,0,first,,,Leave,Leave,349442,Referendum region,N92000002,official,Official Electoral Commission regional aggregation. South West includes Gibraltar.
Scotland,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/results-and-turnout-eu-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,Remain,Remain,3987112,2679513,1666,2681179,67.25,642869,0,first,,,Remain,Remain,1661191,Referendum region,S92000003,official,Official Electoral Commission regional aggregation. South West includes Gibraltar.
Scotland,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/results-and-turnout-eu-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,Remain,Remain,3987112,2679513,1666,2681179,67.25,642869,0,first,,,Leave,Leave,1018322,Referendum region,S92000003,official,Official Electoral Commission regional aggregation. South West includes Gibraltar.
South East,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/results-and-turnout-eu-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,Leave,Leave,6465404,4959683,3427,4963110,76.76,176247,0,first,,,Leave,Leave,2567965,Referendum region,E12000008,official,Official Electoral Commission regional aggregation. South West includes Gibraltar.
South East,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/results-and-turnout-eu-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,Leave,Leave,6465404,4959683,3427,4963110,76.76,176247,0,first,,,Remain,Remain,2391718,Referendum region,E12000008,official,Official Electoral Commission regional aggregation. South West includes Gibraltar.
South West,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/results-and-turnout-eu-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,Leave,Leave,4138134,3172730,2179,3174909,76.72,166692,0,first,,,Leave,Leave,1669711,Referendum region,E12000009,official,Official Electoral Commission regional aggregation. South West includes Gibraltar.
South West,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/results-and-turnout-eu-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,Leave,Leave,4138134,3172730,2179,3174909,76.72,166692,0,first,,,Remain,Remain,1503019,Referendum region,E12000009,official,Official Electoral Commission regional aggregation. South West includes Gibraltar.
Wales,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/results-and-turnout-eu-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,Leave,Leave,2270272,1626919,1135,1628054,71.71,82225,0,first,,,Leave,Leave,854572,Referendum region,W92000004,official,Official Electoral Commission regional aggregation. South West includes Gibraltar.
Wales,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/results-and-turnout-eu-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,Leave,Leave,2270272,1626919,1135,1628054,71.71,82225,0,first,,,Remain,Remain,772347,Referendum region,W92000004,official,Official Electoral Commission regional aggregation. South West includes Gibraltar.
West Midlands,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/results-and-turnout-eu-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,Leave,Leave,4116572,2962862,2507,2965369,72.03,548512,0,first,,,Leave,Leave,1755687,Referendum region,E12000005,official,Official Electoral Commission regional aggregation. South West includes Gibraltar.
West Midlands,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/results-and-turnout-eu-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,Leave,Leave,4116572,2962862,2507,2965369,72.03,548512,0,first,,,Remain,Remain,1207175,Referendum region,E12000005,official,Official Electoral Commission regional aggregation. South West includes Gibraltar.
