district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note
Alabama,https://electionlab.mit.edu/data,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Richard C. Shelby,Republican,0,2087444,0,2087444,0,586395,0,first,,,Richard C. Shelby,Republican,1335104,United States,US-SENATE-STATE-AL,official,Candidate totals are aggregated from checksum-pinned MIT Election Lab returns and audited against the official FEC state compilation. Concurrent special elections are excluded.
Alabama,https://electionlab.mit.edu/data,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Richard C. Shelby,Republican,0,2087444,0,2087444,0,586395,0,first,,,Ron Crumpton,Democratic,748709,United States,US-SENATE-STATE-AL,official,Candidate totals are aggregated from checksum-pinned MIT Election Lab returns and audited against the official FEC state compilation. Concurrent special elections are excluded.
Alabama,https://electionlab.mit.edu/data,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Richard C. Shelby,Republican,0,2087444,0,2087444,0,586395,0,first,,,Scattered,Other,3631,United States,US-SENATE-STATE-AL,official,Candidate totals are aggregated from checksum-pinned MIT Election Lab returns and audited against the official FEC state compilation. Concurrent special elections are excluded.
Alaska,https://electionlab.mit.edu/data,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Lisa Murkowski,Republican,0,311441,0,311441,0,47324,0,first,,,Lisa Murkowski,Republican,138149,United States,US-SENATE-STATE-AK,official,Candidate totals are aggregated from checksum-pinned MIT Election Lab returns and audited against the official FEC state compilation. Concurrent special elections are excluded.
Alaska,https://electionlab.mit.edu/data,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Lisa Murkowski,Republican,0,311441,0,311441,0,47324,0,first,,,Joe Miller,Libertarian,90825,United States,US-SENATE-STATE-AK,official,Candidate totals are aggregated from checksum-pinned MIT Election Lab returns and audited against the official FEC state compilation. Concurrent special elections are excluded.
Alaska,https://electionlab.mit.edu/data,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Lisa Murkowski,Republican,0,311441,0,311441,0,47324,0,first,,,Margaret Stock,Other,41194,United States,US-SENATE-STATE-AK,official,Candidate totals are aggregated from checksum-pinned MIT Election Lab returns and audited against the official FEC state compilation. Concurrent special elections are excluded.
Alaska,https://electionlab.mit.edu/data,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Lisa Murkowski,Republican,0,311441,0,311441,0,47324,0,first,,,Ray Metcalfe,Democratic,36200,United States,US-SENATE-STATE-AK,official,Candidate totals are aggregated from checksum-pinned MIT Election Lab returns and audited against the official FEC state compilation. Concurrent special elections are excluded.
Alaska,https://electionlab.mit.edu/data,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Lisa Murkowski,Republican,0,311441,0,311441,0,47324,0,first,,,Breck A. Craig,Other,2609,United States,US-SENATE-STATE-AK,official,Candidate totals are aggregated from checksum-pinned MIT Election Lab returns and audited against the official FEC state compilation. Concurrent special elections are excluded.
Alaska,https://electionlab.mit.edu/data,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Lisa Murkowski,Republican,0,311441,0,311441,0,47324,0,first,,,Ted Gianoutsos,Other,1758,United States,US-SENATE-STATE-AK,official,Candidate totals are aggregated from checksum-pinned MIT Election Lab returns and audited against the official FEC state compilation. Concurrent special elections are excluded.
Alaska,https://electionlab.mit.edu/data,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Lisa Murkowski,Republican,0,311441,0,311441,0,47324,0,first,,,Scattered,Other,706,United States,US-SENATE-STATE-AK,official,Candidate totals are aggregated from checksum-pinned MIT Election Lab returns and audited against the official FEC state compilation. Concurrent special elections are excluded.
Arizona,https://electionlab.mit.edu/data,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,John Mccain,Republican,0,2530730,0,2530730,0,328022,0,first,,,John Mccain,Republican,1359267,United States,US-SENATE-STATE-AZ,official,Candidate totals are aggregated from checksum-pinned MIT Election Lab returns and audited against the official FEC state compilation. Concurrent special elections are excluded.
Arizona,https://electionlab.mit.edu/data,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,John Mccain,Republican,0,2530730,0,2530730,0,328022,0,first,,,Ann Kirkpatrick,Democratic,1031245,United States,US-SENATE-STATE-AZ,official,Candidate totals are aggregated from checksum-pinned MIT Election Lab returns and audited against the official FEC state compilation. Concurrent special elections are excluded.
Arizona,https://electionlab.mit.edu/data,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,John Mccain,Republican,0,2530730,0,2530730,0,328022,0,first,,,Gary Swing,Other,138634,United States,US-SENATE-STATE-AZ,official,Candidate totals are aggregated from checksum-pinned MIT Election Lab returns and audited against the official FEC state compilation. Concurrent special elections are excluded.
Arizona,https://electionlab.mit.edu/data,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,John Mccain,Republican,0,2530730,0,2530730,0,328022,0,first,,,Pat Quinn,Other,694,United States,US-SENATE-STATE-AZ,official,Candidate totals are aggregated from checksum-pinned MIT Election Lab returns and audited against the official FEC state compilation. Concurrent special elections are excluded.
Arizona,https://electionlab.mit.edu/data,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,John Mccain,Republican,0,2530730,0,2530730,0,328022,0,first,,,Sydney Dudikoff,Other,494,United States,US-SENATE-STATE-AZ,official,Candidate totals are aggregated from checksum-pinned MIT Election Lab returns and audited against the official FEC state compilation. Concurrent special elections are excluded.
Arizona,https://electionlab.mit.edu/data,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,John Mccain,Republican,0,2530730,0,2530730,0,328022,0,first,,,Selena Lopez,Other,223,United States,US-SENATE-STATE-AZ,official,Candidate totals are aggregated from checksum-pinned MIT Election Lab returns and audited against the official FEC state compilation. Concurrent special elections are excluded.
Arizona,https://electionlab.mit.edu/data,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,John Mccain,Republican,0,2530730,0,2530730,0,328022,0,first,,,Leonard Clark,Other,83,United States,US-SENATE-STATE-AZ,official,Candidate totals are aggregated from checksum-pinned MIT Election Lab returns and audited against the official FEC state compilation. Concurrent special elections are excluded.
