district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status
Alabama 1st,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Bradley Byrne,Republican,0,242617,0,242617,0,121309,0,first,,,Bradley Byrne,Republican,153228,Alabama,0101,official
Alabama 1st,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Bradley Byrne,Republican,0,242617,0,242617,0,121309,0,first,,,"Robert Kennedy, Jr.",Democratic,89226,Alabama,0101,official
Alabama 1st,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Bradley Byrne,Republican,0,242617,0,242617,0,121309,0,first,,,Write-in,Write-in,163,Alabama,0101,official
Alabama 2nd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Martha Roby,Republican,0,226230,0,226230,0,113116,0,first,,,Martha Roby,Republican,138879,Alabama,0102,official
Alabama 2nd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Martha Roby,Republican,0,226230,0,226230,0,113116,0,first,,,Tabitha Isner,Democratic,86931,Alabama,0102,official
Alabama 2nd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Martha Roby,Republican,0,226230,0,226230,0,113116,0,first,,,Write-in,Write-in,420,Alabama,0102,official
Alabama 3rd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Mike Rogers,Republican,0,231915,0,231915,0,115958,0,first,,,Mike Rogers,Republican,147770,Alabama,0103,official
Alabama 3rd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Mike Rogers,Republican,0,231915,0,231915,0,115958,0,first,,,Mallory Hagan,Democratic,83996,Alabama,0103,official
Alabama 3rd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Mike Rogers,Republican,0,231915,0,231915,0,115958,0,first,,,Write-in,Write-in,149,Alabama,0103,official
Alabama 4th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Robert B. Aderholt,Republican,0,230969,0,230969,0,115485,0,first,,,Robert B. Aderholt,Republican,184255,Alabama,0104,official
Alabama 4th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Robert B. Aderholt,Republican,0,230969,0,230969,0,115485,0,first,,,Lee Auman,Democratic,46492,Alabama,0104,official
Alabama 4th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Robert B. Aderholt,Republican,0,230969,0,230969,0,115485,0,first,,,Write-in,Write-in,222,Alabama,0104,official
Alabama 5th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Mo Brooks,Republican,0,260673,0,260673,0,130337,0,first,,,Mo Brooks,Republican,159063,Alabama,0105,official
Alabama 5th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Mo Brooks,Republican,0,260673,0,260673,0,130337,0,first,,,Peter Joffrion,Democratic,101388,Alabama,0105,official
Alabama 5th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Mo Brooks,Republican,0,260673,0,260673,0,130337,0,first,,,Write-in,Write-in,222,Alabama,0105,official
Alabama 6th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Gary J. Palmer,Republican,0,278328,0,278328,0,139165,0,first,,,Gary J. Palmer,Republican,192542,Alabama,0106,official
Alabama 6th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Gary J. Palmer,Republican,0,278328,0,278328,0,139165,0,first,,,Danner Kline,Democratic,85644,Alabama,0106,official
Alabama 6th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Gary J. Palmer,Republican,0,278328,0,278328,0,139165,0,first,,,Write-in,Write-in,142,Alabama,0106,official
Alabama 7th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Terri A. Sewell,Democratic,0,189163,0,189163,0,94582,0,first,,,Terri A. Sewell,Democratic,185010,Alabama,0107,official
Alabama 7th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Terri A. Sewell,Democratic,0,189163,0,189163,0,94582,0,first,,,Write-in,Write-in,4153,Alabama,0107,official
Alaska at-large,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Don Young,Republican,0,282166,0,282166,0,141084,0,first,,,Don Young,Republican,149779,Alaska,0200,official
Alaska at-large,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Don Young,Republican,0,282166,0,282166,0,141084,0,first,,,Alyse S. Galvin,Democratic,131199,Alaska,0200,official
Alaska at-large,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Don Young,Republican,0,282166,0,282166,0,141084,0,first,,,Write-in,Write-in,1188,Alaska,0200,official
Arizona 1st,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Tom O’Halleran,Democratic,0,266089,0,266089,0,133045,0,first,,,Tom O’Halleran,Democratic,143240,Arizona,0401,official
Arizona 1st,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Tom O’Halleran,Democratic,0,266089,0,266089,0,133045,0,first,,,Wendy Rogers,Republican,122784,Arizona,0401,official
Arizona 1st,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Tom O’Halleran,Democratic,0,266089,0,266089,0,133045,0,first,,,David Shock,Write-in (Independent),65,Arizona,0401,official
Arizona 2nd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Ann Kirkpatrick,Democratic,0,294152,0,294152,0,147077,0,first,,,Ann Kirkpatrick,Democratic,161000,Arizona,0402,official
Arizona 2nd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Ann Kirkpatrick,Democratic,0,294152,0,294152,0,147077,0,first,,,Lea Marquez Peterson,Republican,133083,Arizona,0402,official
Arizona 2nd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Ann Kirkpatrick,Democratic,0,294152,0,294152,0,147077,0,first,,,Jordan Flayer,Write-in (Independent),50,Arizona,0402,official
Arizona 2nd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Ann Kirkpatrick,Democratic,0,294152,0,294152,0,147077,0,first,,,Melissa Grable,Write-in (Republican),19,Arizona,0402,official
Arizona 3rd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Raúl M. Grijalva,Democratic,0,179518,0,179518,0,89760,0,first,,,Raúl M. Grijalva,Democratic,114650,Arizona,0403,official
Arizona 3rd,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Raúl M. Grijalva,Democratic,0,179518,0,179518,0,89760,0,first,,,Nicolas “Nick” Pierson,Republican,64868,Arizona,0403,official
Arizona 4th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Paul A. Gosar,Republican,0,277035,0,277035,0,138518,0,first,,,Paul A. Gosar,Republican,188842,Arizona,0404,official
Arizona 4th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Paul A. Gosar,Republican,0,277035,0,277035,0,138518,0,first,,,David Brill,Democratic,84521,Arizona,0404,official
Arizona 4th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Paul A. Gosar,Republican,0,277035,0,277035,0,138518,0,first,,,Haryaksha Gregor Knauer,Green,3672,Arizona,0404,official
Arizona 5th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Andy Biggs,Republican,0,313064,0,313064,0,156533,0,first,,,Andy Biggs,Republican,186037,Arizona,0405,official
Arizona 5th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Andy Biggs,Republican,0,313064,0,313064,0,156533,0,first,,,Joan Greene,Democratic,127027,Arizona,0405,official
Arizona 6th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,David Schweikert,Republican,0,313699,0,313699,0,156850,0,first,,,David Schweikert,Republican,173140,Arizona,0406,official
Arizona 6th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,David Schweikert,Republican,0,313699,0,313699,0,156850,0,first,,,Anita Malik,Democratic,140559,Arizona,0406,official
Arizona 7th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Ruben Gallego,Democratic,0,132051,0,132051,0,66026,0,first,,,Ruben Gallego,Democratic,113044,Arizona,0407,official
Arizona 7th,https://clerk.house.gov/Members/ViewElectionInformation,https://clerk.house.gov/Members/ViewElectionInformation,Ruben Gallego,Democratic,0,132051,0,132051,0,66026,0,first,,,Gary Swing,Green,18706,Arizona,0407,official
