district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note
Alabama,https://electionlab.mit.edu/data,https://electionlab.mit.edu/data,Kay Ivey,Republican,0,1415283,0,1415283,0,533971,0,first,,,Kay Ivey,Republican,946932,United States,US-GOVERNOR-STATE-AL,compiled,Candidate totals are aggregated from checksum- or revision-pinned MIT Election Lab precinct returns. The state view is the sum of mapped county/reporting areas.
Alabama,https://electionlab.mit.edu/data,https://electionlab.mit.edu/data,Kay Ivey,Republican,0,1415283,0,1415283,0,533971,0,first,,,Yolanda Rochelle Flowers,Democratic,412961,United States,US-GOVERNOR-STATE-AL,compiled,Candidate totals are aggregated from checksum- or revision-pinned MIT Election Lab precinct returns. The state view is the sum of mapped county/reporting areas.
Alabama,https://electionlab.mit.edu/data,https://electionlab.mit.edu/data,Kay Ivey,Republican,0,1415283,0,1415283,0,533971,0,first,,,"James ""Jimmy"" Blake",Libertarian,45958,United States,US-GOVERNOR-STATE-AL,compiled,Candidate totals are aggregated from checksum- or revision-pinned MIT Election Lab precinct returns. The state view is the sum of mapped county/reporting areas.
Alabama,https://electionlab.mit.edu/data,https://electionlab.mit.edu/data,Kay Ivey,Republican,0,1415283,0,1415283,0,533971,0,first,,,Write-ins,Other,9432,United States,US-GOVERNOR-STATE-AL,compiled,Candidate totals are aggregated from checksum- or revision-pinned MIT Election Lab precinct returns. The state view is the sum of mapped county/reporting areas.
Alaska,https://electionlab.mit.edu/data,https://electionlab.mit.edu/data,Michael Dunleavy,Republican,0,263752,0,263752,0,68781,0,first,,,Michael Dunleavy,Republican,132632,United States,US-GOVERNOR-STATE-AK,compiled,Candidate totals are aggregated from checksum- or revision-pinned MIT Election Lab precinct returns. The state view is the sum of mapped county/reporting areas. Alaska is shown as a statewide fallback for its ranked-choice contest.
Alaska,https://electionlab.mit.edu/data,https://electionlab.mit.edu/data,Michael Dunleavy,Republican,0,263752,0,263752,0,68781,0,first,,,Les Gara,Democratic,63851,United States,US-GOVERNOR-STATE-AK,compiled,Candidate totals are aggregated from checksum- or revision-pinned MIT Election Lab precinct returns. The state view is the sum of mapped county/reporting areas. Alaska is shown as a statewide fallback for its ranked-choice contest.
Alaska,https://electionlab.mit.edu/data,https://electionlab.mit.edu/data,Michael Dunleavy,Republican,0,263752,0,263752,0,68781,0,first,,,Bill Walker,Independent,54668,United States,US-GOVERNOR-STATE-AK,compiled,Candidate totals are aggregated from checksum- or revision-pinned MIT Election Lab precinct returns. The state view is the sum of mapped county/reporting areas. Alaska is shown as a statewide fallback for its ranked-choice contest.
Alaska,https://electionlab.mit.edu/data,https://electionlab.mit.edu/data,Michael Dunleavy,Republican,0,263752,0,263752,0,68781,0,first,,,Charlie Pierce,Republican,11817,United States,US-GOVERNOR-STATE-AK,compiled,Candidate totals are aggregated from checksum- or revision-pinned MIT Election Lab precinct returns. The state view is the sum of mapped county/reporting areas. Alaska is shown as a statewide fallback for its ranked-choice contest.
Alaska,https://electionlab.mit.edu/data,https://electionlab.mit.edu/data,Michael Dunleavy,Republican,0,263752,0,263752,0,68781,0,first,,,Write-ins,Other,784,United States,US-GOVERNOR-STATE-AK,compiled,Candidate totals are aggregated from checksum- or revision-pinned MIT Election Lab precinct returns. The state view is the sum of mapped county/reporting areas. Alaska is shown as a statewide fallback for its ranked-choice contest.
Arizona,https://electionlab.mit.edu/data,https://electionlab.mit.edu/data,Katie Hobbs,Democratic,0,2580575,0,2580575,0,13146,0,first,,,Katie Hobbs,Democratic,1290701,United States,US-GOVERNOR-STATE-AZ,compiled,Candidate totals are aggregated from checksum- or revision-pinned MIT Election Lab precinct returns. The state view is the sum of mapped county/reporting areas.
Arizona,https://electionlab.mit.edu/data,https://electionlab.mit.edu/data,Katie Hobbs,Democratic,0,2580575,0,2580575,0,13146,0,first,,,Kari Lake,Republican,1277555,United States,US-GOVERNOR-STATE-AZ,compiled,Candidate totals are aggregated from checksum- or revision-pinned MIT Election Lab precinct returns. The state view is the sum of mapped county/reporting areas.
