district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note
"Kent County, Delaware",https://electionlab.mit.edu/data,https://electionlab.mit.edu/data,Matt Meyer,Democratic,0,85929,0,85929,0,429,0,first,,,Matt Meyer,Democratic,43179,Delaware,US-GOVERNOR-COUNTY-10001,compiled,Candidate totals are aggregated from checksum- or revision-pinned MIT Election Lab precinct returns. The state view is the sum of mapped county/reporting areas.
"Kent County, Delaware",https://electionlab.mit.edu/data,https://electionlab.mit.edu/data,Matt Meyer,Democratic,0,85929,0,85929,0,429,0,first,,,Mike Ramone,Republican,42750,Delaware,US-GOVERNOR-COUNTY-10001,compiled,Candidate totals are aggregated from checksum- or revision-pinned MIT Election Lab precinct returns. The state view is the sum of mapped county/reporting areas.
"New Castle County, Delaware",https://electionlab.mit.edu/data,https://electionlab.mit.edu/data,Matt Meyer,Democratic,0,268158,0,268158,0,76666,0,first,,,Matt Meyer,Democratic,172412,Delaware,US-GOVERNOR-COUNTY-10003,compiled,Candidate totals are aggregated from checksum- or revision-pinned MIT Election Lab precinct returns. The state view is the sum of mapped county/reporting areas.
"New Castle County, Delaware",https://electionlab.mit.edu/data,https://electionlab.mit.edu/data,Matt Meyer,Democratic,0,268158,0,268158,0,76666,0,first,,,Mike Ramone,Republican,95746,Delaware,US-GOVERNOR-COUNTY-10003,compiled,Candidate totals are aggregated from checksum- or revision-pinned MIT Election Lab precinct returns. The state view is the sum of mapped county/reporting areas.
"Sussex County, Delaware",https://electionlab.mit.edu/data,https://electionlab.mit.edu/data,Mike Ramone,Republican,0,144548,0,144548,0,16560,0,first,,,Mike Ramone,Republican,80554,Delaware,US-GOVERNOR-COUNTY-10005,compiled,Candidate totals are aggregated from checksum- or revision-pinned MIT Election Lab precinct returns. The state view is the sum of mapped county/reporting areas.
"Sussex County, Delaware",https://electionlab.mit.edu/data,https://electionlab.mit.edu/data,Mike Ramone,Republican,0,144548,0,144548,0,16560,0,first,,,Matt Meyer,Democratic,63994,Delaware,US-GOVERNOR-COUNTY-10005,compiled,Candidate totals are aggregated from checksum- or revision-pinned MIT Election Lab precinct returns. The state view is the sum of mapped county/reporting areas.
"Adams County, Indiana",https://electionlab.mit.edu/data,https://electionlab.mit.edu/data,Mike Braun,Republican,0,13643,0,13643,0,6096,0,first,,,Mike Braun,Republican,9495,Indiana,US-GOVERNOR-COUNTY-18001,compiled,Candidate totals are aggregated from checksum- or revision-pinned MIT Election Lab precinct returns. The state view is the sum of mapped county/reporting areas.
"Adams County, Indiana",https://electionlab.mit.edu/data,https://electionlab.mit.edu/data,Mike Braun,Republican,0,13643,0,13643,0,6096,0,first,,,Jennifer G Mccormick,Democratic,3399,Indiana,US-GOVERNOR-COUNTY-18001,compiled,Candidate totals are aggregated from checksum- or revision-pinned MIT Election Lab precinct returns. The state view is the sum of mapped county/reporting areas.
"Adams County, Indiana",https://electionlab.mit.edu/data,https://electionlab.mit.edu/data,Mike Braun,Republican,0,13643,0,13643,0,6096,0,first,,,Donald Rainwater,Libertarian,749,Indiana,US-GOVERNOR-COUNTY-18001,compiled,Candidate totals are aggregated from checksum- or revision-pinned MIT Election Lab precinct returns. The state view is the sum of mapped county/reporting areas.
"Allen County, Indiana",https://electionlab.mit.edu/data,https://electionlab.mit.edu/data,Mike Braun,Republican,0,158129,0,158129,0,16336,0,first,,,Mike Braun,Republican,84139,Indiana,US-GOVERNOR-COUNTY-18003,compiled,Candidate totals are aggregated from checksum- or revision-pinned MIT Election Lab precinct returns. The state view is the sum of mapped county/reporting areas.
