district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultalbertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010distributionalbertparkdistrict.html,"FOLEY, Martin",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,47148,39790,1568,41358,87.72,,0,first,,,"BLAKEY, Katie",SEX PARTY,1404
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultalbertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010distributionalbertparkdistrict.html,"FOLEY, Martin",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,47148,39790,1568,41358,87.72,,0,first,,,"FOLEY, Martin",ALP,12012
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultalbertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010distributionalbertparkdistrict.html,"FOLEY, Martin",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,47148,39790,1568,41358,87.72,,0,first,,,"LOPEZ, Mark",Liberal,15234
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultalbertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010distributionalbertparkdistrict.html,"FOLEY, Martin",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,47148,39790,1568,41358,87.72,,0,first,,,"YOUNG, Josie",FAMILY FIRST,303
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultalbertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010distributionalbertparkdistrict.html,"FOLEY, Martin",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,47148,39790,1568,41358,87.72,,0,first,,,"THOMANN, Serge",Independent,3619
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultalbertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010distributionalbertparkdistrict.html,"FOLEY, Martin",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,47148,39790,1568,41358,87.72,,0,first,,,"BIRRELL, Ann",Greens,7218
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultalbertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010distributionalbertparkdistrict.html,"FOLEY, Martin",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,47148,39790,1568,41358,87.72,,1,transfer,,,"BLAKEY, Katie",SEX PARTY,36
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultalbertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010distributionalbertparkdistrict.html,"FOLEY, Martin",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,47148,39790,1568,41358,87.72,,1,transfer,,,"FOLEY, Martin",ALP,61
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultalbertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010distributionalbertparkdistrict.html,"FOLEY, Martin",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,47148,39790,1568,41358,87.72,,1,transfer,,,"LOPEZ, Mark",Liberal,102
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultalbertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010distributionalbertparkdistrict.html,"FOLEY, Martin",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,47148,39790,1568,41358,87.72,,1,transfer,,,"THOMANN, Serge",Independent,52
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultalbertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010distributionalbertparkdistrict.html,"FOLEY, Martin",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,47148,39790,1568,41358,87.72,,1,transfer,,,"BIRRELL, Ann",Greens,52
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultalbertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010distributionalbertparkdistrict.html,"FOLEY, Martin",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,47148,39790,1568,41358,87.72,,1,progressive,,,"BLAKEY, Katie",SEX PARTY,1440
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultalbertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010distributionalbertparkdistrict.html,"FOLEY, Martin",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,47148,39790,1568,41358,87.72,,1,progressive,,,"FOLEY, Martin",ALP,12073
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultalbertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010distributionalbertparkdistrict.html,"FOLEY, Martin",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,47148,39790,1568,41358,87.72,,1,progressive,,,"LOPEZ, Mark",Liberal,15336
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultalbertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010distributionalbertparkdistrict.html,"FOLEY, Martin",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,47148,39790,1568,41358,87.72,,1,progressive,,,"THOMANN, Serge",Independent,3671
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultalbertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010distributionalbertparkdistrict.html,"FOLEY, Martin",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,47148,39790,1568,41358,87.72,,1,progressive,,,"BIRRELL, Ann",Greens,7270
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultalbertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010distributionalbertparkdistrict.html,"FOLEY, Martin",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,47148,39790,1568,41358,87.72,,2,transfer,,,"FOLEY, Martin",ALP,478
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultalbertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010distributionalbertparkdistrict.html,"FOLEY, Martin",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,47148,39790,1568,41358,87.72,,2,transfer,,,"LOPEZ, Mark",Liberal,287
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultalbertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010distributionalbertparkdistrict.html,"FOLEY, Martin",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,47148,39790,1568,41358,87.72,,2,transfer,,,"THOMANN, Serge",Independent,208
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultalbertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010distributionalbertparkdistrict.html,"FOLEY, Martin",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,47148,39790,1568,41358,87.72,,2,transfer,,,"BIRRELL, Ann",Greens,467
