district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,primary_leader,primary_leader_party,primary_leader_votes,winner,winner_party,winner_final_votes,runner_up,runner_up_party,runner_up_final_votes,final_margin,preference_changed_result,winner_transfer_gain
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/albertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/distributionalbertparkdistrict.html,"FOLEY, Martin",AUSTRALIAN LABOR PARTY,48949,39858,1997,41855,85.51,,"FOLEY, Martin",AUSTRALIAN LABOR PARTY,17287,"FOLEY, Martin",AUSTRALIAN LABOR PARTY,25161,"BOND, Andrew",LIBERAL,14697,10464,False,7874
Altona,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/altonadistrict.html,,"HENNESSY, Jill",AUSTRALIAN LABOR PARTY,55418,46906,2699,49605,89.51,,"HENNESSY, Jill",AUSTRALIAN LABOR PARTY,24112,"HENNESSY, Jill",AUSTRALIAN LABOR PARTY,30264,"MARTINU, Christian",LIBERAL,16607,13657,False,6152
Bass,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/bassdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/distributionbassdistrict.html,"CRUGNALE, Jordan",AUSTRALIAN LABOR PARTY,58325,49589,3522,53111,91.06,,"PAYNTER, Brian",LIBERAL,20315,"CRUGNALE, Jordan",AUSTRALIAN LABOR PARTY,25982,"PAYNTER, Brian",LIBERAL,23607,2375,True,6028
Bayswater,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/bayswaterdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/distributionbayswaterdistrict.html,"TAYLOR, Jackson",AUSTRALIAN LABOR PARTY,44047,38126,2135,40261,91.4,,"VICTORIA, Heidi",LIBERAL,17650,"TAYLOR, Jackson",AUSTRALIAN LABOR PARTY,19211,"VICTORIA, Heidi",LIBERAL,18915,296,True,3663
Bellarine,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/bellarinedistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/distributionbellarinedistrict.html,"NEVILLE, Lisa",AUSTRALIAN LABOR PARTY,49417,44013,1804,45817,92.72,,"NEVILLE, Lisa",AUSTRALIAN LABOR PARTY,21948,"NEVILLE, Lisa",AUSTRALIAN LABOR PARTY,22077,"McKITERICK, Brian",LIBERAL,15711,6366,False,129
Benambra,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/benambradistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/distributionbenambradistrict.html,"TILLEY, Bill",LIBERAL,48795,41435,2336,43771,89.7,,"TILLEY, Bill",LIBERAL,16515,"TILLEY, Bill",LIBERAL,21732,"HAWKINS, Jacqui",Independent,19703,2029,False,5217
Bendigo East,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/bendigoeastdistrict.html,,"ALLAN, Jacinta",AUSTRALIAN LABOR PARTY,48899,43088,1976,45064,92.16,,"ALLAN, Jacinta",AUSTRALIAN LABOR PARTY,21693,"ALLAN, Jacinta",AUSTRALIAN LABOR PARTY,26776,"ELLIS, Ian",LIBERAL,16332,10444,False,5083
Bendigo West,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/bendigowestdistrict.html,,"EDWARDS, Maree",AUSTRALIAN LABOR PARTY,45324,39276,2042,41318,91.16,,"EDWARDS, Maree",AUSTRALIAN LABOR PARTY,21004,"EDWARDS, Maree",AUSTRALIAN LABOR PARTY,26917,"FINN, Kevin",LIBERAL,12349,14568,False,5913
Bentleigh,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/bentleighdistrict.html,,"STAIKOS, Nick",AUSTRALIAN LABOR PARTY,42772,36739,2408,39147,91.52,,"STAIKOS, Nick",AUSTRALIAN LABOR PARTY,18443,"STAIKOS, Nick",AUSTRALIAN LABOR PARTY,22811,"JUDAH, Asher",LIBERAL,14031,8780,False,4368
Box Hill,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/boxhilldistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/distributionboxhilldistrict.html,"HAMER, Paul",AUSTRALIAN LABOR PARTY,43983,38351,1850,40201,91.4,,"CLARK, Robert",LIBERAL,17352,"HAMER, Paul",AUSTRALIAN LABOR PARTY,19982,"CLARK, Robert",LIBERAL,18369,1613,True,4622
