district,council,ward,district_url,distribution_url,elected_member,elected_party,elected_members,elected_parties,members_to_elect,quota,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,candidate_status,candidate_elected,candidate_elected_order,votes,electorate_type,constituency_code,contest_status,result_note
Banyule — Bakewell Ward,Banyule,Bakewell Ward,https://www.vec.vic.gov.au/results/council-election-results/2024-council-election-results/banyule-city-council,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/Council/Reports/BanyuleBakewellWard2024Distribution.xls,"DI PASQUALE, Mark",Affiliation not stated,"DI PASQUALE, Mark",Affiliation not stated,1,0,10453,8397,298,8695,83.18,857,0,first,,,"SHAW, Callum",Affiliation not stated,,False,,1475,Banyule,VICL24-banyule-bakewell,official,Official VEC first preferences and complete preference distribution. Candidate affiliations are not stated on the official result page.
Banyule — Bakewell Ward,Banyule,Bakewell Ward,https://www.vec.vic.gov.au/results/council-election-results/2024-council-election-results/banyule-city-council,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/Council/Reports/BanyuleBakewellWard2024Distribution.xls,"DI PASQUALE, Mark",Affiliation not stated,"DI PASQUALE, Mark",Affiliation not stated,1,0,10453,8397,298,8695,83.18,857,0,first,,,"DI PASQUALE, Mark",Affiliation not stated,,True,1,3133,Banyule,VICL24-banyule-bakewell,official,Official VEC first preferences and complete preference distribution. Candidate affiliations are not stated on the official result page.
Banyule — Bakewell Ward,Banyule,Bakewell Ward,https://www.vec.vic.gov.au/results/council-election-results/2024-council-election-results/banyule-city-council,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/Council/Reports/BanyuleBakewellWard2024Distribution.xls,"DI PASQUALE, Mark",Affiliation not stated,"DI PASQUALE, Mark",Affiliation not stated,1,0,10453,8397,298,8695,83.18,857,0,first,,,"ROUMELIOTIS, William",Affiliation not stated,,False,,430,Banyule,VICL24-banyule-bakewell,official,Official VEC first preferences and complete preference distribution. Candidate affiliations are not stated on the official result page.
Banyule — Bakewell Ward,Banyule,Bakewell Ward,https://www.vec.vic.gov.au/results/council-election-results/2024-council-election-results/banyule-city-council,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/Council/Reports/BanyuleBakewellWard2024Distribution.xls,"DI PASQUALE, Mark",Affiliation not stated,"DI PASQUALE, Mark",Affiliation not stated,1,0,10453,8397,298,8695,83.18,857,0,first,,,"SCOTT, David",Affiliation not stated,,False,,588,Banyule,VICL24-banyule-bakewell,official,Official VEC first preferences and complete preference distribution. Candidate affiliations are not stated on the official result page.
Banyule — Bakewell Ward,Banyule,Bakewell Ward,https://www.vec.vic.gov.au/results/council-election-results/2024-council-election-results/banyule-city-council,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/Council/Reports/BanyuleBakewellWard2024Distribution.xls,"DI PASQUALE, Mark",Affiliation not stated,"DI PASQUALE, Mark",Affiliation not stated,1,0,10453,8397,298,8695,83.18,857,0,first,,,"HIRD, Stephen",Affiliation not stated,,False,,974,Banyule,VICL24-banyule-bakewell,official,Official VEC first preferences and complete preference distribution. Candidate affiliations are not stated on the official result page.
Banyule — Bakewell Ward,Banyule,Bakewell Ward,https://www.vec.vic.gov.au/results/council-election-results/2024-council-election-results/banyule-city-council,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/Council/Reports/BanyuleBakewellWard2024Distribution.xls,"DI PASQUALE, Mark",Affiliation not stated,"DI PASQUALE, Mark",Affiliation not stated,1,0,10453,8397,298,8695,83.18,857,0,first,,,"ROOKS, Nicola",Affiliation not stated,,False,,1797,Banyule,VICL24-banyule-bakewell,official,Official VEC first preferences and complete preference distribution. Candidate affiliations are not stated on the official result page.
Banyule — Bakewell Ward,Banyule,Bakewell Ward,https://www.vec.vic.gov.au/results/council-election-results/2024-council-election-results/banyule-city-council,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/Council/Reports/BanyuleBakewellWard2024Distribution.xls,"DI PASQUALE, Mark",Affiliation not stated,"DI PASQUALE, Mark",Affiliation not stated,1,0,10453,8397,298,8695,83.18,857,1,transfer,"ROUMELIOTIS, William",Affiliation not stated,"SHAW, Callum",Affiliation not stated,,False,,100,Banyule,VICL24-banyule-bakewell,official,Official VEC first preferences and complete preference distribution. Candidate affiliations are not stated on the official result page.
Banyule — Bakewell Ward,Banyule,Bakewell Ward,https://www.vec.vic.gov.au/results/council-election-results/2024-council-election-results/banyule-city-council,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/Council/Reports/BanyuleBakewellWard2024Distribution.xls,"DI PASQUALE, Mark",Affiliation not stated,"DI PASQUALE, Mark",Affiliation not stated,1,0,10453,8397,298,8695,83.18,857,1,transfer,"ROUMELIOTIS, William",Affiliation not stated,"DI PASQUALE, Mark",Affiliation not stated,,True,1,79,Banyule,VICL24-banyule-bakewell,official,Official VEC first preferences and complete preference distribution. Candidate affiliations are not stated on the official result page.
Banyule — Bakewell Ward,Banyule,Bakewell Ward,https://www.vec.vic.gov.au/results/council-election-results/2024-council-election-results/banyule-city-council,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/Council/Reports/BanyuleBakewellWard2024Distribution.xls,"DI PASQUALE, Mark",Affiliation not stated,"DI PASQUALE, Mark",Affiliation not stated,1,0,10453,8397,298,8695,83.18,857,1,transfer,"ROUMELIOTIS, William",Affiliation not stated,"SCOTT, David",Affiliation not stated,,False,,139,Banyule,VICL24-banyule-bakewell,official,Official VEC first preferences and complete preference distribution. Candidate affiliations are not stated on the official result page.
Banyule — Bakewell Ward,Banyule,Bakewell Ward,https://www.vec.vic.gov.au/results/council-election-results/2024-council-election-results/banyule-city-council,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/Council/Reports/BanyuleBakewellWard2024Distribution.xls,"DI PASQUALE, Mark",Affiliation not stated,"DI PASQUALE, Mark",Affiliation not stated,1,0,10453,8397,298,8695,83.18,857,1,transfer,"ROUMELIOTIS, William",Affiliation not stated,"HIRD, Stephen",Affiliation not stated,,False,,25,Banyule,VICL24-banyule-bakewell,official,Official VEC first preferences and complete preference distribution. Candidate affiliations are not stated on the official result page.
Banyule — Bakewell Ward,Banyule,Bakewell Ward,https://www.vec.vic.gov.au/results/council-election-results/2024-council-election-results/banyule-city-council,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/Council/Reports/BanyuleBakewellWard2024Distribution.xls,"DI PASQUALE, Mark",Affiliation not stated,"DI PASQUALE, Mark",Affiliation not stated,1,0,10453,8397,298,8695,83.18,857,1,transfer,"ROUMELIOTIS, William",Affiliation not stated,"ROOKS, Nicola",Affiliation not stated,,False,,87,Banyule,VICL24-banyule-bakewell,official,Official VEC first preferences and complete preference distribution. Candidate affiliations are not stated on the official result page.
Banyule — Bakewell Ward,Banyule,Bakewell Ward,https://www.vec.vic.gov.au/results/council-election-results/2024-council-election-results/banyule-city-council,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/Council/Reports/BanyuleBakewellWard2024Distribution.xls,"DI PASQUALE, Mark",Affiliation not stated,"DI PASQUALE, Mark",Affiliation not stated,1,0,10453,8397,298,8695,83.18,857,1,progressive,"ROUMELIOTIS, William",Affiliation not stated,"SHAW, Callum",Affiliation not stated,,False,,1575,Banyule,VICL24-banyule-bakewell,official,Official VEC first preferences and complete preference distribution. Candidate affiliations are not stated on the official result page.
Banyule — Bakewell Ward,Banyule,Bakewell Ward,https://www.vec.vic.gov.au/results/council-election-results/2024-council-election-results/banyule-city-council,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/Council/Reports/BanyuleBakewellWard2024Distribution.xls,"DI PASQUALE, Mark",Affiliation not stated,"DI PASQUALE, Mark",Affiliation not stated,1,0,10453,8397,298,8695,83.18,857,1,progressive,"ROUMELIOTIS, William",Affiliation not stated,"DI PASQUALE, Mark",Affiliation not stated,,True,1,3212,Banyule,VICL24-banyule-bakewell,official,Official VEC first preferences and complete preference distribution. Candidate affiliations are not stated on the official result page.
Banyule — Bakewell Ward,Banyule,Bakewell Ward,https://www.vec.vic.gov.au/results/council-election-results/2024-council-election-results/banyule-city-council,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/Council/Reports/BanyuleBakewellWard2024Distribution.xls,"DI PASQUALE, Mark",Affiliation not stated,"DI PASQUALE, Mark",Affiliation not stated,1,0,10453,8397,298,8695,83.18,857,1,progressive,"ROUMELIOTIS, William",Affiliation not stated,"SCOTT, David",Affiliation not stated,,False,,727,Banyule,VICL24-banyule-bakewell,official,Official VEC first preferences and complete preference distribution. Candidate affiliations are not stated on the official result page.
