district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,primary_leader,primary_leader_party,primary_leader_votes,winner,winner_party,winner_final_votes,runner_up,runner_up_party,runner_up_final_votes,final_margin,preference_changed_result,winner_transfer_gain
Albany,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"LEARY, Scott",The Nationals,33868,29562,1050,30612,90.39,14782,"STEPHENS, Rebecca",Australian Labor Party,8825,"LEARY, Scott",The Nationals,16615,"STEPHENS, Rebecca",Australian Labor Party,12914,3701,True,10119
Armadale,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"BUTI, Tony",Australian Labor Party,32680,25031,1441,26472,81.0,12516,"BUTI, Tony",Australian Labor Party,13141,"BUTI, Tony",Australian Labor Party,17223,"MCNAMARA, Jason",Liberal Party,7792,9431,False,4082
Balcatta,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"MICHAEL, David",Australian Labor Party,30541,25121,1318,26439,86.57,12561,"MICHAEL, David",Australian Labor Party,12404,"MICHAEL, David",Australian Labor Party,16192,"HELLIWELL, James",Liberal Party,8908,7284,False,3788
Baldivis,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"WHITBY, Reece",Australian Labor Party,31087,24737,1252,25989,83.6,12369,"WHITBY, Reece",Australian Labor Party,12546,"WHITBY, Reece",Australian Labor Party,16480,"MBANO, Dylan",Liberal Party,8240,8240,False,3934
Bassendean,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"KELLY, Dave",Australian Labor Party,32644,26719,1388,28107,86.1,13360,"KELLY, Dave",Australian Labor Party,13961,"KELLY, Dave",Australian Labor Party,17532,"MCLENNAN, Renée",Independent,9163,8369,False,3571
Bateman,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"GIDDENS, Kim",Australian Labor Party,31547,27589,962,28551,90.5,13795,"GIDDENS, Kim",Australian Labor Party,11093,"GIDDENS, Kim",Australian Labor Party,14700,"VASHISHT, Nitin",Liberal Party,12881,1819,False,3607
Belmont,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"ROWE, Cassie",Australian Labor Party,31049,23910,1310,25220,81.23,11956,"ROWE, Cassie",Australian Labor Party,12807,"ROWE, Cassie",Australian Labor Party,16577,"ANTHONY, Biju",Liberal Party,7326,9251,False,3770
Bibra Lake,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"LAI, Sook Yee",Australian Labor Party,32053,25485,1512,26997,84.23,12743,"LAI, Sook Yee",Australian Labor Party,10664,"LAI, Sook Yee",Australian Labor Party,16339,"WALSH, Robyn",The Greens,9092,7247,False,5675
Bicton,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"O'MALLEY, Lisa",Australian Labor Party,31882,27554,924,28478,89.32,13778,"O'MALLEY, Lisa",Australian Labor Party,12438,"O'MALLEY, Lisa",Australian Labor Party,16346,"DOWSON, Chris",Liberal Party,11200,5146,False,3908
Bunbury,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"PUNCH, Don",Australian Labor Party,32845,26106,1425,27531,83.82,13054,"PUNCH, Don",Australian Labor Party,10669,"PUNCH, Don",Australian Labor Party,14901,"REID, Heather",Liberal Party,11178,3723,False,4232
Butler,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"CLARKE, Lorna",Australian Labor Party,35677,26727,1470,28197,79.03,13364,"CLARKE, Lorna",Australian Labor Party,12605,"CLARKE, Lorna",Australian Labor Party,17276,"BAULCH, Rikki",Liberal Party,9433,7843,False,4671
Cannington,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"SAO, Ron",Australian Labor Party,31312,24297,1465,25762,82.28,12149,"SAO, Ron",Australian Labor Party,13178,"SAO, Ron",Australian Labor Party,16490,"HENDERSON, Bruce",Liberal Party,7798,8692,False,3312
Carine,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"STALTARI, Liam",Liberal Party,32608,28855,892,29747,91.23,14428,"STALTARI, Liam",Liberal Party,15027,"STALTARI, Liam",Liberal Party,16608,"LILBURNE, Paul",Australian Labor Party,12244,4364,False,1581
Central Wheatbelt,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"HUNTER, Lachlan",The Nationals,32155,26611,976,27587,85.79,13306,"HUNTER, Lachlan",The Nationals,12417,"HUNTER, Lachlan",The Nationals,19490,"ATKINSON, Rebecca",Australian Labor Party,7096,12394,False,7073
Churchlands,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"ZEMPILAS, Basil",Liberal Party,31847,27912,823,28735,90.23,13957,"ZEMPILAS, Basil",Liberal Party,12199,"ZEMPILAS, Basil",Liberal Party,14271,"TONKIN, Christine",Australian Labor Party,13635,636,False,2072
