district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes
Albany,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"LEARY, Scott",The Nationals,33868,29562,1050,30612,90.39,14782,0,first,,,"STEPHENS, Rebecca",Australian Labor Party,8825
Albany,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"LEARY, Scott",The Nationals,33868,29562,1050,30612,90.39,14782,0,first,,,"LEARY, Scott",The Nationals,6496
Albany,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"LEARY, Scott",The Nationals,33868,29562,1050,30612,90.39,14782,0,first,,,"BROUGH, Tom",Liberal Party,6451
Albany,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"LEARY, Scott",The Nationals,33868,29562,1050,30612,90.39,14782,0,first,,,"MACLAREN, Lynn",The Greens,2348
Albany,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"LEARY, Scott",The Nationals,33868,29562,1050,30612,90.39,14782,0,first,,,"LIONETTI, Mario",Independent,2121
Albany,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"LEARY, Scott",The Nationals,33868,29562,1050,30612,90.39,14782,0,first,,,"BALLAST, Gerrit",Australian Christians,1504
Albany,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"LEARY, Scott",The Nationals,33868,29562,1050,30612,90.39,14782,0,first,,,"BISSCHOFF, Quintin",Pauline Hanson's One Nation,813
Albany,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"LEARY, Scott",The Nationals,33868,29562,1050,30612,90.39,14782,0,first,,,"ARNATT, Philip",Legalise Cannabis Party WA,693
Albany,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"LEARY, Scott",The Nationals,33868,29562,1050,30612,90.39,14782,0,first,,,"ANSTEE-BROOK, Synjon","Shooters, Fishers and Farmers",311
Albany,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"LEARY, Scott",The Nationals,33868,29562,1050,30612,90.39,14782,1,final,,,"LEARY, Scott",The Nationals,16615
Albany,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"LEARY, Scott",The Nationals,33868,29562,1050,30612,90.39,14782,1,final,,,"STEPHENS, Rebecca",Australian Labor Party,12914
Armadale,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"BUTI, Tony",Australian Labor Party,32680,25031,1441,26472,81.0,12516,0,first,,,"BUTI, Tony",Australian Labor Party,13141
Armadale,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"BUTI, Tony",Australian Labor Party,32680,25031,1441,26472,81.0,12516,0,first,,,"MCNAMARA, Jason",Liberal Party,4374
Armadale,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"BUTI, Tony",Australian Labor Party,32680,25031,1441,26472,81.0,12516,0,first,,,"HARRINGTON, Shelley",The Greens,3033
Armadale,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"BUTI, Tony",Australian Labor Party,32680,25031,1441,26472,81.0,12516,0,first,,,"IERARDI, Elizabeth",Pauline Hanson's One Nation,2060
Armadale,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"BUTI, Tony",Australian Labor Party,32680,25031,1441,26472,81.0,12516,0,first,,,"KLEYN, Arthur",Australian Christians,1750
Armadale,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"BUTI, Tony",Australian Labor Party,32680,25031,1441,26472,81.0,12516,0,first,,,"LING, C",Stop Pedophiles! Protect kiddies!,673
